season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1904,Gold,USA,United States,George Philipp BRYANT,1904 St Louis,Archery,Men's,double york round (100y - 80y - 60y)
Summer,1904,Silver,USA,United States,Robert WILLIAMS,1904 St Louis,Archery,Men's,double york round (100y - 80y - 60y)
Summer,1904,Bronze,USA,United States,William Henry THOMPSON,1904 St Louis,Archery,Men's,double york round (100y - 80y - 60y)
Summer,1904,Gold,USA,United States,George Philipp BRYANT,1904 St Louis,Archery,Men's,double american round (60y - 50y - 40y)
Summer,1904,Silver,USA,United States,Robert WILLIAMS,1904 St Louis,Archery,Men's,double american round (60y - 50y - 40y)
Summer,1904,Bronze,USA,United States,William Henry THOMPSON,1904 St Louis,Archery,Men's,double american round (60y - 50y - 40y)
Summer,1904,Gold,USA,United States,"William Henry THOMPSON, Louis W. MAXSON, Robert WILLIAMS, Galen Carter SPENCER",1904 St Louis,Archery,Men's,team round 60y
Summer,1904,Silver,USA,United States,"Charles R. HUBBARD, Charles S. WOODRUFF, Samuel Harding DUVALL, William A. CLARK",1904 St Louis,Archery,Men's,team round 60y
Summer,1904,Bronze,USA,United States,"George Philipp BRYANT, Cyrus Edwin DALLIN, Wallace BRYANT, Henry Barber RICHARDSON",1904 St Louis,Archery,Men's,team round 60y
Summer,1904,Gold,USA,United States,Matilda Scott HOWELL,1904 St Louis,Archery,Women's,double national round (60y - 50y)
Summer,1904,Silver,USA,United States,Emma C. COOKE,1904 St Louis,Archery,Women's,double national round (60y - 50y)
Summer,1904,Bronze,USA,United States,Jessie POLLOCK,1904 St Louis,Archery,Women's,double national round (60y - 50y)
Summer,1904,Gold,USA,United States,Matilda Scott HOWELL,1904 St Louis,Archery,Women's,double columbia round (50y - 40y - 30y)
Summer,1904,Silver,USA,United States,Emma C. COOKE,1904 St Louis,Archery,Women's,double columbia round (50y - 40y - 30y)
Summer,1904,Bronze,USA,United States,Jessie POLLOCK,1904 St Louis,Archery,Women's,double columbia round (50y - 40y - 30y)
Summer,1904,Gold,USA,United States,"Matilda Scott HOWELL, Laura WOODRUFF, Jessie POLLOCK, Louise TAYLOR",1904 St Louis,Archery,Women's,team round 50y
Summer,1904,Gold,USA,United States,Archie HAHN,1904 St Louis,Athletics,Men's,60m
Summer,1904,Silver,USA,United States,William HOGENSON,1904 St Louis,Athletics,Men's,60m
Summer,1904,Bronze,USA,United States,Fay MOULTON,1904 St Louis,Athletics,Men's,60m
Summer,1904,Gold,USA,United States,Archie HAHN,1904 St Louis,Athletics,Men's,100m
Summer,1904,Silver,USA,United States,John Nathaniel CARTMELL,1904 St Louis,Athletics,Men's,100m
Summer,1904,Bronze,USA,United States,William HOGENSON,1904 St Louis,Athletics,Men's,100m
Summer,1904,Gold,USA,United States,Archie HAHN,1904 St Louis,Athletics,Men's,200m
