season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1912,Gold,USA,United States,Ralph CRAIG,1912 Stockholm,Athletics,Men's,100m
Summer,1912,Silver,USA,United States,I. Alvah MEYER,1912 Stockholm,Athletics,Men's,100m
Summer,1912,Bronze,USA,United States,Donald LIPPINCOTT,1912 Stockholm,Athletics,Men's,100m
Summer,1912,Gold,USA,United States,Ralph CRAIG,1912 Stockholm,Athletics,Men's,200m
Summer,1912,Silver,USA,United States,Donald LIPPINCOTT,1912 Stockholm,Athletics,Men's,200m
Summer,1912,Bronze,GBR,Great Britain,William APPLEGARTH,1912 Stockholm,Athletics,Men's,200m
Summer,1912,Gold,USA,United States,Charles Decker REIDPATH,1912 Stockholm,Athletics,Men's,400m
Summer,1912,Silver,GER,Germany,Hans BRAUN,1912 Stockholm,Athletics,Men's,400m
Summer,1912,Bronze,USA,United States,Edward F. LINDBERG,1912 Stockholm,Athletics,Men's,400m
Summer,1912,Gold,USA,United States,James Edwin MEREDITH,1912 Stockholm,Athletics,Men's,800m
Summer,1912,Silver,USA,United States,Melvin SHEPPARD,1912 Stockholm,Athletics,Men's,800m
Summer,1912,Bronze,USA,United States,Ira Nelson DAVENPORT,1912 Stockholm,Athletics,Men's,800m
Summer,1912,Gold,GBR,Great Britain,Arnold JACKSON,1912 Stockholm,Athletics,Men's,1500m
Summer,1912,Silver,USA,United States,Abel KIVIAT,1912 Stockholm,Athletics,Men's,1500m
Summer,1912,Bronze,USA,United States,Norman TABER,1912 Stockholm,Athletics,Men's,1500m
Summer,1912,Gold,FIN,Finland,Hannes KOLEHMAINEN,1912 Stockholm,Athletics,Men's,5000m
Summer,1912,Silver,FRA,France,Jean BOUIN,1912 Stockholm,Athletics,Men's,5000m
Summer,1912,Bronze,GBR,Great Britain,George William HUTSON,1912 Stockholm,Athletics,Men's,5000m
Summer,1912,Gold,FIN,Finland,Hannes KOLEHMAINEN,1912 Stockholm,Athletics,Men's,10000m
Summer,1912,Silver,USA,United States,Lewis TEWANINA,1912 Stockholm,Athletics,Men's,10000m
Summer,1912,Bronze,FIN,Finland,Albin Oskar STENROOS,1912 Stockholm,Athletics,Men's,10000m
Summer,1912,Gold,RSA,South Africa,Kennedy Kane MCARTHUR,1912 Stockholm,Athletics,Men's,marathon
Summer,1912,Silver,RSA,South Africa,Christian W. GITSHAM,1912 Stockholm,Athletics,Men's,marathon
Summer,1912,Bronze,USA,United States,Gaston STROBINO,1912 Stockholm,Athletics,Men's,marathon
Summer,1912,Gold,USA,United States,Frederick KELLY,1912 Stockholm,Athletics,Men's,110m hurdles
Summer,1912,Silver,USA,United States,James WENDELL,1912 Stockholm,Athletics,Men's,110m hurdles
Summer,1912,Bronze,USA,United States,Martin HAWKINS,1912 Stockholm,Athletics,Men's,110m hurdles
Summer,1912,Gold,CAN,Canada,George GOULDING,1912 Stockholm,Athletics,Men's,10000m walk
Summer,1912,Silver,GBR,Great Britain,Ernest WEBB,1912 Stockholm,Athletics,Men's,10000m walk
Summer,1912,Bronze,ITA,Italy,Fernando ALTIMANI,1912 Stockholm,Athletics,Men's,10000m walk
Summer,1912,Gold,GBR,Great Britain,"David Henry JACOBS, Victor Henry Augustus D'ARCY, Henry Maitland MACKINTOSH, William APPLEGARTH",1912 Stockholm,Athletics,Men's,4x100m relay
Summer,1912,Silver,SWE,Sweden,"Knut LINDBERG, Karl August LUTHER, Ivan MÖLLER, Ture PERSSON",1912 Stockholm,Athletics,Men's,4x100m relay
Summer,1912,Gold,USA,United States,"Melvin SHEPPARD, James Edwin MEREDITH, Edward F. LINDBERG, Charles Decker REIDPATH",1912 Stockholm,Athletics,Men's,4x400m relay
Summer,1912,Silver,FRA,France,"Charles Louis LELONG, Charles Alexandre Casimir POULENARD, Robert SCHURRER, Pierre FAILLIOT",1912 Stockholm,Athletics,Men's,4x400m relay
Summer,1912,Bronze,GBR,Great Britain,"Ernest John HENLEY, Cyril Norman SEEDHOUSE, George NICOL, James Tindal SOUTTER",1912 Stockholm,Athletics,Men's,4x400m relay
Summer,1912,Gold,USA,United States,"Abel KIVIAT, Tell Schirnding BERNA, George V. BONHAG, Henry Louis SCOTT, Norman TABER",1912 Stockholm,Athletics,Men's,3000m team
Summer,1912,Silver,SWE,Sweden,"Bror FOCK, Thorild OHLSSON, Ernest WIDE, Nils FRYKBERG, John ZANDER",1912 Stockholm,Athletics,Men's,3000m team
Summer,1912,Bronze,GBR,Great Britain,"Cyril Henry Atwell PORTER, Frank W. MOORE, George William HUTSON, Edward OWEN, William COTTRILL",1912 Stockholm,Athletics,Men's,3000m team
Summer,1912,Gold,FIN,Finland,Hannes KOLEHMAINEN,1912 Stockholm,Athletics,Men's,cross country individual
Summer,1912,Silver,SWE,Sweden,Hjalmar ANDERSSON,1912 Stockholm,Athletics,Men's,cross country individual
Summer,1912,Bronze,SWE,Sweden,John EKE,1912 Stockholm,Athletics,Men's,cross country individual
Summer,1912,Gold,SWE,Sweden,"John EKE, Hjalmar ANDERSSON, Josef TERNSTRÖM",1912 Stockholm,Athletics,Men's,cross country team
Summer,1912,Silver,FIN,Finland,"Hannes KOLEHMAINEN, Albin Oskar STENROOS, Jalmari ESKOLA",1912 Stockholm,Athletics,Men's,cross country team
Summer,1912,Bronze,GBR,Great Britain,"Ernest GLOVER, Frederick Newton HIBBINS, Frederick Harkness HUMPHREYS",1912 Stockholm,Athletics,Men's,cross country team
Summer,1912,Gold,USA,United States,Albert Lovejoy GUTTERSON,1912 Stockholm,Athletics,Men's,long jump
