season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1920,Gold,BEL,Belgium,Edmond CLOETENS,1920 Antwerp,Archery,Men's,fixed bird target large bird
Summer,1920,Silver,BEL,Belgium,Louis VAN DE PERCK,1920 Antwerp,Archery,Men's,fixed bird target large bird
Summer,1920,Bronze,BEL,Belgium,Firmin FLAMAND,1920 Antwerp,Archery,Men's,fixed bird target large bird
Summer,1920,Gold,BEL,Belgium,Edmond VAN MOER,1920 Antwerp,Archery,Men's,fixed bird target small bird
Summer,1920,Silver,BEL,Belgium,Louis VAN DE PERCK,1920 Antwerp,Archery,Men's,fixed bird target small bird
Summer,1920,Bronze,BEL,Belgium,Joseph HERMANS,1920 Antwerp,Archery,Men's,fixed bird target small bird
Summer,1920,Gold,BEL,Belgium,"Louis VAN DE PERCK, Edmond VAN MOER, Auguste VAN DE VERRE, Edmond CLOETENS, Firmin FLAMAND, Joseph HERMANS",1920 Antwerp,Archery,Men's,fixed bird target large bird teams
Summer,1920,Gold,BEL,Belgium,"Edmond VAN MOER, Joseph HERMANS, Firmin FLAMAND, Louis VAN DE PERCK, Edmond CLOETENS, Auguste VAN DE VERRE",1920 Antwerp,Archery,Men's,fixed bird target small bird teams
Summer,1920,Gold,BEL,Belgium,Hubert VAN INNIS,1920 Antwerp,Archery,Men's,moving bird target 28m
Summer,1920,Silver,FRA,France,Léonce Gaston QUENTIN,1920 Antwerp,Archery,Men's,moving bird target 28m
Summer,1920,Gold,BEL,Belgium,Hubert VAN INNIS,1920 Antwerp,Archery,Men's,moving bird target 33m
Summer,1920,Silver,FRA,France,Julien Louis BRULE,1920 Antwerp,Archery,Men's,moving bird target 33m
Summer,1920,Gold,FRA,France,Julien Louis BRULE,1920 Antwerp,Archery,Men's,moving bird target 50m
Summer,1920,Silver,BEL,Belgium,Hubert VAN INNIS,1920 Antwerp,Archery,Men's,moving bird target 50m
Summer,1920,Gold,NED,Netherlands,"Adrianus Cornelis THEEUWES, Jan Joseph PACKBIERS, Johannes Jacobus VAN GASTEL, Petrus Godefridus DE BROUWER, Hendrikus VAN BUSSELL, Adrianus VAN MERRIENBOER, Theodorus B. WILLEMS, Jan-Babtiest-Jozef VAN GESTEL",1920 Antwerp,Archery,Men's,moving bird target 28m teams
Summer,1920,Silver,BEL,Belgium,"Hubert VAN INNIS, Edmond DE KNIBBER, Jérome DE MAYER, Louis FIERENS, Louis VAN BEECK, Alphonse ALLAERT, Louis DELCON, Pierre VAN THIELT",1920 Antwerp,Archery,Men's,moving bird target 28m teams
Summer,1920,Bronze,FRA,France,"Julien Louis BRULE, Pascal FAUVEL, Eugène RICHEZ, Léon EPIN, Léonce Gaston QUENTIN, Eugène G. GRIZOT, Artur MABELLON, Paul LEROY",1920 Antwerp,Archery,Men's,moving bird target 28m teams
Summer,1920,Gold,BEL,Belgium,"Hubert VAN INNIS, Jérome DE MAYER, Edmond DE KNIBBER, Louis VAN BEECK, Pierre VAN THIELT, Alphonse ALLAERT, Louis DELCON, Louis FIERENS",1920 Antwerp,Archery,Men's,moving bird target 33m teams
Summer,1920,Silver,FRA,France,"Julien Louis BRULE, Pascal FAUVEL, Eugène RICHEZ, Léon EPIN, Léonce Gaston QUENTIN, Eugène G. GRIZOT, Artur MABELLON, Paul LEROY",1920 Antwerp,Archery,Men's,moving bird target 33m teams
Summer,1920,Gold,BEL,Belgium,"Louis DELCON, Louis FIERENS, Pierre VAN THIELT, Alphonse ALLAERT, Louis VAN BEECK, Hubert VAN INNIS, Jérome DE MAYER, Edmond DE KNIBBER",1920 Antwerp,Archery,Men's,moving bird target 50m teams
Summer,1920,Silver,FRA,France,"Julien Louis BRULE, Pascal FAUVEL, Eugène RICHEZ, Léon EPIN, Léonce Gaston QUENTIN, Eugène G. GRIZOT, Artur MABELLON, Paul LEROY",1920 Antwerp,Archery,Men's,moving bird target 50m teams
Summer,1920,Gold,USA,United States,Charles PADDOCK,1920 Antwerp,Athletics,Men's,100m
Summer,1920,Silver,USA,United States,Morris KIRKSEY,1920 Antwerp,Athletics,Men's,100m
Summer,1920,Bronze,GBR,Great Britain,Harry EDWARD,1920 Antwerp,Athletics,Men's,100m
Summer,1920,Gold,USA,United States,Allen WOODRING,1920 Antwerp,Athletics,Men's,200m
Summer,1920,Silver,USA,United States,Charles PADDOCK,1920 Antwerp,Athletics,Men's,200m
Summer,1920,Bronze,GBR,Great Britain,Harry EDWARD,1920 Antwerp,Athletics,Men's,200m
Summer,1920,Gold,RSA,South Africa,Bevil Gordon D'Urban RUDD,1920 Antwerp,Athletics,Men's,400m
Summer,1920,Silver,GBR,Great Britain,Guy Montagu BUTLER,1920 Antwerp,Athletics,Men's,400m
Summer,1920,Bronze,SWE,Sweden,Nils ENGDAHL,1920 Antwerp,Athletics,Men's,400m
Summer,1920,Gold,GBR,Great Britain,Albert HILL,1920 Antwerp,Athletics,Men's,800m
Summer,1920,Silver,USA,United States,Earl EBY,1920 Antwerp,Athletics,Men's,800m
Summer,1920,Bronze,RSA,South Africa,Bevil Gordon D'Urban RUDD,1920 Antwerp,Athletics,Men's,800m
Summer,1920,Gold,GBR,Great Britain,Albert HILL,1920 Antwerp,Athletics,Men's,1500m
Summer,1920,Silver,GBR,Great Britain,Philipp John NOEL-BAKER,1920 Antwerp,Athletics,Men's,1500m
Summer,1920,Bronze,USA,United States,Marion Lawrence SHIELDS,1920 Antwerp,Athletics,Men's,1500m
Summer,1920,Gold,FRA,France,Joseph GUILLEMOT,1920 Antwerp,Athletics,Men's,5000m
Summer,1920,Silver,FIN,Finland,Paavo NURMI,1920 Antwerp,Athletics,Men's,5000m
Summer,1920,Bronze,SWE,Sweden,Erik BACKMAN,1920 Antwerp,Athletics,Men's,5000m
Summer,1920,Gold,FIN,Finland,Paavo NURMI,1920 Antwerp,Athletics,Men's,10000m
Summer,1920,Silver,FRA,France,Joseph GUILLEMOT,1920 Antwerp,Athletics,Men's,10000m
Summer,1920,Bronze,GBR,Great Britain,James WILSON,1920 Antwerp,Athletics,Men's,10000m
Summer,1920,Gold,FIN,Finland,Hannes KOLEHMAINEN,1920 Antwerp,Athletics,Men's,marathon
Summer,1920,Silver,EST,Estonia,Jüri LOSSMANN,1920 Antwerp,Athletics,Men's,marathon
Summer,1920,Bronze,ITA,Italy,Valerio ARRI,1920 Antwerp,Athletics,Men's,marathon
Summer,1920,Gold,CAN,Canada,Earl THOMSON,1920 Antwerp,Athletics,Men's,110m hurdles
Summer,1920,Silver,USA,United States,Harold BARRON,1920 Antwerp,Athletics,Men's,110m hurdles
Summer,1920,Bronze,USA,United States,Frederick MURRAY,1920 Antwerp,Athletics,Men's,110m hurdles
Summer,1920,Gold,USA,United States,Frank LOOMIS,1920 Antwerp,Athletics,Men's,400m hurdles
Summer,1920,Silver,USA,United States,John Kelley NORTON,1920 Antwerp,Athletics,Men's,400m hurdles
Summer,1920,Bronze,USA,United States,August George DESCH,1920 Antwerp,Athletics,Men's,400m hurdles
Summer,1920,Gold,GBR,Great Britain,Percy HODGE,1920 Antwerp,Athletics,Men's,3000m steeplechase
Summer,1920,Silver,USA,United States,Patrick FLYNN,1920 Antwerp,Athletics,Men's,3000m steeplechase
Summer,1920,Bronze,ITA,Italy,Ernesto AMBROSINI,1920 Antwerp,Athletics,Men's,3000m steeplechase
Summer,1920,Gold,USA,United States,"Charles PADDOCK, Loren MURCHISON, Jackson SCHOLZ, Morris KIRKSEY",1920 Antwerp,Athletics,Men's,4x100m relay
Summer,1920,Silver,FRA,France,"René TIRARD, René MOURLON, René LORAIN, Emile ALI KAHN",1920 Antwerp,Athletics,Men's,4x100m relay
Summer,1920,Bronze,SWE,Sweden,"Agne HOLMSTRÖM, Sven MALM, R. William E. PETERSSON, Nils SANDSTRÖM",1920 Antwerp,Athletics,Men's,4x100m relay
Summer,1920,Gold,GBR,Great Britain,"Cecil Richmond GRIFFITHS, John Creyghton AINSWORTH-DAVIS, Robert Alexander LINDSAY, Guy Montagu BUTLER",1920 Antwerp,Athletics,Men's,4x400m relay
Summer,1920,Silver,RSA,South Africa,"Jack OOSTERLAAK, Harry DAVEL, Bevil Gordon D'Urban RUDD, Clarence Winston OLDFIELD",1920 Antwerp,Athletics,Men's,4x400m relay
Summer,1920,Bronze,FRA,France,"Georges ANDRE, Maurice DELVART, Gaston FERY, Jean André DEVAUX",1920 Antwerp,Athletics,Men's,4x400m relay
Summer,1920,Gold,USA,United States,"Horace Hallock BROWN, Ivan DRESSER, Arlie Alfred SCHARDT",1920 Antwerp,Athletics,Men's,3000m team
Summer,1920,Silver,GBR,Great Britain,"Albert HILL, Charles Edward BLEWITT, William Raymond SEAGROVE",1920 Antwerp,Athletics,Men's,3000m team
Summer,1920,Bronze,SWE,Sweden,"Erik BACKMAN, Edvin WIDE, Sven LUNDGREN",1920 Antwerp,Athletics,Men's,3000m team
Summer,1920,Gold,ITA,Italy,Ugo FRIGERIO,1920 Antwerp,Athletics,Men's,3000m walk
Summer,1920,Silver,AUS,Australia,George PARKER,1920 Antwerp,Athletics,Men's,3000m walk
Summer,1920,Bronze,USA,United States,Richard Frederick REMER,1920 Antwerp,Athletics,Men's,3000m walk
Summer,1920,Gold,ITA,Italy,Ugo FRIGERIO,1920 Antwerp,Athletics,Men's,10000m walk
Summer,1920,Silver,USA,United States,Joseph PEARMAN,1920 Antwerp,Athletics,Men's,10000m walk
Summer,1920,Bronze,GBR,Great Britain,Charles GUNN,1920 Antwerp,Athletics,Men's,10000m walk
Summer,1920,Gold,FIN,Finland,Paavo NURMI,1920 Antwerp,Athletics,Men's,cross country individual
Summer,1920,Silver,SWE,Sweden,Erik BACKMAN,1920 Antwerp,Athletics,Men's,cross country individual
