season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1924,Gold,GBR,Great Britain,Harold ABRAHAMS,1924 Paris,Athletics,Men's,100m
Summer,1924,Silver,USA,United States,Jackson SCHOLZ,1924 Paris,Athletics,Men's,100m
Summer,1924,Bronze,NZL,New Zealand,Arthur PORRITT,1924 Paris,Athletics,Men's,100m
Summer,1924,Gold,USA,United States,Jackson SCHOLZ,1924 Paris,Athletics,Men's,200m
Summer,1924,Silver,USA,United States,Charles PADDOCK,1924 Paris,Athletics,Men's,200m
Summer,1924,Bronze,GBR,Great Britain,Eric LIDDELL,1924 Paris,Athletics,Men's,200m
Summer,1924,Gold,GBR,Great Britain,Eric LIDDELL,1924 Paris,Athletics,Men's,400m
Summer,1924,Silver,USA,United States,Horatio FITCH,1924 Paris,Athletics,Men's,400m
Summer,1924,Bronze,GBR,Great Britain,Guy BUTLER,1924 Paris,Athletics,Men's,400m
Summer,1924,Gold,GBR,Great Britain,Douglas LOWE,1924 Paris,Athletics,Men's,800m
Summer,1924,Silver,SUI,Switzerland,Paul MARTIN,1924 Paris,Athletics,Men's,800m
Summer,1924,Bronze,USA,United States,Schuyler ENCK,1924 Paris,Athletics,Men's,800m
Summer,1924,Gold,FIN,Finland,Paavo NURMI,1924 Paris,Athletics,Men's,1500m
Summer,1924,Silver,SUI,Switzerland,Willy SCHÄRER,1924 Paris,Athletics,Men's,1500m
Summer,1924,Bronze,GBR,Great Britain,Henry STALLARD,1924 Paris,Athletics,Men's,1500m
Summer,1924,Gold,FIN,Finland,Paavo NURMI,1924 Paris,Athletics,Men's,5000m
Summer,1924,Silver,FIN,Finland,Ville RITOLA,1924 Paris,Athletics,Men's,5000m
Summer,1924,Bronze,SWE,Sweden,Edvin WIDE,1924 Paris,Athletics,Men's,5000m
Summer,1924,Gold,FIN,Finland,Ville RITOLA,1924 Paris,Athletics,Men's,10000m
Summer,1924,Silver,SWE,Sweden,Edvin WIDE,1924 Paris,Athletics,Men's,10000m
Summer,1924,Bronze,FIN,Finland,Eero BERG,1924 Paris,Athletics,Men's,10000m
Summer,1924,Gold,FIN,Finland,Albin STENROOS,1924 Paris,Athletics,Men's,marathon
