season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1928,Gold,CAN,Canada,Percy WILLIAMS,1928 Amsterdam,Athletics,Men's,100m
Summer,1928,Silver,GBR,Great Britain,Jack LONDON,1928 Amsterdam,Athletics,Men's,100m
Summer,1928,Bronze,GER,Germany,Georg LAMMERS,1928 Amsterdam,Athletics,Men's,100m
Summer,1928,Gold,CAN,Canada,Percy WILLIAMS,1928 Amsterdam,Athletics,Men's,200m
Summer,1928,Silver,GBR,Great Britain,Walter RANGELEY,1928 Amsterdam,Athletics,Men's,200m
Summer,1928,Bronze,GER,Germany,Helmut KÖRNIG,1928 Amsterdam,Athletics,Men's,200m
Summer,1928,Gold,USA,United States,Raymond James BARBUTI,1928 Amsterdam,Athletics,Men's,400m
Summer,1928,Silver,CAN,Canada,James BALL,1928 Amsterdam,Athletics,Men's,400m
Summer,1928,Bronze,GER,Germany,Joachim BÜCHNER,1928 Amsterdam,Athletics,Men's,400m
Summer,1928,Gold,GBR,Great Britain,Douglas LOWE,1928 Amsterdam,Athletics,Men's,800m
Summer,1928,Silver,SWE,Sweden,Erik BYLÉHN,1928 Amsterdam,Athletics,Men's,800m
Summer,1928,Bronze,GER,Germany,Hermann ENGELHARD,1928 Amsterdam,Athletics,Men's,800m
Summer,1928,Gold,FIN,Finland,Harri LARVA,1928 Amsterdam,Athletics,Men's,1500m
Summer,1928,Silver,FRA,France,Jules LADOUMEGUE,1928 Amsterdam,Athletics,Men's,1500m
Summer,1928,Bronze,FIN,Finland,Eino PURJE,1928 Amsterdam,Athletics,Men's,1500m
Summer,1928,Gold,FIN,Finland,Ville RITOLA,1928 Amsterdam,Athletics,Men's,5000m
Summer,1928,Silver,FIN,Finland,Paavo NURMI,1928 Amsterdam,Athletics,Men's,5000m
Summer,1928,Bronze,SWE,Sweden,Edvin WIDE,1928 Amsterdam,Athletics,Men's,5000m
Summer,1928,Gold,FIN,Finland,Paavo NURMI,1928 Amsterdam,Athletics,Men's,10000m
Summer,1928,Silver,FIN,Finland,Ville RITOLA,1928 Amsterdam,Athletics,Men's,10000m
Summer,1928,Bronze,SWE,Sweden,Edvin WIDE,1928 Amsterdam,Athletics,Men's,10000m
Summer,1928,Gold,FRA,France,Boughèra EL OUAFI,1928 Amsterdam,Athletics,Men's,marathon
Summer,1928,Silver,CHI,Chile,Manuel PLAZA,1928 Amsterdam,Athletics,Men's,marathon
Summer,1928,Bronze,FIN,Finland,Martti MARTTELIN,1928 Amsterdam,Athletics,Men's,marathon
Summer,1928,Gold,RSA,South Africa,Sidney ATKINSON,1928 Amsterdam,Athletics,Men's,110m hurdles
Summer,1928,Silver,USA,United States,Steve ANDERSON,1928 Amsterdam,Athletics,Men's,110m hurdles
Summer,1928,Bronze,USA,United States,John COLLIER,1928 Amsterdam,Athletics,Men's,110m hurdles
Summer,1928,Gold,GBR,Great Britain,David George BURGHLEY,1928 Amsterdam,Athletics,Men's,400m hurdles
Summer,1928,Silver,USA,United States,Frank CUHEL,1928 Amsterdam,Athletics,Men's,400m hurdles
Summer,1928,Bronze,USA,United States,Morgan TAYLOR,1928 Amsterdam,Athletics,Men's,400m hurdles
Summer,1928,Gold,FIN,Finland,Toivo LOUKOLA,1928 Amsterdam,Athletics,Men's,3000m steeplechase
Summer,1928,Silver,FIN,Finland,Paavo NURMI,1928 Amsterdam,Athletics,Men's,3000m steeplechase
Summer,1928,Bronze,FIN,Finland,Ove ANDERSEN,1928 Amsterdam,Athletics,Men's,3000m steeplechase
Summer,1928,Gold,USA,United States,"Charles Edward BORAH, Frank WYKOFF, James QUINN, Henry RUSSELL",1928 Amsterdam,Athletics,Men's,4x100m relay
Summer,1928,Silver,GER,Germany,"Richard CORTS, Georg LAMMERS, Helmut KÖRNIG, Hubert HOUBEN",1928 Amsterdam,Athletics,Men's,4x100m relay
Summer,1928,Bronze,GBR,Great Britain,"Walter RANGELEY, Edward SMOUHA, Jack LONDON, Cyril GILL",1928 Amsterdam,Athletics,Men's,4x100m relay
Summer,1928,Gold,USA,United States,"Raymond James BARBUTI, George BAIRD, Emerson SPENCER, Fred ALDERMAN",1928 Amsterdam,Athletics,Men's,4x400m relay
Summer,1928,Silver,GER,Germany,"Harry STORZ, Otto NEUMANN, Richard KREBS, Hermann ENGELHARD",1928 Amsterdam,Athletics,Men's,4x400m relay
Summer,1928,Bronze,CAN,Canada,"Philip EDWARDS, Stanley GLOVER, James BALL, Alex WILSON",1928 Amsterdam,Athletics,Men's,4x400m relay
