season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1932,Gold,USA,United States,Eddie TOLAN,1932 Los Angeles,Athletics,Men's,100m
Summer,1932,Silver,USA,United States,Ralph METCALFE,1932 Los Angeles,Athletics,Men's,100m
Summer,1932,Bronze,GER,Germany,Arthur JONATH,1932 Los Angeles,Athletics,Men's,100m
Summer,1932,Gold,USA,United States,Eddie TOLAN,1932 Los Angeles,Athletics,Men's,200m
Summer,1932,Silver,USA,United States,George SIMPSON,1932 Los Angeles,Athletics,Men's,200m
Summer,1932,Bronze,USA,United States,Ralph METCALFE,1932 Los Angeles,Athletics,Men's,200m
Summer,1932,Gold,USA,United States,William Arthur CARR,1932 Los Angeles,Athletics,Men's,400m
Summer,1932,Silver,USA,United States,Benjamin Bangs EASTMAN,1932 Los Angeles,Athletics,Men's,400m
Summer,1932,Bronze,CAN,Canada,Alex WILSON,1932 Los Angeles,Athletics,Men's,400m
Summer,1932,Gold,GBR,Great Britain,Thomas HAMPSON,1932 Los Angeles,Athletics,Men's,800m
Summer,1932,Silver,CAN,Canada,Alex WILSON,1932 Los Angeles,Athletics,Men's,800m
Summer,1932,Bronze,CAN,Canada,Philip EDWARDS,1932 Los Angeles,Athletics,Men's,800m
Summer,1932,Gold,ITA,Italy,Luigi BECCALI,1932 Los Angeles,Athletics,Men's,1500m
Summer,1932,Silver,GBR,Great Britain,John CORNES,1932 Los Angeles,Athletics,Men's,1500m
Summer,1932,Bronze,CAN,Canada,Philip EDWARDS,1932 Los Angeles,Athletics,Men's,1500m
Summer,1932,Gold,FIN,Finland,Lauri LEHTINEN,1932 Los Angeles,Athletics,Men's,5000m
Summer,1932,Silver,USA,United States,Ralph HILL,1932 Los Angeles,Athletics,Men's,5000m
Summer,1932,Bronze,FIN,Finland,Lauri VIRTANEN,1932 Los Angeles,Athletics,Men's,5000m
Summer,1932,Gold,POL,Poland,Janusz KUSOCINSKI,1932 Los Angeles,Athletics,Men's,10000m
Summer,1932,Silver,FIN,Finland,Volmari ISO-HOLLO,1932 Los Angeles,Athletics,Men's,10000m
Summer,1932,Bronze,FIN,Finland,Lauri VIRTANEN,1932 Los Angeles,Athletics,Men's,10000m
Summer,1932,Gold,ARG,Argentina,Juan Carlos ZABALA,1932 Los Angeles,Athletics,Men's,marathon
Summer,1932,Silver,GBR,Great Britain,Samuel FERRIS,1932 Los Angeles,Athletics,Men's,marathon
Summer,1932,Bronze,FIN,Finland,Armas TOIVONEN,1932 Los Angeles,Athletics,Men's,marathon
Summer,1932,Gold,USA,United States,George SALING,1932 Los Angeles,Athletics,Men's,110m hurdles
Summer,1932,Silver,USA,United States,Percy BEARD,1932 Los Angeles,Athletics,Men's,110m hurdles
Summer,1932,Bronze,GBR,Great Britain,Donald FINLAY,1932 Los Angeles,Athletics,Men's,110m hurdles
Summer,1932,Gold,IRL,Ireland,Robert Morton Newburgh TISDALL,1932 Los Angeles,Athletics,Men's,400m hurdles
Summer,1932,Silver,USA,United States,Glenn HARDIN,1932 Los Angeles,Athletics,Men's,400m hurdles
Summer,1932,Bronze,USA,United States,Morgan TAYLOR,1932 Los Angeles,Athletics,Men's,400m hurdles
Summer,1932,Gold,FIN,Finland,Volmari ISO-HOLLO,1932 Los Angeles,Athletics,Men's,3000m steeplechase
Summer,1932,Silver,GBR,Great Britain,Thomas EVENSON,1932 Los Angeles,Athletics,Men's,3000m steeplechase
Summer,1932,Bronze,USA,United States,Joseph MCCLUSKEY,1932 Los Angeles,Athletics,Men's,3000m steeplechase
Summer,1932,Gold,GBR,Great Britain,Thomas William GREEN,1932 Los Angeles,Athletics,Men's,50km walk
Summer,1932,Silver,LAT,Latvia,Janis DALINS,1932 Los Angeles,Athletics,Men's,50km walk
Summer,1932,Bronze,ITA,Italy,Ugo FRIGERIO,1932 Los Angeles,Athletics,Men's,50km walk
Summer,1932,Gold,USA,United States,"Hector DYER, Emmett TOPPINO, Frank WYKOFF, Robert Allan KIESEL",1932 Los Angeles,Athletics,Men's,4x100m relay
Summer,1932,Silver,GER,Germany,"Helmut KÖRNIG, Friedrich HENDRIX, Arthur JONATH, Erich BORCHMEYER",1932 Los Angeles,Athletics,Men's,4x100m relay
Summer,1932,Bronze,ITA,Italy,"Giuseppe CASTELLI, Edgardo TOETTI, Ruggero MAREGATTI, Luigi FACELLI",1932 Los Angeles,Athletics,Men's,4x100m relay
Summer,1932,Gold,USA,United States,"Ivan FUQUA, William Arthur CARR, Edgar ABLOWICH, Karl WARNER",1932 Los Angeles,Athletics,Men's,4x400m relay
Summer,1932,Silver,GBR,Great Britain,"Godfrey RAMPLING, Thomas HAMPSON, Crew STONELEY, David George BURGHLEY",1932 Los Angeles,Athletics,Men's,4x400m relay
Summer,1932,Bronze,CAN,Canada,"Raymond Gray LEWIS, Alex WILSON, Philip EDWARDS, James BALL",1932 Los Angeles,Athletics,Men's,4x400m relay
Summer,1932,Gold,USA,United States,Edward Lansing GORDON,1932 Los Angeles,Athletics,Men's,long jump
Summer,1932,Silver,USA,United States,Lambert REDD,1932 Los Angeles,Athletics,Men's,long jump
Summer,1932,Bronze,JPN,Japan,Chuhei NAMBU,1932 Los Angeles,Athletics,Men's,long jump
Summer,1932,Gold,JPN,Japan,Chuhei NAMBU,1932 Los Angeles,Athletics,Men's,triple jump
