season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1932,Gold,USA,United States,"J. Hubert STEVENS, Curtis STEVENS",1932 Lake Placid,Bobsleigh,Men's,two-man
Winter,1932,Silver,SUI,Switzerland,"Reto CAPADRUTT, Oscar GEIER",1932 Lake Placid,Bobsleigh,Men's,two-man
Winter,1932,Bronze,USA,United States,"John HEATON, Robert MINTON",1932 Lake Placid,Bobsleigh,Men's,two-man
Winter,1932,Gold,USA,United States,"William FISKE, Clifford Barton GRAY, Edward EAGAN, James Jay O'BRIEN",1932 Lake Placid,Bobsleigh,Men's,four-man
Winter,1932,Silver,USA,United States,"Henry Anton HOMBURGER, Francis Paul STEVENS, Percy D. BRYANT, Edmund Carlton HORTON",1932 Lake Placid,Bobsleigh,Men's,four-man
Winter,1932,Bronze,GER,Germany,"Hanns KILIAN, Max LUDWIG, Hans MEHLHORN, Sebastian HUBER",1932 Lake Placid,Bobsleigh,Men's,four-man
Winter,1932,Gold,SWE,Sweden,Sven UTTERSTRÖM,1932 Lake Placid,Cross Country Skiing,Men's,18km
Winter,1932,Silver,SWE,Sweden,Axel WIKSTRÖM,1932 Lake Placid,Cross Country Skiing,Men's,18km
Winter,1932,Bronze,FIN,Finland,Veli SAARINEN,1932 Lake Placid,Cross Country Skiing,Men's,18km
Winter,1932,Gold,FIN,Finland,Veli SAARINEN,1932 Lake Placid,Cross Country Skiing,Men's,50km
Winter,1932,Silver,FIN,Finland,Väinö LIIKKANEN,1932 Lake Placid,Cross Country Skiing,Men's,50km
Winter,1932,Bronze,NOR,Norway,Arne RUSTADSTUEN,1932 Lake Placid,Cross Country Skiing,Men's,50km
Winter,1932,Gold,AUT,Austria,Karl SCHÄFER,1932 Lake Placid,Figure skating,Men's,individual
Winter,1932,Silver,SWE,Sweden,Gillis GRAFSTRÖM,1932 Lake Placid,Figure skating,Men's,individual
Winter,1932,Bronze,CAN,Canada,Montgomery WILSON,1932 Lake Placid,Figure skating,Men's,individual
Winter,1932,Gold,NOR,Norway,Sonja HENIE,1932 Lake Placid,Figure skating,Women's,individual
Winter,1932,Silver,AUT,Austria,Fritzi BURGER,1932 Lake Placid,Figure skating,Women's,individual
Winter,1932,Bronze,USA,United States,Maribel VINSON,1932 Lake Placid,Figure skating,Women's,individual
Winter,1932,Gold,FRA,France,"Andrée JOLY, Pierre BRUNET",1932 Lake Placid,Figure skating,Mixed,pairs
Winter,1932,Silver,USA,United States,"Sherwin BADGER, Beatrix LOUGHRAN",1932 Lake Placid,Figure skating,Mixed,pairs
Winter,1932,Bronze,HUN,Hungary,"László SZOLLÁS, Emília ROTTER",1932 Lake Placid,Figure skating,Mixed,pairs
