season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1936,Gold,USA,United States,Jesse OWENS,1936 Berlin,Athletics,Men's,100m
Summer,1936,Silver,USA,United States,Ralph METCALFE,1936 Berlin,Athletics,Men's,100m
Summer,1936,Bronze,NED,Netherlands,Martinus OSENDARP,1936 Berlin,Athletics,Men's,100m
Summer,1936,Gold,USA,United States,Jesse OWENS,1936 Berlin,Athletics,Men's,200m
Summer,1936,Silver,USA,United States,Matthew Mackenzie ROBINSON,1936 Berlin,Athletics,Men's,200m
Summer,1936,Bronze,NED,Netherlands,Martinus OSENDARP,1936 Berlin,Athletics,Men's,200m
Summer,1936,Gold,USA,United States,Archibald Franklin WILLIAMS,1936 Berlin,Athletics,Men's,400m
Summer,1936,Silver,GBR,Great Britain,Godfrey BROWN,1936 Berlin,Athletics,Men's,400m
Summer,1936,Bronze,USA,United States,James Ellis LU VALLE,1936 Berlin,Athletics,Men's,400m
Summer,1936,Gold,USA,United States,John WOODRUFF,1936 Berlin,Athletics,Men's,800m
Summer,1936,Silver,ITA,Italy,Mario LANZI,1936 Berlin,Athletics,Men's,800m
Summer,1936,Bronze,CAN,Canada,Philip EDWARDS,1936 Berlin,Athletics,Men's,800m
Summer,1936,Gold,NZL,New Zealand,John LOVELOCK,1936 Berlin,Athletics,Men's,1500m
Summer,1936,Silver,USA,United States,Glenn CUNNINGHAM,1936 Berlin,Athletics,Men's,1500m
Summer,1936,Bronze,ITA,Italy,Luigi BECCALI,1936 Berlin,Athletics,Men's,1500m
Summer,1936,Gold,FIN,Finland,Gunnar HÖCKERT,1936 Berlin,Athletics,Men's,5000m
Summer,1936,Silver,FIN,Finland,Lauri LEHTINEN,1936 Berlin,Athletics,Men's,5000m
Summer,1936,Bronze,SWE,Sweden,Henry JONSSON-KÄLARNE,1936 Berlin,Athletics,Men's,5000m
Summer,1936,Gold,FIN,Finland,Ilmari SALMINEN,1936 Berlin,Athletics,Men's,10000m
Summer,1936,Silver,FIN,Finland,Arvo ASKOLA,1936 Berlin,Athletics,Men's,10000m
Summer,1936,Bronze,FIN,Finland,Volmari ISO-HOLLO,1936 Berlin,Athletics,Men's,10000m
Summer,1936,Gold,JPN,Japan,Kitei SON,1936 Berlin,Athletics,Men's,marathon
Summer,1936,Silver,GBR,Great Britain,Ernest HARPER,1936 Berlin,Athletics,Men's,marathon
Summer,1936,Bronze,JPN,Japan,Shoryu NAN,1936 Berlin,Athletics,Men's,marathon
Summer,1936,Gold,USA,United States,Forrest TOWNS,1936 Berlin,Athletics,Men's,110m hurdles
Summer,1936,Silver,GBR,Great Britain,Donald FINLAY,1936 Berlin,Athletics,Men's,110m hurdles
Summer,1936,Bronze,USA,United States,Fritz POLLARD,1936 Berlin,Athletics,Men's,110m hurdles
Summer,1936,Gold,USA,United States,Glenn HARDIN,1936 Berlin,Athletics,Men's,400m hurdles
Summer,1936,Silver,CAN,Canada,John LOARING,1936 Berlin,Athletics,Men's,400m hurdles
Summer,1936,Bronze,PHI,Philippines,Miguel WHITE,1936 Berlin,Athletics,Men's,400m hurdles
Summer,1936,Gold,FIN,Finland,Volmari ISO-HOLLO,1936 Berlin,Athletics,Men's,3000m steeplechase
Summer,1936,Silver,FIN,Finland,Kaarlo Jalmari TUOMINEN,1936 Berlin,Athletics,Men's,3000m steeplechase
Summer,1936,Bronze,GER,Germany,Alfred DOMPERT,1936 Berlin,Athletics,Men's,3000m steeplechase
Summer,1936,Gold,USA,United States,"Ralph METCALFE, Foy DRAPER, Jesse OWENS, Frank WYKOFF",1936 Berlin,Athletics,Men's,4x100m relay
Summer,1936,Silver,ITA,Italy,"Gianni CALDANA, Tullio GONNELLI, Orazio MARIANI, Elio RAGNI",1936 Berlin,Athletics,Men's,4x100m relay
