season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1948,Gold,USA,United States,Harrison DILLARD,1948 London,Athletics,Men's,100m
Summer,1948,Silver,USA,United States,Barney EWELL,1948 London,Athletics,Men's,100m
Summer,1948,Bronze,PAN,Panama,Lloyd LABEACH,1948 London,Athletics,Men's,100m
Summer,1948,Gold,USA,United States,Mel PATTON,1948 London,Athletics,Men's,200m
Summer,1948,Silver,USA,United States,Barney EWELL,1948 London,Athletics,Men's,200m
Summer,1948,Bronze,PAN,Panama,Lloyd LABEACH,1948 London,Athletics,Men's,200m
Summer,1948,Gold,JAM,"Jamaica, British",Arthur WINT,1948 London,Athletics,Men's,400m
Summer,1948,Silver,JAM,"Jamaica, British",Herbert MCKENLEY,1948 London,Athletics,Men's,400m
Summer,1948,Bronze,USA,United States,Mal WHITFIELD,1948 London,Athletics,Men's,400m
Summer,1948,Gold,USA,United States,Mal WHITFIELD,1948 London,Athletics,Men's,800m
Summer,1948,Silver,JAM,"Jamaica, British",Arthur WINT,1948 London,Athletics,Men's,800m
Summer,1948,Bronze,FRA,France,Marcel HANSENNE,1948 London,Athletics,Men's,800m
Summer,1948,Gold,SWE,Sweden,Henry ERIKSSON,1948 London,Athletics,Men's,1500m
Summer,1948,Silver,SWE,Sweden,Lennart STRAND,1948 London,Athletics,Men's,1500m
Summer,1948,Bronze,NED,Netherlands,Willem SLIJKHUIS,1948 London,Athletics,Men's,1500m
Summer,1948,Gold,BEL,Belgium,Gaston REIFF,1948 London,Athletics,Men's,5000m
Summer,1948,Silver,TCH,Czechoslovakia,Emil ZÁTOPEK,1948 London,Athletics,Men's,5000m
Summer,1948,Bronze,NED,Netherlands,Willem SLIJKHUIS,1948 London,Athletics,Men's,5000m
Summer,1948,Gold,TCH,Czechoslovakia,Emil ZÁTOPEK,1948 London,Athletics,Men's,10000m
Summer,1948,Silver,FRA,France,Alain MIMOUN,1948 London,Athletics,Men's,10000m
Summer,1948,Bronze,SWE,Sweden,Bertil ALBERTSSON,1948 London,Athletics,Men's,10000m
