season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1948,Gold,FRA,France,Henri OREILLER,1948 St. Moritz,Alpine Skiing,Men's,Alpine combined
Winter,1948,Silver,SUI,Switzerland,Karl MOLITOR,1948 St. Moritz,Alpine Skiing,Men's,Alpine combined
Winter,1948,Bronze,FRA,France,James COUTTET,1948 St. Moritz,Alpine Skiing,Men's,Alpine combined
Winter,1948,Gold,FRA,France,Henri OREILLER,1948 St. Moritz,Alpine Skiing,Men's,downhill
Winter,1948,Silver,AUT,Austria,Franz GABL,1948 St. Moritz,Alpine Skiing,Men's,downhill
Winter,1948,Bronze,SUI,Switzerland,Karl MOLITOR,1948 St. Moritz,Alpine Skiing,Men's,downhill
Winter,1948,Bronze,SUI,Switzerland,Ralph OLINGER,1948 St. Moritz,Alpine Skiing,Men's,downhill
Winter,1948,Gold,SUI,Switzerland,Edi REINALTER,1948 St. Moritz,Alpine Skiing,Men's,slalom
Winter,1948,Silver,FRA,France,James COUTTET,1948 St. Moritz,Alpine Skiing,Men's,slalom
Winter,1948,Bronze,FRA,France,Henri OREILLER,1948 St. Moritz,Alpine Skiing,Men's,slalom
Winter,1948,Gold,AUT,Austria,Trude JOCHUM-BEISER,1948 St. Moritz,Alpine Skiing,Women's,Alpine combined
Winter,1948,Silver,USA,United States,Gretchen FRASER,1948 St. Moritz,Alpine Skiing,Women's,Alpine combined
Winter,1948,Bronze,AUT,Austria,Erika MAHRINGER,1948 St. Moritz,Alpine Skiing,Women's,Alpine combined
Winter,1948,Gold,SUI,Switzerland,Hedy SCHLUNEGGER,1948 St. Moritz,Alpine Skiing,Women's,downhill
Winter,1948,Silver,AUT,Austria,Trude JOCHUM-BEISER,1948 St. Moritz,Alpine Skiing,Women's,downhill
Winter,1948,Bronze,AUT,Austria,Resi HAMMERER,1948 St. Moritz,Alpine Skiing,Women's,downhill
Winter,1948,Gold,USA,United States,Gretchen FRASER,1948 St. Moritz,Alpine Skiing,Women's,slalom
Winter,1948,Silver,SUI,Switzerland,Antoinette MEYER,1948 St. Moritz,Alpine Skiing,Women's,slalom
Winter,1948,Bronze,AUT,Austria,Erika MAHRINGER,1948 St. Moritz,Alpine Skiing,Women's,slalom
Winter,1948,Gold,SUI,Switzerland,"Fritz WALLER, Felix ENDRICH",1948 St. Moritz,Bobsleigh,Men's,two-man
Winter,1948,Silver,SUI,Switzerland,"Fritz FEIERABEND, Paul Hans EBERHARD",1948 St. Moritz,Bobsleigh,Men's,two-man
Winter,1948,Bronze,USA,United States,"Schuyler CARRON, Frederick Joseph FORTUNE",1948 St. Moritz,Bobsleigh,Men's,two-man
Winter,1948,Gold,USA,United States,"Edward RIMKUS, Francis William TYLER, Patrick Henry MARTIN, William D'AMICO",1948 St. Moritz,Bobsleigh,Men's,four-man
Winter,1948,Silver,BEL,Belgium,"Freddy MANSVELD, Jacques MOUVET, Louis-Georges NIELS, Max HOUBEN",1948 St. Moritz,Bobsleigh,Men's,four-man
Winter,1948,Bronze,USA,United States,"Thomas HICKS, Donald DUPREE, William DUPREE, Jim ICKFORD JR.",1948 St. Moritz,Bobsleigh,Men's,four-man
Winter,1948,Gold,SWE,Sweden,Martin LUNDSTRÖM,1948 St. Moritz,Cross Country Skiing,Men's,18km
Winter,1948,Silver,SWE,Sweden,Nils ÖSTENSSON,1948 St. Moritz,Cross Country Skiing,Men's,18km
Winter,1948,Bronze,SWE,Sweden,Gunnar ERIKSSON,1948 St. Moritz,Cross Country Skiing,Men's,18km
Winter,1948,Gold,SWE,Sweden,Nils KARLSSON,1948 St. Moritz,Cross Country Skiing,Men's,50km
Winter,1948,Silver,SWE,Sweden,Harald ERIKSSON,1948 St. Moritz,Cross Country Skiing,Men's,50km
Winter,1948,Bronze,FIN,Finland,Benjamin VANNINEN,1948 St. Moritz,Cross Country Skiing,Men's,50km
Winter,1948,Gold,SWE,Sweden,"Nils ÖSTENSSON, Gunnar ERIKSSON, Martin LUNDSTRÖM, Nils TÄPP",1948 St. Moritz,Cross Country Skiing,Men's,4x10km relay
Winter,1948,Silver,FIN,Finland,"Teuvo LAUKKANEN, Lauri SILVENNOINEN, Sauli RYTKY, August KIURU",1948 St. Moritz,Cross Country Skiing,Men's,4x10km relay
Winter,1948,Bronze,NOR,Norway,"Olav ØKERN, Erling EVENSEN, Reidar NYBORG, Olav HAGEN",1948 St. Moritz,Cross Country Skiing,Men's,4x10km relay
Winter,1948,Gold,USA,United States,Richard BUTTON,1948 St. Moritz,Figure skating,Men's,individual
Winter,1948,Silver,SUI,Switzerland,Hans GERSCHWILER,1948 St. Moritz,Figure skating,Men's,individual
Winter,1948,Bronze,AUT,Austria,Edi RADA,1948 St. Moritz,Figure skating,Men's,individual
Winter,1948,Gold,CAN,Canada,Barbara Ann SCOTT,1948 St. Moritz,Figure skating,Women's,individual
Winter,1948,Silver,AUT,Austria,Eva PAWLIK,1948 St. Moritz,Figure skating,Women's,individual
