season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1956,Gold,AUT,Austria,Anton SAILER,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,downhill
Winter,1956,Silver,SUI,Switzerland,Raymond FELLAY,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,downhill
Winter,1956,Bronze,AUT,Austria,Andreas MOLTERER,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,downhill
Winter,1956,Gold,AUT,Austria,Anton SAILER,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,slalom
Winter,1956,Silver,JPN,Japan,Chiharu IGAYA,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,slalom
Winter,1956,Bronze,SWE,Sweden,Stig SOLLANDER,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,slalom
Winter,1956,Gold,AUT,Austria,Anton SAILER,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,giant slalom
Winter,1956,Silver,AUT,Austria,Andreas MOLTERER,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,giant slalom
Winter,1956,Bronze,AUT,Austria,Walter SCHUSTER,1956 Cortina d'Ampezzo,Alpine Skiing,Men's,giant slalom
Winter,1956,Gold,SUI,Switzerland,Madeleine BERTHOD,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,downhill
Winter,1956,Silver,SUI,Switzerland,Frieda DÄNZER,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,downhill
Winter,1956,Bronze,CAN,Canada,Lucille WHEELER,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,downhill
Winter,1956,Gold,SUI,Switzerland,Renée COLLIARD,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,slalom
Winter,1956,Silver,AUT,Austria,Regina SCHÖPF,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,slalom
Winter,1956,Bronze,URS,USSR,Yevgeniya SIDOROVA,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,slalom
Winter,1956,Gold,EUA,Unified Team of Germany,Ossi REICHERT,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,giant slalom
Winter,1956,Silver,AUT,Austria,Josefine FRANDL,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,giant slalom
Winter,1956,Bronze,AUT,Austria,Dorothea HOCHLEITNER,1956 Cortina d'Ampezzo,Alpine Skiing,Women's,giant slalom
Winter,1956,Gold,ITA,Italy,"Lamberto DALLA COSTA, Giacomo CONTI",1956 Cortina d'Ampezzo,Bobsleigh,Men's,two-man
Winter,1956,Silver,ITA,Italy,"Renzo ALVERÀ, Eugenio MONTI",1956 Cortina d'Ampezzo,Bobsleigh,Men's,two-man
Winter,1956,Bronze,SUI,Switzerland,"Harry WARBURTON, Max ANGST",1956 Cortina d'Ampezzo,Bobsleigh,Men's,two-man
Winter,1956,Gold,SUI,Switzerland,"Franz KAPUS, Robert ALT, Gottfried DIENER, Heinrich ANGST",1956 Cortina d'Ampezzo,Bobsleigh,Men's,four-man
Winter,1956,Silver,ITA,Italy,"Renato MOCELLINI, Ulrico GIRARDI, Renzo ALVERÀ, Eugenio MONTI",1956 Cortina d'Ampezzo,Bobsleigh,Men's,four-man
Winter,1956,Bronze,USA,United States,"James Ernest LAMY, Arthur Walter TYLER, William Longstreth DODGE, Charles BUTLER",1956 Cortina d'Ampezzo,Bobsleigh,Men's,four-man
Winter,1956,Gold,NOR,Norway,Hallgeir BRENDEN,1956 Cortina d'Ampezzo,Cross Country Skiing,Men's,15km
Winter,1956,Silver,SWE,Sweden,Sixten JERNBERG,1956 Cortina d'Ampezzo,Cross Country Skiing,Men's,15km
Winter,1956,Bronze,URS,USSR,Pavel KOLCHIN,1956 Cortina d'Ampezzo,Cross Country Skiing,Men's,15km
Winter,1956,Gold,FIN,Finland,Veikko HAKULINEN,1956 Cortina d'Ampezzo,Cross Country Skiing,Men's,30km
Winter,1956,Silver,SWE,Sweden,Sixten JERNBERG,1956 Cortina d'Ampezzo,Cross Country Skiing,Men's,30km
