season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1960,Gold,EUA,Unified Team of Germany,Armin HARY,1960 Rome,Athletics,Men's,100m
Summer,1960,Silver,USA,United States,Dave SIME,1960 Rome,Athletics,Men's,100m
Summer,1960,Bronze,GBR,Great Britain,Peter RADFORD,1960 Rome,Athletics,Men's,100m
Summer,1960,Gold,ITA,Italy,Livio BERRUTI,1960 Rome,Athletics,Men's,200m
Summer,1960,Silver,USA,United States,Lester Nelson CARNEY,1960 Rome,Athletics,Men's,200m
Summer,1960,Bronze,FRA,France,Abdoulaye SEYE,1960 Rome,Athletics,Men's,200m
Summer,1960,Gold,USA,United States,Otis DAVIS,1960 Rome,Athletics,Men's,400m
Summer,1960,Silver,EUA,Unified Team of Germany,Carl KAUFMANN,1960 Rome,Athletics,Men's,400m
Summer,1960,Bronze,RSA,South Africa,Malcolm SPENCE,1960 Rome,Athletics,Men's,400m
Summer,1960,Gold,NZL,New Zealand,Peter SNELL,1960 Rome,Athletics,Men's,800m
Summer,1960,Silver,BEL,Belgium,Roger MOENS,1960 Rome,Athletics,Men's,800m
Summer,1960,Bronze,BWI,British West Indies,George KERR,1960 Rome,Athletics,Men's,800m
Summer,1960,Gold,AUS,Australia,Herb ELLIOTT,1960 Rome,Athletics,Men's,1500m
Summer,1960,Silver,FRA,France,Michel JAZY,1960 Rome,Athletics,Men's,1500m
Summer,1960,Bronze,HUN,Hungary,István RÓZSAVÖLGYI,1960 Rome,Athletics,Men's,1500m
Summer,1960,Gold,NZL,New Zealand,Murray HALBERG,1960 Rome,Athletics,Men's,5000m
Summer,1960,Silver,EUA,Unified Team of Germany,Hans GRODOTZKI,1960 Rome,Athletics,Men's,5000m
Summer,1960,Bronze,POL,Poland,Kazimierz ZIMNY,1960 Rome,Athletics,Men's,5000m
Summer,1960,Gold,URS,USSR,Pyotr BOLOTNIKOV,1960 Rome,Athletics,Men's,10000m
Summer,1960,Silver,EUA,Unified Team of Germany,Hans GRODOTZKI,1960 Rome,Athletics,Men's,10000m
Summer,1960,Bronze,AUS,Australia,David POWER,1960 Rome,Athletics,Men's,10000m
Summer,1960,Gold,ETH,Ethiopia,Abebe BIKILA,1960 Rome,Athletics,Men's,marathon
Summer,1960,Silver,MAR,Morocco,Abdesiem RHADI BEN ABDESSELEM,1960 Rome,Athletics,Men's,marathon
Summer,1960,Bronze,NZL,New Zealand,Barry MAGEE,1960 Rome,Athletics,Men's,marathon
Summer,1960,Gold,USA,United States,Lee CALHOUN,1960 Rome,Athletics,Men's,110m hurdles
Summer,1960,Silver,USA,United States,Willie MAY,1960 Rome,Athletics,Men's,110m hurdles
Summer,1960,Bronze,USA,United States,Hayes JONES,1960 Rome,Athletics,Men's,110m hurdles
Summer,1960,Gold,USA,United States,Glenn DAVIS,1960 Rome,Athletics,Men's,400m hurdles
Summer,1960,Silver,USA,United States,Clifton Emmett CUSHMAN,1960 Rome,Athletics,Men's,400m hurdles
Summer,1960,Bronze,USA,United States,Richard HOWARD,1960 Rome,Athletics,Men's,400m hurdles
Summer,1960,Gold,POL,Poland,Zdzislaw KRZYSZKOWIAK,1960 Rome,Athletics,Men's,3000m steeplechase
Summer,1960,Silver,URS,USSR,Nikolay SOKOLOV,1960 Rome,Athletics,Men's,3000m steeplechase
Summer,1960,Bronze,URS,USSR,Semyon RZISHCHIN,1960 Rome,Athletics,Men's,3000m steeplechase
Summer,1960,Gold,EUA,Unified Team of Germany,"Bernd CULLMANN, Martin LAUER, Armin HARY, Walter MAHLENDORF",1960 Rome,Athletics,Men's,4x100m relay
Summer,1960,Silver,URS,USSR,"Gusman KOSANOV, Edvin OZOLIN, Yuri KONOVALOV, Leonid BARTENYEV",1960 Rome,Athletics,Men's,4x100m relay
Summer,1960,Bronze,GBR,Great Britain,"Dave SEGAL, Nick WHITEHEAD, Peter RADFORD, David JONES",1960 Rome,Athletics,Men's,4x100m relay
Summer,1960,Gold,USA,United States,"Otis DAVIS, Glenn DAVIS, Jack YERMAN, Earl YOUNG",1960 Rome,Athletics,Men's,4x400m relay
Summer,1960,Silver,EUA,Unified Team of Germany,"Johannes KAISER, Manfred KINDER, Carl KAUFMANN, Hans-Joachim RESKE",1960 Rome,Athletics,Men's,4x400m relay
Summer,1960,Bronze,BWI,British West Indies,"George KERR, Malcolm A.E. SPENCE, Keith GARDNER, James WEDDERBURN",1960 Rome,Athletics,Men's,4x400m relay
Summer,1960,Gold,URS,USSR,Vladimir GOLUBNICHY,1960 Rome,Athletics,Men's,20km walk
Summer,1960,Silver,AUS,Australia,Noel FREEMAN,1960 Rome,Athletics,Men's,20km walk
Summer,1960,Bronze,GBR,Great Britain,Stanley Frank VICKERS,1960 Rome,Athletics,Men's,20km walk
Summer,1960,Gold,GBR,Great Britain,Donald James THOMPSON,1960 Rome,Athletics,Men's,50km walk
Summer,1960,Silver,SWE,Sweden,John LJUNGGREN,1960 Rome,Athletics,Men's,50km walk
Summer,1960,Bronze,ITA,Italy,Abdon PAMICH,1960 Rome,Athletics,Men's,50km walk
Summer,1960,Gold,USA,United States,Ralph BOSTON,1960 Rome,Athletics,Men's,long jump
Summer,1960,Silver,USA,United States,Irvin ROBERSON,1960 Rome,Athletics,Men's,long jump
Summer,1960,Bronze,URS,USSR,Igor TER-OVANESYAN,1960 Rome,Athletics,Men's,long jump
Summer,1960,Gold,POL,Poland,Jozef SCHMIDT,1960 Rome,Athletics,Men's,triple jump
Summer,1960,Silver,URS,USSR,Vladimir GORYAYEV,1960 Rome,Athletics,Men's,triple jump
Summer,1960,Bronze,URS,USSR,Vitold KREYER,1960 Rome,Athletics,Men's,triple jump
