season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1964,Gold,USA,United States,Bob HAYES,1964 Tokyo,Athletics,Men's,100m
Summer,1964,Silver,CUB,Cuba,Enrique FIGUEROLA,1964 Tokyo,Athletics,Men's,100m
Summer,1964,Bronze,CAN,Canada,Harry JEROME,1964 Tokyo,Athletics,Men's,100m
Summer,1964,Gold,USA,United States,Henry CARR,1964 Tokyo,Athletics,Men's,200m
Summer,1964,Silver,USA,United States,Paul DRAYTON,1964 Tokyo,Athletics,Men's,200m
Summer,1964,Bronze,TTO,Trinidad and Tobago,Edwin ROBERTS,1964 Tokyo,Athletics,Men's,200m
Summer,1964,Gold,USA,United States,Mike LARRABEE,1964 Tokyo,Athletics,Men's,400m
Summer,1964,Silver,TTO,Trinidad and Tobago,Wendell MOTTLEY,1964 Tokyo,Athletics,Men's,400m
Summer,1964,Bronze,POL,Poland,Andrzej BADENSKI,1964 Tokyo,Athletics,Men's,400m
Summer,1964,Gold,NZL,New Zealand,Peter SNELL,1964 Tokyo,Athletics,Men's,800m
Summer,1964,Silver,CAN,Canada,William CROTHERS,1964 Tokyo,Athletics,Men's,800m
Summer,1964,Bronze,KEN,Kenya,Wilson KIPRUGUT,1964 Tokyo,Athletics,Men's,800m
Summer,1964,Gold,NZL,New Zealand,Peter SNELL,1964 Tokyo,Athletics,Men's,1500m
Summer,1964,Silver,TCH,Czechoslovakia,Josef ODLOZIL,1964 Tokyo,Athletics,Men's,1500m
Summer,1964,Bronze,NZL,New Zealand,John DAVIES,1964 Tokyo,Athletics,Men's,1500m
Summer,1964,Gold,USA,United States,Robert Keyser SCHUL,1964 Tokyo,Athletics,Men's,5000m
Summer,1964,Silver,EUA,Unified Team of Germany,Harald NORPOTH,1964 Tokyo,Athletics,Men's,5000m
Summer,1964,Bronze,USA,United States,Bill DELLINGER,1964 Tokyo,Athletics,Men's,5000m
Summer,1964,Gold,USA,United States,Billy MILLS,1964 Tokyo,Athletics,Men's,10000m
Summer,1964,Silver,TUN,Tunisia,Mohamed GAMMOUDI,1964 Tokyo,Athletics,Men's,10000m
Summer,1964,Bronze,AUS,Australia,Ron CLARKE,1964 Tokyo,Athletics,Men's,10000m
Summer,1964,Gold,ETH,Ethiopia,Abebe BIKILA,1964 Tokyo,Athletics,Men's,marathon
Summer,1964,Silver,GBR,Great Britain,Basil HEATLEY,1964 Tokyo,Athletics,Men's,marathon
Summer,1964,Bronze,JPN,Japan,Kokichi TSUBURAYA,1964 Tokyo,Athletics,Men's,marathon
Summer,1964,Gold,USA,United States,Hayes JONES,1964 Tokyo,Athletics,Men's,110m hurdles
Summer,1964,Silver,USA,United States,Blaine LINDGREN,1964 Tokyo,Athletics,Men's,110m hurdles
Summer,1964,Bronze,URS,USSR,Anatoly MIKHAYLOV,1964 Tokyo,Athletics,Men's,110m hurdles
Summer,1964,Gold,USA,United States,Warren (Rex) Jay CAWLEY,1964 Tokyo,Athletics,Men's,400m hurdles
Summer,1964,Silver,GBR,Great Britain,John COOPER,1964 Tokyo,Athletics,Men's,400m hurdles
Summer,1964,Bronze,ITA,Italy,Salvatore MORALE,1964 Tokyo,Athletics,Men's,400m hurdles
Summer,1964,Gold,BEL,Belgium,Gaston ROELANTS,1964 Tokyo,Athletics,Men's,3000m steeplechase
Summer,1964,Silver,GBR,Great Britain,Maurice HERRIOTT,1964 Tokyo,Athletics,Men's,3000m steeplechase
Summer,1964,Bronze,URS,USSR,Ivan BELYAEV,1964 Tokyo,Athletics,Men's,3000m steeplechase
Summer,1964,Gold,USA,United States,"Bob HAYES, Gerald Howard ASHWORTH, Paul DRAYTON, Richard STEBBINS",1964 Tokyo,Athletics,Men's,4x100m relay
Summer,1964,Silver,POL,Poland,"Andrzej ZIELINSKI, Marian DUDZIAK, Marian FOIK, Wieslaw MANIAK",1964 Tokyo,Athletics,Men's,4x100m relay
Summer,1964,Bronze,FRA,France,"Bernard LAIDEBEUR, Claude PIQUEMAL, Paul GENEVAY, Jocelyn DELECOUR",1964 Tokyo,Athletics,Men's,4x100m relay
Summer,1964,Gold,USA,United States,"Ulis WILLIAMS, Henry CARR, Mike LARRABEE, Ollan CASSELL",1964 Tokyo,Athletics,Men's,4x400m relay
Summer,1964,Silver,GBR,Great Britain,"Robbie BRIGHTWELL, Adrian METCALFE, John COOPER, Tim GRAHAM",1964 Tokyo,Athletics,Men's,4x400m relay
Summer,1964,Bronze,TTO,Trinidad and Tobago,"Edwin ROBERTS, Wendell MOTTLEY, Kent BERNARD, Edwin SKINNER",1964 Tokyo,Athletics,Men's,4x400m relay
