season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1968,Gold,USA,United States,Jim HINES,1968 Mexico,Athletics,Men's,100m
Summer,1968,Silver,JAM,Jamaica,Lennox MILLER,1968 Mexico,Athletics,Men's,100m
Summer,1968,Bronze,USA,United States,Charlie GREENE,1968 Mexico,Athletics,Men's,100m
Summer,1968,Gold,USA,United States,Tommie SMITH,1968 Mexico,Athletics,Men's,200m
Summer,1968,Silver,AUS,Australia,Peter NORMAN,1968 Mexico,Athletics,Men's,200m
Summer,1968,Bronze,USA,United States,John CARLOS,1968 Mexico,Athletics,Men's,200m
Summer,1968,Gold,USA,United States,Lee EVANS,1968 Mexico,Athletics,Men's,400m
Summer,1968,Silver,USA,United States,Larry JAMES,1968 Mexico,Athletics,Men's,400m
Summer,1968,Bronze,USA,United States,Ron FREEMAN,1968 Mexico,Athletics,Men's,400m
Summer,1968,Gold,AUS,Australia,Ralph DOUBELL,1968 Mexico,Athletics,Men's,800m
Summer,1968,Silver,KEN,Kenya,Wilson KIPRUGUT,1968 Mexico,Athletics,Men's,800m
Summer,1968,Bronze,USA,United States,Thomas Francis FARRELL,1968 Mexico,Athletics,Men's,800m
Summer,1968,Gold,KEN,Kenya,Kip KEINO,1968 Mexico,Athletics,Men's,1500m
Summer,1968,Silver,USA,United States,Jim RYUN,1968 Mexico,Athletics,Men's,1500m
Summer,1968,Bronze,FRG,Federal Republic of Germany,Bodo TÜMMLER,1968 Mexico,Athletics,Men's,1500m
Summer,1968,Gold,TUN,Tunisia,Mohamed GAMMOUDI,1968 Mexico,Athletics,Men's,5000m
Summer,1968,Silver,KEN,Kenya,Kip KEINO,1968 Mexico,Athletics,Men's,5000m
Summer,1968,Bronze,KEN,Kenya,Naftali TEMU,1968 Mexico,Athletics,Men's,5000m
Summer,1968,Gold,KEN,Kenya,Naftali TEMU,1968 Mexico,Athletics,Men's,10000m
Summer,1968,Silver,ETH,Ethiopia,Mamo WOLDE,1968 Mexico,Athletics,Men's,10000m
Summer,1968,Bronze,TUN,Tunisia,Mohamed GAMMOUDI,1968 Mexico,Athletics,Men's,10000m
Summer,1968,Gold,ETH,Ethiopia,Mamo WOLDE,1968 Mexico,Athletics,Men's,marathon
Summer,1968,Silver,JPN,Japan,Kenji KIMIHARA,1968 Mexico,Athletics,Men's,marathon
Summer,1968,Bronze,NZL,New Zealand,Mike RYAN,1968 Mexico,Athletics,Men's,marathon
Summer,1968,Gold,USA,United States,Willie DAVENPORT,1968 Mexico,Athletics,Men's,110m hurdles
Summer,1968,Silver,USA,United States,Ervin HALL,1968 Mexico,Athletics,Men's,110m hurdles
Summer,1968,Bronze,ITA,Italy,Eddy OTTOZ,1968 Mexico,Athletics,Men's,110m hurdles
Summer,1968,Gold,GBR,Great Britain,David HEMERY,1968 Mexico,Athletics,Men's,400m hurdles
Summer,1968,Silver,FRG,Federal Republic of Germany,Gerhard HENNIGE,1968 Mexico,Athletics,Men's,400m hurdles
Summer,1968,Bronze,GBR,Great Britain,John SHERWOOD,1968 Mexico,Athletics,Men's,400m hurdles
Summer,1968,Gold,KEN,Kenya,Amos BIWOTT,1968 Mexico,Athletics,Men's,3000m steeplechase
Summer,1968,Silver,KEN,Kenya,Benjamin KOGO,1968 Mexico,Athletics,Men's,3000m steeplechase
Summer,1968,Bronze,USA,United States,George YOUNG,1968 Mexico,Athletics,Men's,3000m steeplechase
Summer,1968,Gold,USA,United States,"Ronnie Ray SMITH, Charlie GREENE, Melvin Jr. PENDER, Jim HINES",1968 Mexico,Athletics,Men's,4x100m relay
Summer,1968,Silver,CUB,Cuba,"Hermes RAMÍREZ, Enrique FIGUEROLA, Juan MORALES, Pablo MONTES",1968 Mexico,Athletics,Men's,4x100m relay
Summer,1968,Bronze,FRA,France,"Jocelyn DELECOUR, Gerard FENOUIL, Roger BAMBUCK, Claude PIQUEMAL",1968 Mexico,Athletics,Men's,4x100m relay
Summer,1968,Gold,USA,United States,"Lee EVANS, Vince MATTHEWS, Ron FREEMAN, Larry JAMES",1968 Mexico,Athletics,Men's,4x400m relay
Summer,1968,Silver,KEN,Kenya,"Hezekiah Munyoro NYAMAU, Charles ASATI, Naftali BON, Daniel Matasi RUDISHA",1968 Mexico,Athletics,Men's,4x400m relay
Summer,1968,Bronze,FRG,Federal Republic of Germany,"Martin JELLINGHAUS, Manfred KINDER, Helmar MÜLLER, Gerhard HENNIGE",1968 Mexico,Athletics,Men's,4x400m relay
Summer,1968,Gold,URS,USSR,Vladimir GOLUBNICHY,1968 Mexico,Athletics,Men's,20km walk
Summer,1968,Silver,MEX,Mexico,José PEDRAZA,1968 Mexico,Athletics,Men's,20km walk
Summer,1968,Bronze,URS,USSR,Nikolay SMAGA,1968 Mexico,Athletics,Men's,20km walk
Summer,1968,Gold,GDR,German Democratic Republic,Christoph HÖHNE,1968 Mexico,Athletics,Men's,50km walk
Summer,1968,Silver,HUN,Hungary,Antal KISS,1968 Mexico,Athletics,Men's,50km walk
Summer,1968,Bronze,USA,United States,Larry YOUNG,1968 Mexico,Athletics,Men's,50km walk
Summer,1968,Gold,USA,United States,Bob BEAMON,1968 Mexico,Athletics,Men's,long jump
Summer,1968,Silver,GDR,German Democratic Republic,Klaus BEER,1968 Mexico,Athletics,Men's,long jump
Summer,1968,Bronze,USA,United States,Ralph BOSTON,1968 Mexico,Athletics,Men's,long jump
Summer,1968,Gold,URS,USSR,Viktor SANEYEV,1968 Mexico,Athletics,Men's,triple jump
Summer,1968,Silver,BRA,Brazil,Nelson PRUDENCIO,1968 Mexico,Athletics,Men's,triple jump
Summer,1968,Bronze,ITA,Italy,Giuseppe GENTILE,1968 Mexico,Athletics,Men's,triple jump
Summer,1968,Gold,USA,United States,Dick FOSBURY,1968 Mexico,Athletics,Men's,high jump
Summer,1968,Silver,USA,United States,Edward J. Jr. CARUTHERS,1968 Mexico,Athletics,Men's,high jump
Summer,1968,Bronze,URS,USSR,Valentin GAVRILOV,1968 Mexico,Athletics,Men's,high jump
Summer,1968,Gold,USA,United States,Bob SEAGREN,1968 Mexico,Athletics,Men's,pole vault
Summer,1968,Silver,FRG,Federal Republic of Germany,Claus SCHIPROWSKI,1968 Mexico,Athletics,Men's,pole vault
Summer,1968,Bronze,GDR,German Democratic Republic,Wolfgang NORDWIG,1968 Mexico,Athletics,Men's,pole vault
Summer,1968,Gold,USA,United States,Randy MATSON,1968 Mexico,Athletics,Men's,shot put
Summer,1968,Silver,USA,United States,George WOODS,1968 Mexico,Athletics,Men's,shot put
Summer,1968,Bronze,URS,USSR,Eduard GUSHCHIN,1968 Mexico,Athletics,Men's,shot put
Summer,1968,Gold,USA,United States,Al OERTER,1968 Mexico,Athletics,Men's,discus throw
Summer,1968,Silver,GDR,German Democratic Republic,Lothar MILDE,1968 Mexico,Athletics,Men's,discus throw
Summer,1968,Bronze,TCH,Czechoslovakia,Ludvík DANEK,1968 Mexico,Athletics,Men's,discus throw
Summer,1968,Gold,HUN,Hungary,Gyula ZSIVÓTZKY,1968 Mexico,Athletics,Men's,hammer throw
Summer,1968,Silver,URS,USSR,Romuald KLIM,1968 Mexico,Athletics,Men's,hammer throw
Summer,1968,Bronze,HUN,Hungary,Lázár LOVÁSZ,1968 Mexico,Athletics,Men's,hammer throw
Summer,1968,Gold,URS,USSR,Yanis LUSIS,1968 Mexico,Athletics,Men's,javelin throw
Summer,1968,Silver,FIN,Finland,Jorma KINNUNEN,1968 Mexico,Athletics,Men's,javelin throw
Summer,1968,Bronze,HUN,Hungary,Gergely KULCSÁR,1968 Mexico,Athletics,Men's,javelin throw
Summer,1968,Gold,USA,United States,Bill TOOMEY,1968 Mexico,Athletics,Men's,decathlon
Summer,1968,Silver,FRG,Federal Republic of Germany,Hans-Joachim WALDE,1968 Mexico,Athletics,Men's,decathlon
Summer,1968,Bronze,FRG,Federal Republic of Germany,Kurt BENDLIN,1968 Mexico,Athletics,Men's,decathlon
Summer,1968,Gold,USA,United States,Wyomia TYUS,1968 Mexico,Athletics,Women's,100m
Summer,1968,Silver,USA,United States,Barbara FERRELL,1968 Mexico,Athletics,Women's,100m
Summer,1968,Bronze,POL,Poland,Irena KIRSZENSTEIN,1968 Mexico,Athletics,Women's,100m
Summer,1968,Gold,POL,Poland,Irena KIRSZENSTEIN,1968 Mexico,Athletics,Women's,200m
Summer,1968,Silver,AUS,Australia,Raelene Ann BOYLE,1968 Mexico,Athletics,Women's,200m
Summer,1968,Bronze,AUS,Australia,Jennifer LAMY,1968 Mexico,Athletics,Women's,200m
Summer,1968,Gold,FRA,France,Colette BESSON,1968 Mexico,Athletics,Women's,400m
Summer,1968,Silver,GBR,Great Britain,Lillian BOARD,1968 Mexico,Athletics,Women's,400m
Summer,1968,Bronze,URS,USSR,Natalya CHISTYAKOVA,1968 Mexico,Athletics,Women's,400m
Summer,1968,Gold,USA,United States,Madeline MANNING-JACKSON,1968 Mexico,Athletics,Women's,800m
Summer,1968,Silver,ROU,Romania,Ileana SILAI,1968 Mexico,Athletics,Women's,800m
Summer,1968,Bronze,NED,Netherlands,Maria GOMMERS,1968 Mexico,Athletics,Women's,800m
Summer,1968,Gold,AUS,Australia,Maureen CAIRD,1968 Mexico,Athletics,Women's,80m hurdles
Summer,1968,Silver,AUS,Australia,Pamela RYAN,1968 Mexico,Athletics,Women's,80m hurdles
Summer,1968,Bronze,TPE,Republic of China (Taiwan),Cheng CHI,1968 Mexico,Athletics,Women's,80m hurdles
Summer,1968,Gold,USA,United States,"Mildrette NETTER, Barbara FERRELL, Margaret BAILES, Wyomia TYUS",1968 Mexico,Athletics,Women's,4x100m relay
Summer,1968,Silver,CUB,Cuba,"Marlene ELEJARDE, Miguelina COBIÁN, Fulgencia ROMAY MARTINEZ, Violeta QUESADA",1968 Mexico,Athletics,Women's,4x100m relay
Summer,1968,Bronze,URS,USSR,"Galina BUKHARINA, Lyudmila ZHARKOVA, Vera POPKOVA, Lyudmila IGNATYEVA-SAMOTESOVA",1968 Mexico,Athletics,Women's,4x100m relay
Summer,1968,Gold,ROU,Romania,Viorica VISCOPOLEANU,1968 Mexico,Athletics,Women's,long jump
Summer,1968,Silver,GBR,Great Britain,Sheila SHERWOOD,1968 Mexico,Athletics,Women's,long jump
Summer,1968,Bronze,URS,USSR,Tatyana TALYSHEVA,1968 Mexico,Athletics,Women's,long jump
Summer,1968,Gold,TCH,Czechoslovakia,Miloslava REZKOVA-HUBNER,1968 Mexico,Athletics,Women's,high jump
Summer,1968,Silver,URS,USSR,Antonina OKOROKOVA,1968 Mexico,Athletics,Women's,high jump
Summer,1968,Bronze,URS,USSR,Valentina KOZYR,1968 Mexico,Athletics,Women's,high jump
