season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1972,Gold,USA,United States,John WILLIAMS,1972 Munich,Archery,Men's,individual FITA round
Summer,1972,Silver,SWE,Sweden,Gunnar JERVILL,1972 Munich,Archery,Men's,individual FITA round
Summer,1972,Bronze,FIN,Finland,Kyösti Kalevi LAASONEN,1972 Munich,Archery,Men's,individual FITA round
Summer,1972,Gold,USA,United States,Doreen WILBER,1972 Munich,Archery,Women's,individual FITA round
Summer,1972,Silver,POL,Poland,Irena SZYDLOWSKA,1972 Munich,Archery,Women's,individual FITA round
Summer,1972,Bronze,URS,USSR,Emma GAPCHENKO,1972 Munich,Archery,Women's,individual FITA round
Summer,1972,Gold,URS,USSR,Valery BORZOV,1972 Munich,Athletics,Men's,100m
Summer,1972,Silver,USA,United States,Robert TAYLOR,1972 Munich,Athletics,Men's,100m
Summer,1972,Bronze,JAM,Jamaica,Lennox MILLER,1972 Munich,Athletics,Men's,100m
Summer,1972,Gold,URS,USSR,Valery BORZOV,1972 Munich,Athletics,Men's,200m
Summer,1972,Silver,USA,United States,Larry BLACK,1972 Munich,Athletics,Men's,200m
Summer,1972,Bronze,ITA,Italy,Pietro MENNEA,1972 Munich,Athletics,Men's,200m
Summer,1972,Gold,USA,United States,Vince MATTHEWS,1972 Munich,Athletics,Men's,400m
Summer,1972,Silver,USA,United States,Wayne COLLETT,1972 Munich,Athletics,Men's,400m
Summer,1972,Bronze,KEN,Kenya,Julius SANG,1972 Munich,Athletics,Men's,400m
Summer,1972,Gold,USA,United States,David James WOTTLE,1972 Munich,Athletics,Men's,800m
Summer,1972,Silver,URS,USSR,Yevgeni ARZHANOV,1972 Munich,Athletics,Men's,800m
Summer,1972,Bronze,KEN,Kenya,Mike BOIT,1972 Munich,Athletics,Men's,800m
Summer,1972,Gold,FIN,Finland,Pekka VASALA,1972 Munich,Athletics,Men's,1500m
Summer,1972,Silver,KEN,Kenya,Kip KEINO,1972 Munich,Athletics,Men's,1500m
Summer,1972,Bronze,NZL,New Zealand,Rodney DIXON,1972 Munich,Athletics,Men's,1500m
Summer,1972,Gold,FIN,Finland,Lasse VIREN,1972 Munich,Athletics,Men's,5000m
Summer,1972,Silver,TUN,Tunisia,Mohamed GAMMOUDI,1972 Munich,Athletics,Men's,5000m
Summer,1972,Bronze,GBR,Great Britain,Ian STEWART,1972 Munich,Athletics,Men's,5000m
Summer,1972,Gold,FIN,Finland,Lasse VIREN,1972 Munich,Athletics,Men's,10000m
Summer,1972,Silver,BEL,Belgium,Emiel PUTTEMANS,1972 Munich,Athletics,Men's,10000m
Summer,1972,Bronze,ETH,Ethiopia,Miruts YIFTER,1972 Munich,Athletics,Men's,10000m
Summer,1972,Gold,USA,United States,Frank Charles SHORTER,1972 Munich,Athletics,Men's,marathon
Summer,1972,Silver,BEL,Belgium,Karel LISMONT,1972 Munich,Athletics,Men's,marathon
Summer,1972,Bronze,ETH,Ethiopia,Mamo WOLDE,1972 Munich,Athletics,Men's,marathon
Summer,1972,Gold,USA,United States,Rod MILBURN,1972 Munich,Athletics,Men's,110m hurdles
Summer,1972,Silver,FRA,France,Guy DRUT,1972 Munich,Athletics,Men's,110m hurdles
Summer,1972,Bronze,USA,United States,Thomas HILL,1972 Munich,Athletics,Men's,110m hurdles
Summer,1972,Gold,UGA,Uganda,John AKII-BUA,1972 Munich,Athletics,Men's,400m hurdles
Summer,1972,Silver,USA,United States,Ralph MANN,1972 Munich,Athletics,Men's,400m hurdles
Summer,1972,Bronze,GBR,Great Britain,David HEMERY,1972 Munich,Athletics,Men's,400m hurdles
Summer,1972,Gold,KEN,Kenya,Kip KEINO,1972 Munich,Athletics,Men's,3000m steeplechase
Summer,1972,Silver,KEN,Kenya,Ben JIPCHO,1972 Munich,Athletics,Men's,3000m steeplechase
Summer,1972,Bronze,FIN,Finland,Tapio KANTANEN,1972 Munich,Athletics,Men's,3000m steeplechase
Summer,1972,Gold,USA,United States,"Robert TAYLOR, Gerald TINKER, Eddie HART, Larry BLACK",1972 Munich,Athletics,Men's,4x100m relay
Summer,1972,Silver,URS,USSR,"Yuris SILOVS, Aleksandr KORNELYUK, Vladimir LOVETSKY, Valery BORZOV",1972 Munich,Athletics,Men's,4x100m relay
Summer,1972,Bronze,FRG,Federal Republic of Germany,"Jobst HIRSCHT, Gerhard WUCHERER, Karlheinz KLOTZ, Klaus EHL",1972 Munich,Athletics,Men's,4x100m relay
Summer,1972,Gold,KEN,Kenya,"Robert OUKO, Charles ASATI, Julius SANG, Hezekiah Munyoro NYAMAU",1972 Munich,Athletics,Men's,4x400m relay
Summer,1972,Silver,GBR,Great Britain,"David Andrew JENKINS, David HEMERY, Alan Peter PASCOE, Martin REYNOLDS",1972 Munich,Athletics,Men's,4x400m relay
