season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1972,Gold,SUI,Switzerland,Bernhard RUSSI,1972 Sapporo,Alpine Skiing,Men's,downhill
Winter,1972,Silver,SUI,Switzerland,Roland COLLOMBIN,1972 Sapporo,Alpine Skiing,Men's,downhill
Winter,1972,Bronze,AUT,Austria,Heinrich MESSNER,1972 Sapporo,Alpine Skiing,Men's,downhill
Winter,1972,Gold,ESP,Spain,Francisco FERNÁNDEZ OCHOA,1972 Sapporo,Alpine Skiing,Men's,slalom
Winter,1972,Silver,ITA,Italy,Gustavo THÖNI,1972 Sapporo,Alpine Skiing,Men's,slalom
Winter,1972,Bronze,ITA,Italy,Rolando THÖNI,1972 Sapporo,Alpine Skiing,Men's,slalom
Winter,1972,Gold,ITA,Italy,Gustavo THÖNI,1972 Sapporo,Alpine Skiing,Men's,giant slalom
Winter,1972,Silver,SUI,Switzerland,Edmund BRUGGMANN,1972 Sapporo,Alpine Skiing,Men's,giant slalom
Winter,1972,Bronze,SUI,Switzerland,Werner MATTLE,1972 Sapporo,Alpine Skiing,Men's,giant slalom
Winter,1972,Gold,SUI,Switzerland,Marie-Theres NADIG,1972 Sapporo,Alpine Skiing,Women's,downhill
Winter,1972,Silver,AUT,Austria,Annemarie PRÖLL,1972 Sapporo,Alpine Skiing,Women's,downhill
Winter,1972,Bronze,USA,United States,Susan CORROCK,1972 Sapporo,Alpine Skiing,Women's,downhill
Winter,1972,Gold,USA,United States,Barbara COCHRAN,1972 Sapporo,Alpine Skiing,Women's,slalom
Winter,1972,Silver,FRA,France,Danièle DEBERNARD,1972 Sapporo,Alpine Skiing,Women's,slalom
Winter,1972,Bronze,FRA,France,Florence STEURER,1972 Sapporo,Alpine Skiing,Women's,slalom
Winter,1972,Gold,SUI,Switzerland,Marie-Theres NADIG,1972 Sapporo,Alpine Skiing,Women's,giant slalom
Winter,1972,Silver,AUT,Austria,Annemarie PRÖLL,1972 Sapporo,Alpine Skiing,Women's,giant slalom
Winter,1972,Bronze,AUT,Austria,Wiltrud DREXEL,1972 Sapporo,Alpine Skiing,Women's,giant slalom
Winter,1972,Gold,NOR,Norway,Magnar SOLBERG,1972 Sapporo,Biathlon,Men's,20km individual
Winter,1972,Silver,GDR,German Democratic Republic,Hansjörg KNAUTHE,1972 Sapporo,Biathlon,Men's,20km individual
Winter,1972,Bronze,SWE,Sweden,Lars-Göran ARWIDSON,1972 Sapporo,Biathlon,Men's,20km individual
Winter,1972,Gold,URS,USSR,"Viktor MAMATOV, Rinnat SAFIN, Aleksandr TIKHONOV, Ivan BYAKOV",1972 Sapporo,Biathlon,Men's,4x7.5km relay
Winter,1972,Silver,FIN,Finland,"Juhani SUUTARINEN, Mauri RÖPPÄNEN, Heikki IKOLA, Esko SAIRA",1972 Sapporo,Biathlon,Men's,4x7.5km relay
Winter,1972,Bronze,GDR,German Democratic Republic,"Hansjörg KNAUTHE, Horst KOSCHKA, Joachim MEISCHNER, Dieter SPEER",1972 Sapporo,Biathlon,Men's,4x7.5km relay
Winter,1972,Gold,FRG,Federal Republic of Germany,"Peter UTZSCHNEIDER, Wolfgang ZIMMERER",1972 Sapporo,Bobsleigh,Men's,two-man
Winter,1972,Silver,FRG,Federal Republic of Germany,"Horst FLOTH, Pepi BADER",1972 Sapporo,Bobsleigh,Men's,two-man
Winter,1972,Bronze,SUI,Switzerland,"Edy HUBACHER, Jean WICKI",1972 Sapporo,Bobsleigh,Men's,two-man
Winter,1972,Gold,SUI,Switzerland,"Hans LEUTENEGGER, Edy HUBACHER, Jean WICKI, Werner CAMICHEL",1972 Sapporo,Bobsleigh,Men's,four-man
Winter,1972,Silver,ITA,Italy,"Nevio DE ZORDO, Gianni BONICHON, Corrado DAL FABBRO, Adriano FRASSINELLI",1972 Sapporo,Bobsleigh,Men's,four-man
Winter,1972,Bronze,FRG,Federal Republic of Germany,"Walter STEINBAUER, Peter UTZSCHNEIDER, Stefan GAISREITER, Wolfgang ZIMMERER",1972 Sapporo,Bobsleigh,Men's,four-man
Winter,1972,Gold,SWE,Sweden,Sven-Åke LUNDBÄCK,1972 Sapporo,Cross Country Skiing,Men's,15km
Winter,1972,Silver,URS,USSR,Fyodor SIMASHEV,1972 Sapporo,Cross Country Skiing,Men's,15km
Winter,1972,Bronze,NOR,Norway,Ivar FORMO,1972 Sapporo,Cross Country Skiing,Men's,15km
Winter,1972,Gold,URS,USSR,Vyacheslav VEDENIN,1972 Sapporo,Cross Country Skiing,Men's,30km
Winter,1972,Silver,NOR,Norway,Pål TYLDUM,1972 Sapporo,Cross Country Skiing,Men's,30km
Winter,1972,Bronze,NOR,Norway,Johs HARVIKEN,1972 Sapporo,Cross Country Skiing,Men's,30km
Winter,1972,Gold,NOR,Norway,Pål TYLDUM,1972 Sapporo,Cross Country Skiing,Men's,50km
