season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1976,Gold,AUT,Austria,Franz KLAMMER,1976 Innsbruck,Alpine Skiing,Men's,downhill
Winter,1976,Silver,SUI,Switzerland,Bernhard RUSSI,1976 Innsbruck,Alpine Skiing,Men's,downhill
Winter,1976,Bronze,ITA,Italy,Herbert PLANK,1976 Innsbruck,Alpine Skiing,Men's,downhill
Winter,1976,Gold,ITA,Italy,Piero GROS,1976 Innsbruck,Alpine Skiing,Men's,slalom
Winter,1976,Silver,ITA,Italy,Gustavo THÖNI,1976 Innsbruck,Alpine Skiing,Men's,slalom
Winter,1976,Bronze,LIE,Liechtenstein,Willy FROMMELT,1976 Innsbruck,Alpine Skiing,Men's,slalom
Winter,1976,Gold,SUI,Switzerland,Heini HEMMI,1976 Innsbruck,Alpine Skiing,Men's,giant slalom
Winter,1976,Silver,SUI,Switzerland,Ernst GOOD,1976 Innsbruck,Alpine Skiing,Men's,giant slalom
Winter,1976,Bronze,SWE,Sweden,Ingemar STENMARK,1976 Innsbruck,Alpine Skiing,Men's,giant slalom
Winter,1976,Gold,FRG,Federal Republic of Germany,Rosi MITTERMAIER,1976 Innsbruck,Alpine Skiing,Women's,downhill
Winter,1976,Silver,AUT,Austria,Brigitte TOTSCHNIG,1976 Innsbruck,Alpine Skiing,Women's,downhill
Winter,1976,Bronze,USA,United States,Cynthia NELSON,1976 Innsbruck,Alpine Skiing,Women's,downhill
Winter,1976,Gold,FRG,Federal Republic of Germany,Rosi MITTERMAIER,1976 Innsbruck,Alpine Skiing,Women's,slalom
Winter,1976,Silver,ITA,Italy,Claudia GIORDANI,1976 Innsbruck,Alpine Skiing,Women's,slalom
Winter,1976,Bronze,LIE,Liechtenstein,Hanni WENZEL,1976 Innsbruck,Alpine Skiing,Women's,slalom
Winter,1976,Gold,CAN,Canada,Kathy KREINER,1976 Innsbruck,Alpine Skiing,Women's,giant slalom
Winter,1976,Silver,FRG,Federal Republic of Germany,Rosi MITTERMAIER,1976 Innsbruck,Alpine Skiing,Women's,giant slalom
Winter,1976,Bronze,FRA,France,Danièle DEBERNARD,1976 Innsbruck,Alpine Skiing,Women's,giant slalom
Winter,1976,Gold,URS,USSR,Nikolay KRUGLOV,1976 Innsbruck,Biathlon,Men's,20km individual
Winter,1976,Silver,FIN,Finland,Heikki IKOLA,1976 Innsbruck,Biathlon,Men's,20km individual
Winter,1976,Bronze,URS,USSR,Aleksandr YELIZAROV,1976 Innsbruck,Biathlon,Men's,20km individual
Winter,1976,Gold,URS,USSR,"Aleksandr YELIZAROV, Ivan BYAKOV, Nikolay KRUGLOV, Aleksandr TIKHONOV",1976 Innsbruck,Biathlon,Men's,4x7.5km relay
Winter,1976,Silver,FIN,Finland,"Esko SAIRA, Heikki IKOLA, Henrik FLÖJT, Juhani SUUTARINEN",1976 Innsbruck,Biathlon,Men's,4x7.5km relay
Winter,1976,Bronze,GDR,German Democratic Republic,"Frank ULLRICH, Manfred GEYER, Manfred BEER, Karl-Heinz MENZ",1976 Innsbruck,Biathlon,Men's,4x7.5km relay
Winter,1976,Gold,GDR,German Democratic Republic,"Meinhard NEHMER, Bernhard GERMESHAUSEN",1976 Innsbruck,Bobsleigh,Men's,two-man
