season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1980,Gold,FIN,Finland,Tomi POIKOLAINEN,1980 Moscow,Archery,Men's,individual FITA round
Summer,1980,Silver,URS,USSR,Boris ISACHENKO,1980 Moscow,Archery,Men's,individual FITA round
Summer,1980,Bronze,ITA,Italy,Giancarlo FERRARI,1980 Moscow,Archery,Men's,individual FITA round
Summer,1980,Gold,URS,USSR,Keto LOSABERIDZE,1980 Moscow,Archery,Women's,individual FITA round
Summer,1980,Silver,URS,USSR,Natalia BUTUZOVA,1980 Moscow,Archery,Women's,individual FITA round
Summer,1980,Bronze,FIN,Finland,Paivi MERILUOTO-AALTONEN,1980 Moscow,Archery,Women's,individual FITA round
Summer,1980,Gold,GBR,Great Britain,Allan WELLS,1980 Moscow,Athletics,Men's,100m
Summer,1980,Silver,CUB,Cuba,Silvio LEONARD SARRIA,1980 Moscow,Athletics,Men's,100m
Summer,1980,Bronze,BUL,Bulgaria,Peter PETROV,1980 Moscow,Athletics,Men's,100m
Summer,1980,Gold,ITA,Italy,Pietro MENNEA,1980 Moscow,Athletics,Men's,200m
Summer,1980,Silver,GBR,Great Britain,Allan WELLS,1980 Moscow,Athletics,Men's,200m
Summer,1980,Bronze,JAM,Jamaica,Donald QUARRIE,1980 Moscow,Athletics,Men's,200m
Summer,1980,Gold,URS,USSR,Viktor MARKIN,1980 Moscow,Athletics,Men's,400m
Summer,1980,Silver,AUS,Australia,Richard MITCHELL,1980 Moscow,Athletics,Men's,400m
Summer,1980,Bronze,GDR,German Democratic Republic,Frank SCHAFFER,1980 Moscow,Athletics,Men's,400m
Summer,1980,Gold,GBR,Great Britain,Steve OVETT,1980 Moscow,Athletics,Men's,800m
Summer,1980,Silver,GBR,Great Britain,Sebastian COE,1980 Moscow,Athletics,Men's,800m
Summer,1980,Bronze,URS,USSR,Nikolai KIROV,1980 Moscow,Athletics,Men's,800m
Summer,1980,Gold,GBR,Great Britain,Sebastian COE,1980 Moscow,Athletics,Men's,1500m
Summer,1980,Silver,GDR,German Democratic Republic,Jürgen STRAUB,1980 Moscow,Athletics,Men's,1500m
Summer,1980,Bronze,GBR,Great Britain,Steve OVETT,1980 Moscow,Athletics,Men's,1500m
Summer,1980,Gold,ETH,Ethiopia,Miruts YIFTER,1980 Moscow,Athletics,Men's,5000m
Summer,1980,Silver,TAN,Tanzania,Suleiman NYAMBUI,1980 Moscow,Athletics,Men's,5000m
