season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1980,Gold,SWE,Sweden,Ingemar STENMARK,1980 Lake Placid,Alpine Skiing,Men's,slalom
Winter,1980,Silver,USA,United States,Phillip MAHRE,1980 Lake Placid,Alpine Skiing,Men's,slalom
Winter,1980,Bronze,SUI,Switzerland,Jacques LÜTHY,1980 Lake Placid,Alpine Skiing,Men's,slalom
Winter,1980,Gold,SWE,Sweden,Ingemar STENMARK,1980 Lake Placid,Alpine Skiing,Men's,giant slalom
Winter,1980,Silver,LIE,Liechtenstein,Andreas WENZEL,1980 Lake Placid,Alpine Skiing,Men's,giant slalom
Winter,1980,Bronze,AUT,Austria,Hans ENN,1980 Lake Placid,Alpine Skiing,Men's,giant slalom
Winter,1980,Gold,AUT,Austria,Leonhard STOCK,1980 Lake Placid,Alpine Skiing,Men's,downhill
Winter,1980,Silver,AUT,Austria,Peter WIRNSBERGER,1980 Lake Placid,Alpine Skiing,Men's,downhill
Winter,1980,Bronze,CAN,Canada,Steve PODBORSKI,1980 Lake Placid,Alpine Skiing,Men's,downhill
Winter,1980,Gold,LIE,Liechtenstein,Hanni WENZEL,1980 Lake Placid,Alpine Skiing,Women's,slalom
Winter,1980,Silver,FRG,Federal Republic of Germany,Christa KINSHOFER GUETHLEIN,1980 Lake Placid,Alpine Skiing,Women's,slalom
Winter,1980,Bronze,SUI,Switzerland,Erika HESS,1980 Lake Placid,Alpine Skiing,Women's,slalom
Winter,1980,Gold,LIE,Liechtenstein,Hanni WENZEL,1980 Lake Placid,Alpine Skiing,Women's,giant slalom
Winter,1980,Silver,FRG,Federal Republic of Germany,Irene EPPLE,1980 Lake Placid,Alpine Skiing,Women's,giant slalom
Winter,1980,Bronze,FRA,France,Perrine PELEN,1980 Lake Placid,Alpine Skiing,Women's,giant slalom
Winter,1980,Gold,AUT,Austria,Annemarie MOSER-PROLL,1980 Lake Placid,Alpine Skiing,Women's,downhill
Winter,1980,Silver,LIE,Liechtenstein,Hanni WENZEL,1980 Lake Placid,Alpine Skiing,Women's,downhill
Winter,1980,Bronze,SUI,Switzerland,Marie-Theres NADIG,1980 Lake Placid,Alpine Skiing,Women's,downhill
Winter,1980,Gold,GDR,German Democratic Republic,Frank ULLRICH,1980 Lake Placid,Biathlon,Men's,10km sprint
Winter,1980,Silver,URS,USSR,Vladimir ALIKIN,1980 Lake Placid,Biathlon,Men's,10km sprint
Winter,1980,Bronze,URS,USSR,Anatoly ALYABYEV,1980 Lake Placid,Biathlon,Men's,10km sprint
Winter,1980,Gold,URS,USSR,Anatoly ALYABYEV,1980 Lake Placid,Biathlon,Men's,20km individual
