season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1984,Gold,USA,United States,Phillip MAHRE,1984 Sarajevo,Alpine Skiing,Men's,slalom
Winter,1984,Silver,USA,United States,Steven MAHRE,1984 Sarajevo,Alpine Skiing,Men's,slalom
Winter,1984,Bronze,FRA,France,Didier BOUVET,1984 Sarajevo,Alpine Skiing,Men's,slalom
Winter,1984,Gold,SUI,Switzerland,Max JULEN,1984 Sarajevo,Alpine Skiing,Men's,giant slalom
Winter,1984,Silver,YUG,Yugoslavia,Jure FRANKO,1984 Sarajevo,Alpine Skiing,Men's,giant slalom
Winter,1984,Bronze,LIE,Liechtenstein,Andreas WENZEL,1984 Sarajevo,Alpine Skiing,Men's,giant slalom
Winter,1984,Gold,USA,United States,William JOHNSON,1984 Sarajevo,Alpine Skiing,Men's,downhill
Winter,1984,Silver,SUI,Switzerland,Peter MÜLLER,1984 Sarajevo,Alpine Skiing,Men's,downhill
Winter,1984,Bronze,AUT,Austria,Anton STEINER,1984 Sarajevo,Alpine Skiing,Men's,downhill
Winter,1984,Gold,ITA,Italy,Paoletta MAGONI,1984 Sarajevo,Alpine Skiing,Women's,slalom
Winter,1984,Silver,FRA,France,Perrine PELEN,1984 Sarajevo,Alpine Skiing,Women's,slalom
Winter,1984,Bronze,LIE,Liechtenstein,Ursula KONZETT,1984 Sarajevo,Alpine Skiing,Women's,slalom
Winter,1984,Gold,USA,United States,Debbie ARMSTRONG,1984 Sarajevo,Alpine Skiing,Women's,giant slalom
Winter,1984,Silver,USA,United States,Christin COOPER,1984 Sarajevo,Alpine Skiing,Women's,giant slalom
Winter,1984,Bronze,FRA,France,Perrine PELEN,1984 Sarajevo,Alpine Skiing,Women's,giant slalom
Winter,1984,Gold,SUI,Switzerland,Michela FIGINI,1984 Sarajevo,Alpine Skiing,Women's,downhill
Winter,1984,Silver,SUI,Switzerland,Maria WALLISER,1984 Sarajevo,Alpine Skiing,Women's,downhill
Winter,1984,Bronze,TCH,Czechoslovakia,Olga CHARVATOVA,1984 Sarajevo,Alpine Skiing,Women's,downhill
Winter,1984,Gold,NOR,Norway,Eirik KVALFOSS,1984 Sarajevo,Biathlon,Men's,10km sprint
Winter,1984,Silver,FRG,Federal Republic of Germany,Peter ANGERER,1984 Sarajevo,Biathlon,Men's,10km sprint
Winter,1984,Bronze,GDR,German Democratic Republic,Matthias JACOB,1984 Sarajevo,Biathlon,Men's,10km sprint
Winter,1984,Gold,FRG,Federal Republic of Germany,Peter ANGERER,1984 Sarajevo,Biathlon,Men's,20km individual
Winter,1984,Silver,GDR,German Democratic Republic,Frank-Peter ROETSCH,1984 Sarajevo,Biathlon,Men's,20km individual
Winter,1984,Bronze,NOR,Norway,Eirik KVALFOSS,1984 Sarajevo,Biathlon,Men's,20km individual
Winter,1984,Gold,URS,USSR,"Dmitri VASSILIEV, Alguimantas SHALNA, Yuri KACHKAROV, Sergei BULIGINE",1984 Sarajevo,Biathlon,Men's,4x7.5km relay
Winter,1984,Silver,NOR,Norway,"Odd LIRHUS, Rolf STORSVEEN, Eirik KVALFOSS, Kjell SÖBAK",1984 Sarajevo,Biathlon,Men's,4x7.5km relay
Winter,1984,Bronze,FRG,Federal Republic of Germany,"Ernst REITER, Peter ANGERER, Walter PICHLER, Fritz FISCHER",1984 Sarajevo,Biathlon,Men's,4x7.5km relay
Winter,1984,Gold,GDR,German Democratic Republic,"Wolfgang HOPPE, Dietmar SCHAUERHAMMER",1984 Sarajevo,Bobsleigh,Men's,two-man
Winter,1984,Silver,GDR,German Democratic Republic,"Bernhard LEHMANN, Bogdan MUSIOL",1984 Sarajevo,Bobsleigh,Men's,two-man
Winter,1984,Bronze,URS,USSR,"Zintis EKMANIS, Vladimir ALEKSANDROV",1984 Sarajevo,Bobsleigh,Men's,two-man
Winter,1984,Gold,GDR,German Democratic Republic,"Wolfgang HOPPE, Dietmar SCHAUERHAMMER, Roland WETZIG, Andreas KIRCHNER",1984 Sarajevo,Bobsleigh,Men's,four-man
Winter,1984,Silver,GDR,German Democratic Republic,"Bernhard LEHMANN, Ingo VOGE, Bogdan MUSIOL, Eberhard WEISE",1984 Sarajevo,Bobsleigh,Men's,four-man
Winter,1984,Bronze,SUI,Switzerland,"Silvio GIOBELLINA, Urs SALZMANN, Heinz STETTLER, Rico FREIERMUTH",1984 Sarajevo,Bobsleigh,Men's,four-man
