season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1988,Gold,AUT,Austria,Hubert STROLZ,1988 Calgary,Alpine Skiing,Men's,Alpine combined
Winter,1988,Silver,AUT,Austria,Bernhard GSTREIN,1988 Calgary,Alpine Skiing,Men's,Alpine combined
Winter,1988,Bronze,SUI,Switzerland,Paul ACCOLA,1988 Calgary,Alpine Skiing,Men's,Alpine combined
Winter,1988,Gold,ITA,Italy,Alberto TOMBA,1988 Calgary,Alpine Skiing,Men's,slalom
Winter,1988,Silver,FRG,Federal Republic of Germany,Frank WÖRNDL,1988 Calgary,Alpine Skiing,Men's,slalom
Winter,1988,Bronze,LIE,Liechtenstein,Paul FROMMELT,1988 Calgary,Alpine Skiing,Men's,slalom
Winter,1988,Gold,ITA,Italy,Alberto TOMBA,1988 Calgary,Alpine Skiing,Men's,giant slalom
Winter,1988,Silver,AUT,Austria,Hubert STROLZ,1988 Calgary,Alpine Skiing,Men's,giant slalom
Winter,1988,Bronze,SUI,Switzerland,Pirmin ZURBRIGGEN,1988 Calgary,Alpine Skiing,Men's,giant slalom
Winter,1988,Gold,FRA,France,Franck PICCARD,1988 Calgary,Alpine Skiing,Men's,super-G
Winter,1988,Silver,AUT,Austria,Helmut MAYER,1988 Calgary,Alpine Skiing,Men's,super-G
Winter,1988,Bronze,SWE,Sweden,Lars-Börje ERIKSSON,1988 Calgary,Alpine Skiing,Men's,super-G
Winter,1988,Gold,SUI,Switzerland,Pirmin ZURBRIGGEN,1988 Calgary,Alpine Skiing,Men's,downhill
Winter,1988,Silver,SUI,Switzerland,Peter MÜLLER,1988 Calgary,Alpine Skiing,Men's,downhill
Winter,1988,Bronze,FRA,France,Franck PICCARD,1988 Calgary,Alpine Skiing,Men's,downhill
Winter,1988,Gold,AUT,Austria,Anita WACHTER,1988 Calgary,Alpine Skiing,Women's,Alpine combined
Winter,1988,Silver,SUI,Switzerland,Brigitte OERTLI,1988 Calgary,Alpine Skiing,Women's,Alpine combined
Winter,1988,Bronze,SUI,Switzerland,Maria WALLISER,1988 Calgary,Alpine Skiing,Women's,Alpine combined
Winter,1988,Gold,SUI,Switzerland,Vreni SCHNEIDER,1988 Calgary,Alpine Skiing,Women's,slalom
Winter,1988,Silver,YUG,Yugoslavia,Mateja SVET,1988 Calgary,Alpine Skiing,Women's,slalom
Winter,1988,Bronze,FRG,Federal Republic of Germany,Christa KINSHOFER GUETHLEIN,1988 Calgary,Alpine Skiing,Women's,slalom
Winter,1988,Gold,SUI,Switzerland,Vreni SCHNEIDER,1988 Calgary,Alpine Skiing,Women's,giant slalom
Winter,1988,Silver,FRG,Federal Republic of Germany,Christa KINSHOFER GUETHLEIN,1988 Calgary,Alpine Skiing,Women's,giant slalom
Winter,1988,Bronze,SUI,Switzerland,Maria WALLISER,1988 Calgary,Alpine Skiing,Women's,giant slalom
Winter,1988,Gold,AUT,Austria,Sigrid WOLF,1988 Calgary,Alpine Skiing,Women's,super-G
Winter,1988,Silver,SUI,Switzerland,Michela FIGINI,1988 Calgary,Alpine Skiing,Women's,super-G
Winter,1988,Bronze,CAN,Canada,Karen PERCY,1988 Calgary,Alpine Skiing,Women's,super-G
Winter,1988,Gold,FRG,Federal Republic of Germany,Marina KIEHL,1988 Calgary,Alpine Skiing,Women's,downhill
Winter,1988,Silver,SUI,Switzerland,Brigitte OERTLI,1988 Calgary,Alpine Skiing,Women's,downhill
Winter,1988,Bronze,CAN,Canada,Karen PERCY,1988 Calgary,Alpine Skiing,Women's,downhill
Winter,1988,Gold,GDR,German Democratic Republic,Frank-Peter ROETSCH,1988 Calgary,Biathlon,Men's,10km sprint
Winter,1988,Silver,URS,USSR,Valery MEDVEDTSEV,1988 Calgary,Biathlon,Men's,10km sprint
Winter,1988,Bronze,URS,USSR,Sergei TCHEPIKOV,1988 Calgary,Biathlon,Men's,10km sprint
Winter,1988,Gold,GDR,German Democratic Republic,Frank-Peter ROETSCH,1988 Calgary,Biathlon,Men's,20km individual
Winter,1988,Silver,URS,USSR,Valery MEDVEDTSEV,1988 Calgary,Biathlon,Men's,20km individual
Winter,1988,Bronze,ITA,Italy,Johann PASSLER,1988 Calgary,Biathlon,Men's,20km individual
Winter,1988,Gold,URS,USSR,"Dmitri VASSILIEV, Aleksandr POPOV, Sergei TCHEPIKOV, Valery MEDVEDTSEV",1988 Calgary,Biathlon,Men's,4x7.5km relay
Winter,1988,Silver,FRG,Federal Republic of Germany,"Peter ANGERER, Ernst REITER, Fritz FISCHER, Stefan HÖCK",1988 Calgary,Biathlon,Men's,4x7.5km relay
Winter,1988,Bronze,ITA,Italy,"Werner KIEM, Johann PASSLER, Gottlieb TASCHLER, Andreas ZINGERLE",1988 Calgary,Biathlon,Men's,4x7.5km relay
Winter,1988,Gold,URS,USSR,"Yanis KIPURS, Vladimir KOSLOV",1988 Calgary,Bobsleigh,Men's,two-man
Winter,1988,Silver,GDR,German Democratic Republic,"Wolfgang HOPPE, Bogdan MUSIOL",1988 Calgary,Bobsleigh,Men's,two-man
Winter,1988,Bronze,GDR,German Democratic Republic,"Bernhard LEHMANN, Mario HOYER",1988 Calgary,Bobsleigh,Men's,two-man
Winter,1988,Gold,SUI,Switzerland,"Ekkehard FASSER, Marcel FÄSSLER, Kurt MEIER, Werner STOCKER",1988 Calgary,Bobsleigh,Men's,four-man
Winter,1988,Silver,GDR,German Democratic Republic,"Wolfgang HOPPE, Bogdan MUSIOL, Ingo VOGE, Dietmar SCHAUERHAMMER",1988 Calgary,Bobsleigh,Men's,four-man
Winter,1988,Bronze,URS,USSR,"Yanis KIPURS, Juris TONE, Gountis OSSIS, Vladimir KOSLOV",1988 Calgary,Bobsleigh,Men's,four-man
Winter,1988,Gold,URS,USSR,Mikhail DEVYATYAROV,1988 Calgary,Cross Country Skiing,Men's,15km
Winter,1988,Silver,NOR,Norway,Paal Gunnar MIKKELSPLASS,1988 Calgary,Cross Country Skiing,Men's,15km
Winter,1988,Bronze,URS,USSR,Vladimir SMIRNOV,1988 Calgary,Cross Country Skiing,Men's,15km
Winter,1988,Gold,URS,USSR,Alexei PROKOUROROV,1988 Calgary,Cross Country Skiing,Men's,30km
Winter,1988,Silver,URS,USSR,Vladimir SMIRNOV,1988 Calgary,Cross Country Skiing,Men's,30km
Winter,1988,Bronze,NOR,Norway,Vegard ULVANG,1988 Calgary,Cross Country Skiing,Men's,30km
Winter,1988,Gold,SWE,Sweden,Gunde Anders SVAN,1988 Calgary,Cross Country Skiing,Men's,50km
Winter,1988,Silver,ITA,Italy,Maurilio DE ZOLT,1988 Calgary,Cross Country Skiing,Men's,50km
Winter,1988,Bronze,SUI,Switzerland,Andi GRÜNENFELDER,1988 Calgary,Cross Country Skiing,Men's,50km
Winter,1988,Gold,SWE,Sweden,"Jan OTTOSSON, Gunde Anders SVAN, Thomas WASSBERG, Torgny MOGREN",1988 Calgary,Cross Country Skiing,Men's,4x10km relay
Winter,1988,Silver,URS,USSR,"Mikhail DEVYATYAROV, Vladimir SMIRNOV, Alexei PROKOUROROV, Vladimir SAKHNOV",1988 Calgary,Cross Country Skiing,Men's,4x10km relay
Winter,1988,Bronze,TCH,Czechoslovakia,"Radim NYC, Pavel BENC, Vaclav KORUNKA, Ladislav SVANDA",1988 Calgary,Cross Country Skiing,Men's,4x10km relay
Winter,1988,Gold,FIN,Finland,Marjo MATIKAINEN,1988 Calgary,Cross Country Skiing,Women's,5km
Winter,1988,Silver,URS,USSR,Tamara TIKHONOVA,1988 Calgary,Cross Country Skiing,Women's,5km
Winter,1988,Bronze,URS,USSR,Vida VENCIENE,1988 Calgary,Cross Country Skiing,Women's,5km
Winter,1988,Gold,URS,USSR,Vida VENCIENE,1988 Calgary,Cross Country Skiing,Women's,10km
Winter,1988,Silver,URS,USSR,Raisa SMETANINA,1988 Calgary,Cross Country Skiing,Women's,10km
Winter,1988,Bronze,FIN,Finland,Marjo MATIKAINEN,1988 Calgary,Cross Country Skiing,Women's,10km
Winter,1988,Gold,URS,USSR,Tamara TIKHONOVA,1988 Calgary,Cross Country Skiing,Women's,20km
Winter,1988,Silver,URS,USSR,Anfisa REZTSOVA,1988 Calgary,Cross Country Skiing,Women's,20km
Winter,1988,Bronze,URS,USSR,Raisa SMETANINA,1988 Calgary,Cross Country Skiing,Women's,20km
Winter,1988,Gold,URS,USSR,"Svetlana NAGEIKINA, Tamara TIKHONOVA, Nina GAVRILJUK, Anfisa REZTSOVA",1988 Calgary,Cross Country Skiing,Women's,4x5km relay
Winter,1988,Silver,NOR,Norway,"Anne JAHREN, Trude DYBENDAHL HARTZ, Marianne DAHLMO, Marit MIKKELSPLASS",1988 Calgary,Cross Country Skiing,Women's,4x5km relay
Winter,1988,Bronze,FIN,Finland,"Pirkko MÄÄTTÄ, Marjo MATIKAINEN, Marja-Liisa KIRVESNIEMI, Jaana SAVOLAINEN",1988 Calgary,Cross Country Skiing,Women's,4x5km relay
Winter,1988,Gold,USA,United States,Brian BOITANO,1988 Calgary,Figure skating,Men's,individual
