season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1988,Gold,USA,United States,Jay BARRS,1988 Seoul,Archery,Men's,individual FITA round
Summer,1988,Silver,KOR,Korea Republic,Sung-Soo PARK,1988 Seoul,Archery,Men's,individual FITA round
Summer,1988,Bronze,URS,USSR,Vladimir ESHEEV,1988 Seoul,Archery,Men's,individual FITA round
Summer,1988,Gold,KOR,Korea Republic,"Han-Sup LEE, In-Soo CHUN, Sung-Soo PARK",1988 Seoul,Archery,Men's,teams FITA round
Summer,1988,Silver,USA,United States,"Jay BARRS, Darrell Owen PACE, Richard Lee MCKINNEY",1988 Seoul,Archery,Men's,teams FITA round
Summer,1988,Bronze,GBR,Great Britain,"Richard John PRIESTMAN, Steven HALLARD, Leroy WATSON",1988 Seoul,Archery,Men's,teams FITA round
Summer,1988,Gold,KOR,Korea Republic,Soo-Nyung KIM,1988 Seoul,Archery,Women's,individual FITA round
Summer,1988,Silver,KOR,Korea Republic,Hee-Kyung WANG,1988 Seoul,Archery,Women's,individual FITA round
Summer,1988,Bronze,KOR,Korea Republic,Young-Sook YUN,1988 Seoul,Archery,Women's,individual FITA round
Summer,1988,Gold,KOR,Korea Republic,"Hee-Kyung WANG, Soo-Nyung KIM, Young-Sook YUN",1988 Seoul,Archery,Women's,teams FITA round
Summer,1988,Silver,INA,Indonesia,"Lilies HANDAYANI, Kusuma WARDHANI, Nurfitriyana SAIMAN",1988 Seoul,Archery,Women's,teams FITA round
Summer,1988,Bronze,USA,United States,"Denise PARKER, Deborah Lynn OCHS, Melanie Soltysik SKILLMAN",1988 Seoul,Archery,Women's,teams FITA round
Summer,1988,Gold,CAN,Canada,Carolyn WALDO,1988 Seoul,Artistic Swimming,Women's,solo
Summer,1988,Silver,USA,United States,Tracie Lehuanani RUIZ-CONFORTO,1988 Seoul,Artistic Swimming,Women's,solo
Summer,1988,Bronze,JPN,Japan,Mikako KOTANI,1988 Seoul,Artistic Swimming,Women's,solo
Summer,1988,Gold,CAN,Canada,"Michelle CAMERON, Carolyn WALDO",1988 Seoul,Artistic Swimming,Women's,duet
Summer,1988,Silver,USA,United States,"Sarah JOSEPHSON, Karen JOSEPHSON",1988 Seoul,Artistic Swimming,Women's,duet
Summer,1988,Bronze,JPN,Japan,"Miyako TANAKA, Mikako KOTANI",1988 Seoul,Artistic Swimming,Women's,duet
Summer,1988,Gold,USA,United States,Carl LEWIS,1988 Seoul,Athletics,Men's,100m
Summer,1988,Silver,GBR,Great Britain,Linford CHRISTIE,1988 Seoul,Athletics,Men's,100m
Summer,1988,Bronze,USA,United States,Calvin SMITH,1988 Seoul,Athletics,Men's,100m
Summer,1988,Gold,USA,United States,Joseph Nathaniel Jr. DELOACH,1988 Seoul,Athletics,Men's,200m
Summer,1988,Silver,USA,United States,Carl LEWIS,1988 Seoul,Athletics,Men's,200m
Summer,1988,Bronze,BRA,Brazil,Robson DA SILVA,1988 Seoul,Athletics,Men's,200m
Summer,1988,Gold,USA,United States,Steve LEWIS,1988 Seoul,Athletics,Men's,400m
Summer,1988,Silver,USA,United States,Harry Butch REYNOLDS,1988 Seoul,Athletics,Men's,400m
Summer,1988,Bronze,USA,United States,Daniel EVERETT,1988 Seoul,Athletics,Men's,400m
Summer,1988,Gold,KEN,Kenya,Paul ERENG,1988 Seoul,Athletics,Men's,800m
Summer,1988,Silver,BRA,Brazil,Joaquim CRUZ,1988 Seoul,Athletics,Men's,800m
Summer,1988,Bronze,MAR,Morocco,Said AOUITA,1988 Seoul,Athletics,Men's,800m
Summer,1988,Gold,KEN,Kenya,Peter RONO,1988 Seoul,Athletics,Men's,1500m
Summer,1988,Silver,GBR,Great Britain,Peter ELLIOTT,1988 Seoul,Athletics,Men's,1500m
Summer,1988,Bronze,GDR,German Democratic Republic,Jens-Peter HEROLD,1988 Seoul,Athletics,Men's,1500m
Summer,1988,Gold,KEN,Kenya,John NGUGI,1988 Seoul,Athletics,Men's,5000m
Summer,1988,Silver,FRG,Federal Republic of Germany,Dieter BAUMANN,1988 Seoul,Athletics,Men's,5000m
Summer,1988,Bronze,GDR,German Democratic Republic,Hansjörg KUNZE,1988 Seoul,Athletics,Men's,5000m
Summer,1988,Gold,MAR,Morocco,Moulay Brahim BOUTAYEB,1988 Seoul,Athletics,Men's,10000m
