season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1992,Gold,FRA,France,Sebastien FLUTE,1992 Barcelona,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,1992,Silver,KOR,Korea Republic,Jae-Hun CHUNG,1992 Barcelona,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,1992,Bronze,GBR,Great Britain,Simon TERRY,1992 Barcelona,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,1992,Gold,ESP,Spain,"Antonio VAZQUEZ, Juan Carlos HOLGADO ROMERO, Alfonso MENENDEZ VALLIN",1992 Barcelona,Archery,Men's,team (FITA Olympic round - 70m)
Summer,1992,Silver,FIN,Finland,"Tomi POIKOLAINEN, Jari LIPPONEN, Ismo Kalevi FALCK",1992 Barcelona,Archery,Men's,team (FITA Olympic round - 70m)
Summer,1992,Bronze,GBR,Great Britain,"Simon TERRY, Richard John PRIESTMAN, Steven HALLARD",1992 Barcelona,Archery,Men's,team (FITA Olympic round - 70m)
Summer,1992,Gold,KOR,Korea Republic,Youn-Jeong CHO,1992 Barcelona,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,1992,Silver,KOR,Korea Republic,Soo-Nyung KIM,1992 Barcelona,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,1992,Bronze,EUN,Unified Team (ex USSR),Natalia VALEEVA,1992 Barcelona,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,1992,Gold,KOR,Korea Republic,"Youn-Jeong CHO, Soo-Nyung KIM, Eun Kyung LEE",1992 Barcelona,Archery,Women's,team (FITA Olympic round - 70m)
Summer,1992,Silver,CHN,China,"Xiangjun MA, Hong WANG, Xiaozhu WANG",1992 Barcelona,Archery,Women's,team (FITA Olympic round - 70m)
Summer,1992,Bronze,EUN,Unified Team (ex USSR),"Lyudmila ARZHANNIKOVA, Khatouna KVRIVICHVILI, Natalia VALEEVA",1992 Barcelona,Archery,Women's,team (FITA Olympic round - 70m)
Summer,1992,Gold,CAN,Canada,Sylvie FRECHETTE,1992 Barcelona,Artistic Swimming,Women's,solo
Summer,1992,Gold,USA,United States,Kristen BABB-SPRAGUE,1992 Barcelona,Artistic Swimming,Women's,solo
Summer,1992,Bronze,JPN,Japan,Fumiko OKUNO,1992 Barcelona,Artistic Swimming,Women's,solo
Summer,1992,Gold,USA,United States,"Sarah JOSEPHSON, Karen JOSEPHSON",1992 Barcelona,Artistic Swimming,Women's,duet
Summer,1992,Silver,CAN,Canada,"Vicky VILAGOS, Penny VILAGOS",1992 Barcelona,Artistic Swimming,Women's,duet
Summer,1992,Bronze,JPN,Japan,"Fumiko OKUNO, Aki TAKAYAMA",1992 Barcelona,Artistic Swimming,Women's,duet
Summer,1992,Gold,GBR,Great Britain,Linford CHRISTIE,1992 Barcelona,Athletics,Men's,100m
Summer,1992,Silver,NAM,Namibia,Frank FREDERICKS,1992 Barcelona,Athletics,Men's,100m
Summer,1992,Bronze,USA,United States,Dennis MITCHELL,1992 Barcelona,Athletics,Men's,100m
Summer,1992,Gold,USA,United States,Michael MARSH,1992 Barcelona,Athletics,Men's,200m
Summer,1992,Silver,NAM,Namibia,Frank FREDERICKS,1992 Barcelona,Athletics,Men's,200m
Summer,1992,Bronze,USA,United States,Michael D. BATES,1992 Barcelona,Athletics,Men's,200m
Summer,1992,Gold,USA,United States,Quincy WATTS,1992 Barcelona,Athletics,Men's,400m
Summer,1992,Silver,USA,United States,Steve LEWIS,1992 Barcelona,Athletics,Men's,400m
Summer,1992,Bronze,KEN,Kenya,Samson KITUR,1992 Barcelona,Athletics,Men's,400m
Summer,1992,Gold,KEN,Kenya,William TANUI,1992 Barcelona,Athletics,Men's,800m
Summer,1992,Silver,KEN,Kenya,Nixon KIPROTICH,1992 Barcelona,Athletics,Men's,800m
Summer,1992,Bronze,USA,United States,Johnny Lee Jr GRAY,1992 Barcelona,Athletics,Men's,800m
Summer,1992,Gold,ESP,Spain,Fermin CACHO RUIZ,1992 Barcelona,Athletics,Men's,1500m
Summer,1992,Silver,MAR,Morocco,Rachid EL BASIR,1992 Barcelona,Athletics,Men's,1500m
Summer,1992,Bronze,QAT,Qatar,Mohamed Ahmed SULAIMAN,1992 Barcelona,Athletics,Men's,1500m
Summer,1992,Gold,GER,Germany,Dieter BAUMANN,1992 Barcelona,Athletics,Men's,5000m
Summer,1992,Silver,KEN,Kenya,Paul BITOK,1992 Barcelona,Athletics,Men's,5000m
Summer,1992,Bronze,ETH,Ethiopia,Fita BAYISA,1992 Barcelona,Athletics,Men's,5000m
Summer,1992,Gold,MAR,Morocco,Khalid SKAH,1992 Barcelona,Athletics,Men's,10000m
Summer,1992,Silver,KEN,Kenya,Richard CHELIMO,1992 Barcelona,Athletics,Men's,10000m
Summer,1992,Bronze,ETH,Ethiopia,Addis ABEBE,1992 Barcelona,Athletics,Men's,10000m
Summer,1992,Gold,KOR,Korea Republic,Young-Cho HWANG,1992 Barcelona,Athletics,Men's,marathon
Summer,1992,Silver,JPN,Japan,Koichi MORISHITA,1992 Barcelona,Athletics,Men's,marathon
Summer,1992,Bronze,GER,Germany,Stephan Timo FREIGANG,1992 Barcelona,Athletics,Men's,marathon
Summer,1992,Gold,CAN,Canada,Mark MCKOY,1992 Barcelona,Athletics,Men's,110m hurdles
Summer,1992,Silver,USA,United States,Tony DEES,1992 Barcelona,Athletics,Men's,110m hurdles
Summer,1992,Bronze,USA,United States,Jack PIERCE,1992 Barcelona,Athletics,Men's,110m hurdles
Summer,1992,Gold,USA,United States,Kevin Curtis YOUNG,1992 Barcelona,Athletics,Men's,400m hurdles
Summer,1992,Silver,JAM,Jamaica,Winthrop GRAHAM,1992 Barcelona,Athletics,Men's,400m hurdles
Summer,1992,Bronze,GBR,Great Britain,Kriss Kezie Uche AKABUSI,1992 Barcelona,Athletics,Men's,400m hurdles
Summer,1992,Gold,KEN,Kenya,Mathew BIRIR,1992 Barcelona,Athletics,Men's,3000m steeplechase
Summer,1992,Silver,KEN,Kenya,Patrick SANG,1992 Barcelona,Athletics,Men's,3000m steeplechase
Summer,1992,Bronze,KEN,Kenya,William MUTWOL,1992 Barcelona,Athletics,Men's,3000m steeplechase
Summer,1992,Gold,USA,United States,"Carl LEWIS, Leroy BURRELL, James JETT, Dennis MITCHELL, Michael MARSH",1992 Barcelona,Athletics,Men's,4x100m relay
Summer,1992,Silver,NGR,Nigeria,"Davidson EZINWA, Oluyemi KAYODE, Olapade ADENIKEN, Chidi IMOH, Osmond EZINWA",1992 Barcelona,Athletics,Men's,4x100m relay
