season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1994,Gold,NOR,Norway,Lasse KJUS,1994 Lillehammer,Alpine Skiing,Men's,Alpine combined
Winter,1994,Silver,NOR,Norway,Kjetil Andre AAMODT,1994 Lillehammer,Alpine Skiing,Men's,Alpine combined
Winter,1994,Bronze,NOR,Norway,Harald Chr. STRAND NILSEN,1994 Lillehammer,Alpine Skiing,Men's,Alpine combined
Winter,1994,Gold,AUT,Austria,Thomas STANGASSINGER,1994 Lillehammer,Alpine Skiing,Men's,slalom
Winter,1994,Silver,ITA,Italy,Alberto TOMBA,1994 Lillehammer,Alpine Skiing,Men's,slalom
Winter,1994,Bronze,SLO,Slovenia,Jure KOSIR,1994 Lillehammer,Alpine Skiing,Men's,slalom
Winter,1994,Gold,GER,Germany,Markus WASMEIER,1994 Lillehammer,Alpine Skiing,Men's,giant slalom
Winter,1994,Silver,SUI,Switzerland,Urs KAELIN,1994 Lillehammer,Alpine Skiing,Men's,giant slalom
Winter,1994,Bronze,AUT,Austria,Christian MAYER,1994 Lillehammer,Alpine Skiing,Men's,giant slalom
Winter,1994,Gold,GER,Germany,Markus WASMEIER,1994 Lillehammer,Alpine Skiing,Men's,super-G
Winter,1994,Silver,USA,United States,Thomas MOE,1994 Lillehammer,Alpine Skiing,Men's,super-G
Winter,1994,Bronze,NOR,Norway,Kjetil Andre AAMODT,1994 Lillehammer,Alpine Skiing,Men's,super-G
Winter,1994,Gold,USA,United States,Thomas MOE,1994 Lillehammer,Alpine Skiing,Men's,downhill
Winter,1994,Silver,NOR,Norway,Kjetil Andre AAMODT,1994 Lillehammer,Alpine Skiing,Men's,downhill
Winter,1994,Bronze,CAN,Canada,Ed PODIVINSKY,1994 Lillehammer,Alpine Skiing,Men's,downhill
Winter,1994,Gold,SWE,Sweden,Pernilla WIBERG,1994 Lillehammer,Alpine Skiing,Women's,Alpine combined
Winter,1994,Silver,SUI,Switzerland,Vreni SCHNEIDER,1994 Lillehammer,Alpine Skiing,Women's,Alpine combined
Winter,1994,Bronze,SLO,Slovenia,Alenka DOVZAN,1994 Lillehammer,Alpine Skiing,Women's,Alpine combined
Winter,1994,Gold,SUI,Switzerland,Vreni SCHNEIDER,1994 Lillehammer,Alpine Skiing,Women's,slalom
Winter,1994,Silver,AUT,Austria,Elfriede EDER,1994 Lillehammer,Alpine Skiing,Women's,slalom
Winter,1994,Bronze,SLO,Slovenia,Katja KOREN,1994 Lillehammer,Alpine Skiing,Women's,slalom
Winter,1994,Gold,ITA,Italy,Deborah COMPAGNONI,1994 Lillehammer,Alpine Skiing,Women's,giant slalom
Winter,1994,Silver,GER,Germany,Martina ERTL,1994 Lillehammer,Alpine Skiing,Women's,giant slalom
Winter,1994,Bronze,SUI,Switzerland,Vreni SCHNEIDER,1994 Lillehammer,Alpine Skiing,Women's,giant slalom
Winter,1994,Gold,USA,United States,Diann ROFFE,1994 Lillehammer,Alpine Skiing,Women's,super-G
Winter,1994,Silver,RUS,Russian Federation,Svetlana GLADISHEVA,1994 Lillehammer,Alpine Skiing,Women's,super-G
Winter,1994,Bronze,ITA,Italy,Isolde KOSTNER,1994 Lillehammer,Alpine Skiing,Women's,super-G
Winter,1994,Gold,GER,Germany,Katja SEIZINGER,1994 Lillehammer,Alpine Skiing,Women's,downhill
Winter,1994,Silver,USA,United States,Picabo STREET,1994 Lillehammer,Alpine Skiing,Women's,downhill
Winter,1994,Bronze,ITA,Italy,Isolde KOSTNER,1994 Lillehammer,Alpine Skiing,Women's,downhill
Winter,1994,Gold,RUS,Russian Federation,Sergei TCHEPIKOV,1994 Lillehammer,Biathlon,Men's,10km sprint
Winter,1994,Silver,GER,Germany,Ricco GROSS,1994 Lillehammer,Biathlon,Men's,10km sprint
Winter,1994,Bronze,RUS,Russian Federation,Sergei TARASOV,1994 Lillehammer,Biathlon,Men's,10km sprint
Winter,1994,Gold,RUS,Russian Federation,Sergei TARASOV,1994 Lillehammer,Biathlon,Men's,20km individual
Winter,1994,Silver,GER,Germany,Frank LUCK,1994 Lillehammer,Biathlon,Men's,20km individual
Winter,1994,Bronze,GER,Germany,Sven FISCHER,1994 Lillehammer,Biathlon,Men's,20km individual
Winter,1994,Gold,GER,Germany,"Ricco GROSS, Mark KIRCHNER, Frank LUCK, Sven FISCHER",1994 Lillehammer,Biathlon,Men's,4x7.5km relay
Winter,1994,Silver,RUS,Russian Federation,"Sergei TARASOV, Valeri KIRIENKO, Sergei TCHEPIKOV, Vladimir DRATSCHEV",1994 Lillehammer,Biathlon,Men's,4x7.5km relay
Winter,1994,Bronze,FRA,France,"Thierry DUSSERRE, Lionel LAURENT, Patrice BAILLY-SALINS, Hervé FLANDIN",1994 Lillehammer,Biathlon,Men's,4x7.5km relay
Winter,1994,Gold,CAN,Canada,Myriam BEDARD,1994 Lillehammer,Biathlon,Women's,7.5km sprint
Winter,1994,Silver,BLR,Belarus,Svetlana PARAMYGINA,1994 Lillehammer,Biathlon,Women's,7.5km sprint
Winter,1994,Bronze,UKR,Ukraine,Valentyna TSERBE-NESSINA,1994 Lillehammer,Biathlon,Women's,7.5km sprint
Winter,1994,Gold,CAN,Canada,Myriam BEDARD,1994 Lillehammer,Biathlon,Women's,15km individual
Winter,1994,Silver,FRA,France,Anne BRIAND BOUTHIAUX,1994 Lillehammer,Biathlon,Women's,15km individual
Winter,1994,Bronze,GER,Germany,Uschi DISL,1994 Lillehammer,Biathlon,Women's,15km individual
Winter,1994,Gold,RUS,Russian Federation,"Natalia SNYTINA, Anfisa REZTSOVA, Nadejda TALANOVA, Louiza NOSKOVA",1994 Lillehammer,Biathlon,Women's,4x7.5km relay
Winter,1994,Silver,GER,Germany,"Petra SCHAAF, Antje HARVEY, Simone GREINER-PETTER-MEMM, Uschi DISL",1994 Lillehammer,Biathlon,Women's,4x7.5km relay
Winter,1994,Bronze,FRA,France,"Véronique CLAUDEL, Anne BRIAND BOUTHIAUX, Corinne NIOGRET, Delphyne BURLET",1994 Lillehammer,Biathlon,Women's,4x7.5km relay
Winter,1994,Gold,SUI,Switzerland,"Gustav WEDER, Donat ACKLIN",1994 Lillehammer,Bobsleigh,Men's,two-man
Winter,1994,Silver,SUI,Switzerland,"Reto GOETSCHI, Guido ACKLIN",1994 Lillehammer,Bobsleigh,Men's,two-man
Winter,1994,Bronze,ITA,Italy,"Guenther HUBER, Stefano TICCI",1994 Lillehammer,Bobsleigh,Men's,two-man
Winter,1994,Gold,GER,Germany,"Harald CZUDAJ, Olaf HAMPEL, Karsten BRANNASCH, Alexander SZELIG",1994 Lillehammer,Bobsleigh,Men's,four-man
Winter,1994,Silver,SUI,Switzerland,"Kurt MEIER, Gustav WEDER, Domenico SEMERARO, Donat ACKLIN",1994 Lillehammer,Bobsleigh,Men's,four-man
Winter,1994,Bronze,GER,Germany,"Wolfgang HOPPE, Rene HANNEMANN, Ulf HIELSCHER, Carsten EMBACH",1994 Lillehammer,Bobsleigh,Men's,four-man
Winter,1994,Gold,NOR,Norway,Björn DAEHLIE,1994 Lillehammer,Cross Country Skiing,Men's,10km
Winter,1994,Silver,KAZ,Kazakhstan,Vladimir SMIRNOV,1994 Lillehammer,Cross Country Skiing,Men's,10km
Winter,1994,Bronze,ITA,Italy,Marco ALBARELLO,1994 Lillehammer,Cross Country Skiing,Men's,10km
Winter,1994,Gold,NOR,Norway,Björn DAEHLIE,1994 Lillehammer,Cross Country Skiing,Men's,Combined 10km + 15km pursuit
Winter,1994,Silver,KAZ,Kazakhstan,Vladimir SMIRNOV,1994 Lillehammer,Cross Country Skiing,Men's,Combined 10km + 15km pursuit
Winter,1994,Bronze,ITA,Italy,Silvio FAUNER,1994 Lillehammer,Cross Country Skiing,Men's,Combined 10km + 15km pursuit
Winter,1994,Gold,NOR,Norway,Thomas ALSGAARD,1994 Lillehammer,Cross Country Skiing,Men's,30km
Winter,1994,Silver,NOR,Norway,Björn DAEHLIE,1994 Lillehammer,Cross Country Skiing,Men's,30km
Winter,1994,Bronze,FIN,Finland,Mika MYLLYLAE,1994 Lillehammer,Cross Country Skiing,Men's,30km
