season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,1996,Gold,USA,United States,Хюш,1996 Atlanta,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,1996,Silver,SWE,Sweden,Петерссон,1996 Atlanta,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,1996,Bronze,KOR,Korea Republic,О Ку Мун,1996 Atlanta,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,1996,Gold,USA,United States,"Джонсон, Хюш, Уайт",1996 Atlanta,Archery,Men's,team (FITA Olympic round - 70m)
Summer,1996,Silver,KOR,Korea Republic,"О Кио Мун, Джан Йон Хо, Ким Бо Рам",1996 Atlanta,Archery,Men's,team (FITA Olympic round - 70m)
Summer,1996,Bronze,ITA,Italy,"Франгилли, Бисиани, Паренти",1996 Atlanta,Archery,Men's,team (FITA Olympic round - 70m)
Summer,1996,Gold,KOR,Korea Republic,Ким Кун Вук,1996 Atlanta,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,1996,Silver,CHN,China,Хе Юн,1996 Atlanta,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,1996,Bronze,UKR,Ukraine,Садовничая,1996 Atlanta,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,1996,Gold,KOR,Korea Republic,"Юнь Хи Юн, Ким Йо Сун, Ким Кун Вук",1996 Atlanta,Archery,Women's,team (FITA Olympic round - 70m)
Summer,1996,Silver,GER,Germany,"Менсинг, Вагнер, Пфоль",1996 Atlanta,Archery,Women's,team (FITA Olympic round - 70m)
Summer,1996,Bronze,POL,Poland,"Клата, Джейсоль, Новицка",1996 Atlanta,Archery,Women's,team (FITA Olympic round - 70m)
Summer,1996,Gold,USA,United States,"Клилэнд, Лесер, Сэвери, Саддат, Дироен-Лансер, Пис, Шнейдер, Тьен",1996 Atlanta,Artistic Swimming,Women's,team
Summer,1996,Silver,CAN,Canada,"Кларк, Бремнер, Хулд-Маршан, Кулеша, Вудли, Ларсен, Фрешетт, Фонтейн, Рид, Александер",1996 Atlanta,Artistic Swimming,Women's,team
Summer,1996,Bronze,JPN,Japan,,1996 Atlanta,Artistic Swimming,Women's,team
Summer,1996,Gold,CAN,Canada,Бэйли,1996 Atlanta,Athletics,Men's,100m
Summer,1996,Silver,NAM,Namibia,Фредерикс,1996 Atlanta,Athletics,Men's,100m
Summer,1996,Bronze,TTO,Trinidad and Tobago,Болдон,1996 Atlanta,Athletics,Men's,100m
Summer,1996,Gold,USA,United States,Джонсон,1996 Atlanta,Athletics,Men's,200m
Summer,1996,Silver,NAM,Namibia,Фредерикс,1996 Atlanta,Athletics,Men's,200m
Summer,1996,Bronze,TTO,Trinidad and Tobago,Болдон,1996 Atlanta,Athletics,Men's,200m
Summer,1996,Gold,USA,United States,Джонсон,1996 Atlanta,Athletics,Men's,400m
Summer,1996,Silver,GBR,Great Britain,Блэк,1996 Atlanta,Athletics,Men's,400m
Summer,1996,Bronze,UGA,Uganda,Камога,1996 Atlanta,Athletics,Men's,400m
Summer,1996,Gold,NOR,Norway,Родал,1996 Atlanta,Athletics,Men's,800m
Summer,1996,Silver,RSA,South Africa,Сепенг,1996 Atlanta,Athletics,Men's,800m
Summer,1996,Bronze,KEN,Kenya,Оньянча,1996 Atlanta,Athletics,Men's,800m
Summer,1996,Gold,ALG,Algeria,Морсели,1996 Atlanta,Athletics,Men's,1500m
Summer,1996,Silver,ESP,Spain,Качо,1996 Atlanta,Athletics,Men's,1500m
Summer,1996,Bronze,KEN,Kenya,Кипкорир,1996 Atlanta,Athletics,Men's,1500m
Summer,1996,Gold,BDI,Burundi,Нионгабо,1996 Atlanta,Athletics,Men's,5000m
Summer,1996,Silver,KEN,Kenya,Биток,1996 Atlanta,Athletics,Men's,5000m
Summer,1996,Bronze,MAR,Morocco,Булами,1996 Atlanta,Athletics,Men's,5000m
Summer,1996,Gold,ETH,Ethiopia,Гебреселассие,1996 Atlanta,Athletics,Men's,10000m
Summer,1996,Silver,KEN,Kenya,Тергат,1996 Atlanta,Athletics,Men's,10000m
Summer,1996,Bronze,MAR,Morocco,Хиссу,1996 Atlanta,Athletics,Men's,10000m
Summer,1996,Gold,RSA,South Africa,Тугване,1996 Atlanta,Athletics,Men's,marathon
Summer,1996,Silver,KOR,Korea Republic,Ли Бон Джу,1996 Atlanta,Athletics,Men's,marathon
Summer,1996,Bronze,KEN,Kenya,Вайнайна,1996 Atlanta,Athletics,Men's,marathon
Summer,1996,Gold,USA,United States,Джонсон,1996 Atlanta,Athletics,Men's,110m hurdles
Summer,1996,Silver,USA,United States,Крир,1996 Atlanta,Athletics,Men's,110m hurdles
Summer,1996,Bronze,GER,Germany,Швартхофф,1996 Atlanta,Athletics,Men's,110m hurdles
Summer,1996,Gold,USA,United States,Адкинс,1996 Atlanta,Athletics,Men's,400m hurdles
Summer,1996,Silver,ZAM,Zambia,Матете,1996 Atlanta,Athletics,Men's,400m hurdles
Summer,1996,Bronze,USA,United States,Дэвис,1996 Atlanta,Athletics,Men's,400m hurdles
Summer,1996,Gold,KEN,Kenya,Кетер,1996 Atlanta,Athletics,Men's,3000m steeplechase
Summer,1996,Silver,KEN,Kenya,Киптануи,1996 Atlanta,Athletics,Men's,3000m steeplechase
Summer,1996,Bronze,ITA,Italy,Ламбрушини,1996 Atlanta,Athletics,Men's,3000m steeplechase
Summer,1996,Gold,CAN,Canada,"Эсми, Сурин, Джилберт, Бэйли",1996 Atlanta,Athletics,Men's,4x100m relay
Summer,1996,Silver,USA,United States,"Драммонд, Марш, Харден, Митчелл",1996 Atlanta,Athletics,Men's,4x100m relay
Summer,1996,Bronze,BRA,Brazil,"Ар. Силва, Рибейру, Р. Да Силва, Ан. Силва",1996 Atlanta,Athletics,Men's,4x100m relay
Summer,1996,Gold,USA,United States,"Смит, Миллс, Харрисон, Мэйбенк",1996 Atlanta,Athletics,Men's,4x400m relay
Summer,1996,Silver,GBR,Great Britain,"Томас, Баулш, Ричардсон, Блэк",1996 Atlanta,Athletics,Men's,4x400m relay
