season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,1998,Gold,AUT,Austria,Райтер,1998 Nagano,Alpine Skiing,Men's,Alpine combined
Winter,1998,Silver,NOR,Norway,Кьюс,1998 Nagano,Alpine Skiing,Men's,Alpine combined
Winter,1998,Bronze,AUT,Austria,Майер,1998 Nagano,Alpine Skiing,Men's,Alpine combined
Winter,1998,Gold,NOR,Norway,Бураас,1998 Nagano,Alpine Skiing,Men's,slalom
Winter,1998,Silver,NOR,Norway,Фурусет,1998 Nagano,Alpine Skiing,Men's,slalom
Winter,1998,Bronze,AUT,Austria,Сикора,1998 Nagano,Alpine Skiing,Men's,slalom
Winter,1998,Gold,AUT,Austria,Майер,1998 Nagano,Alpine Skiing,Men's,giant slalom
Winter,1998,Silver,AUT,Austria,Эберхартер,1998 Nagano,Alpine Skiing,Men's,giant slalom
Winter,1998,Bronze,SUI,Switzerland,Фон Грюниген,1998 Nagano,Alpine Skiing,Men's,giant slalom
Winter,1998,Gold,AUT,Austria,Майер,1998 Nagano,Alpine Skiing,Men's,super-G
Winter,1998,Silver,AUT,Austria,Кнаусс,1998 Nagano,Alpine Skiing,Men's,super-G
Winter,1998,Silver,SUI,Switzerland,Кюш,1998 Nagano,Alpine Skiing,Men's,super-G
Winter,1998,Gold,FRA,France,Кретье,1998 Nagano,Alpine Skiing,Men's,downhill
Winter,1998,Silver,NOR,Norway,Кьюс,1998 Nagano,Alpine Skiing,Men's,downhill
Winter,1998,Bronze,AUT,Austria,Тринкль,1998 Nagano,Alpine Skiing,Men's,downhill
Winter,1998,Gold,GER,Germany,Зайцингер,1998 Nagano,Alpine Skiing,Women's,Alpine combined
Winter,1998,Silver,GER,Germany,Эртль,1998 Nagano,Alpine Skiing,Women's,Alpine combined
Winter,1998,Bronze,GER,Germany,Герг,1998 Nagano,Alpine Skiing,Women's,Alpine combined
Winter,1998,Gold,GER,Germany,Герг,1998 Nagano,Alpine Skiing,Women's,slalom
Winter,1998,Silver,ITA,Italy,Компаньони,1998 Nagano,Alpine Skiing,Women's,slalom
Winter,1998,Bronze,AUS,Australia,Штегалль,1998 Nagano,Alpine Skiing,Women's,slalom
Winter,1998,Gold,ITA,Italy,Компаньони,1998 Nagano,Alpine Skiing,Women's,giant slalom
Winter,1998,Silver,AUT,Austria,Майсснитцер,1998 Nagano,Alpine Skiing,Women's,giant slalom
Winter,1998,Bronze,GER,Germany,Зайцингер,1998 Nagano,Alpine Skiing,Women's,giant slalom
Winter,1998,Gold,USA,United States,Стрит,1998 Nagano,Alpine Skiing,Women's,super-G
Winter,1998,Silver,AUT,Austria,Дорфмайстер,1998 Nagano,Alpine Skiing,Women's,super-G
Winter,1998,Bronze,AUT,Austria,Майсснитцер,1998 Nagano,Alpine Skiing,Women's,super-G
Winter,1998,Gold,GER,Germany,Зайцингер,1998 Nagano,Alpine Skiing,Women's,downhill
Winter,1998,Silver,SWE,Sweden,Виберг,1998 Nagano,Alpine Skiing,Women's,downhill
Winter,1998,Bronze,FRA,France,Маснада,1998 Nagano,Alpine Skiing,Women's,downhill
Winter,1998,Gold,NOR,Norway,Бьорндален О.-Э.,1998 Nagano,Biathlon,Men's,10km sprint
Winter,1998,Silver,NOR,Norway,Андресен,1998 Nagano,Biathlon,Men's,10km sprint
Winter,1998,Bronze,FIN,Finland,Ряйкконен,1998 Nagano,Biathlon,Men's,10km sprint
Winter,1998,Gold,NOR,Norway,Ханеволд,1998 Nagano,Biathlon,Men's,20km individual
Winter,1998,Silver,ITA,Italy,Каррара,1998 Nagano,Biathlon,Men's,20km individual
Winter,1998,Bronze,BLR,Belarus,Айдаров,1998 Nagano,Biathlon,Men's,20km individual
Winter,1998,Gold,GER,Germany,"Гросс, Фишер, Зендель, Лукк",1998 Nagano,Biathlon,Men's,4x7.5km relay
Winter,1998,Silver,NOR,Norway,"Гьелланд, Бьорндален Д., Ханеволд, Бьорндален О.-Э.",1998 Nagano,Biathlon,Men's,4x7.5km relay
Winter,1998,Bronze,RUS,Russian Federation,"Муслимов, Тарасов, Драчев, Майгуров",1998 Nagano,Biathlon,Men's,4x7.5km relay
