season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,2000,Gold,AUS,Australia,Саймон Фэйрвезер,2000 Sydney,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2000,Silver,USA,United States,Виктор Вандерле,2000 Sydney,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2000,Bronze,NED,Netherlands,Витзе Ван Альтен,2000 Sydney,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2000,Gold,KOR,Korea Republic,,2000 Sydney,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2000,Silver,ITA,Italy,,2000 Sydney,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2000,Bronze,USA,United States,,2000 Sydney,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2000,Gold,KOR,Korea Republic,Юн Ми Джин,2000 Sydney,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2000,Silver,KOR,Korea Republic,Ким Нам Сун,2000 Sydney,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2000,Bronze,KOR,Korea Republic,Ким Су Ньюнг,2000 Sydney,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2000,Gold,KOR,Korea Republic,,2000 Sydney,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2000,Silver,UKR,Ukraine,,2000 Sydney,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2000,Bronze,GER,Germany,,2000 Sydney,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2000,Gold,RUS,Russian Federation,,2000 Sydney,Artistic Swimming,Women's,team
Summer,2000,Silver,JPN,Japan,,2000 Sydney,Artistic Swimming,Women's,team
Summer,2000,Bronze,CAN,Canada,,2000 Sydney,Artistic Swimming,Women's,team
Summer,2000,Gold,RUS,Russian Federation,,2000 Sydney,Artistic Swimming,Women's,duet
Summer,2000,Silver,JPN,Japan,,2000 Sydney,Artistic Swimming,Women's,duet
Summer,2000,Bronze,FRA,France,,2000 Sydney,Artistic Swimming,Women's,duet
Summer,2000,Gold,USA,United States,Морис Грин,2000 Sydney,Athletics,Men's,100m
Summer,2000,Silver,TTO,Trinidad and Tobago,Ато Болдон,2000 Sydney,Athletics,Men's,100m
Summer,2000,Bronze,BAR,Barbados,Обаделе Томпсон,2000 Sydney,Athletics,Men's,100m
Summer,2000,Gold,GRE,Greece,Константинос Кендерис,2000 Sydney,Athletics,Men's,200m
Summer,2000,Silver,GBR,Great Britain,Дэррен Кэмпбелл,2000 Sydney,Athletics,Men's,200m
Summer,2000,Bronze,TTO,Trinidad and Tobago,Ато Болдон,2000 Sydney,Athletics,Men's,200m
Summer,2000,Gold,USA,United States,Майкл Джонсон,2000 Sydney,Athletics,Men's,400m
Summer,2000,Silver,USA,United States,Элвин Харрисон,2000 Sydney,Athletics,Men's,400m
Summer,2000,Bronze,JAM,Jamaica,Грегори Хотон,2000 Sydney,Athletics,Men's,400m
Summer,2000,Gold,GER,Germany,Нильс Шуманн,2000 Sydney,Athletics,Men's,800m
Summer,2000,Silver,DEN,Denmark,Уилсон Кипкетер,2000 Sydney,Athletics,Men's,800m
Summer,2000,Bronze,ALG,Algeria,Джабир Саид-Герни,2000 Sydney,Athletics,Men's,800m
Summer,2000,Gold,KEN,Kenya,Ноа Нгени,2000 Sydney,Athletics,Men's,1500m
Summer,2000,Silver,MAR,Morocco,Хишам Эль-Герруж,2000 Sydney,Athletics,Men's,1500m
Summer,2000,Bronze,KEN,Kenya,Бернард Лагат,2000 Sydney,Athletics,Men's,1500m
Summer,2000,Gold,ETH,Ethiopia,Миллион Волде,2000 Sydney,Athletics,Men's,5000m
Summer,2000,Silver,ALG,Algeria,Али Саид-Сиф,2000 Sydney,Athletics,Men's,5000m
Summer,2000,Bronze,MAR,Morocco,Брахим Булами,2000 Sydney,Athletics,Men's,5000m
Summer,2000,Gold,ETH,Ethiopia,Хайле Гебреселассие,2000 Sydney,Athletics,Men's,10000m
Summer,2000,Silver,KEN,Kenya,Пол Тергат,2000 Sydney,Athletics,Men's,10000m
Summer,2000,Bronze,ETH,Ethiopia,Ассефа Мезгебу,2000 Sydney,Athletics,Men's,10000m
Summer,2000,Gold,ETH,Ethiopia,Гезагне Абера,2000 Sydney,Athletics,Men's,marathon
Summer,2000,Silver,KEN,Kenya,Эрик Вайнайна,2000 Sydney,Athletics,Men's,marathon
Summer,2000,Bronze,ETH,Ethiopia,Тесфайе Тола,2000 Sydney,Athletics,Men's,marathon
Summer,2000,Gold,CUB,Cuba,Аньер Гарсия,2000 Sydney,Athletics,Men's,110m hurdles
Summer,2000,Silver,USA,United States,Терренс Траммел,2000 Sydney,Athletics,Men's,110m hurdles
Summer,2000,Bronze,USA,United States,Марк Крир,2000 Sydney,Athletics,Men's,110m hurdles
Summer,2000,Gold,USA,United States,Энджело Тейлор,2000 Sydney,Athletics,Men's,400m hurdles
Summer,2000,Silver,KSA,Saudi Arabia,Хади Аль-Сомали,2000 Sydney,Athletics,Men's,400m hurdles
Summer,2000,Bronze,RSA,South Africa,Ллевеллин Херберт,2000 Sydney,Athletics,Men's,400m hurdles
Summer,2000,Gold,KEN,Kenya,Рубен Косгеи,2000 Sydney,Athletics,Men's,3000m steeplechase
Summer,2000,Silver,KEN,Kenya,Уилсон Бойт Кипкетер,2000 Sydney,Athletics,Men's,3000m steeplechase
Summer,2000,Bronze,MAR,Morocco,Али Эззин,2000 Sydney,Athletics,Men's,3000m steeplechase
Summer,2000,Gold,USA,United States,"Морис Грин, Кеннет Брокенбарр, Бернард Уильямс, Брайан Льюис, Тим Монтгомери, Джон Драммонд",2000 Sydney,Athletics,Men's,4x100m relay
Summer,2000,Silver,BRA,Brazil,"Виченте де Лима, Андре Домингос Сильва, Клаудио Роберто Соуза, Эдсон Рибейро, Клаудине Сильва",2000 Sydney,Athletics,Men's,4x100m relay
Summer,2000,Bronze,CUB,Cuba,"Хосе Анджел Цезар, Иван Гарсиа, Луис Альберто Перес, Фредди Майола",2000 Sydney,Athletics,Men's,4x100m relay
Summer,2000,Gold,NGR,Nigeria,"Ндука Авазе, Клемент Чукву, Санди Бада, Фиделис Гадзама, Юде Моне, Энефок Юдо Обонг",2000 Sydney,Athletics,Men's,4x400m relay
Summer,2000,Silver,JAM,Jamaica,"Майкл Блэквуд, Кристофер Уильямс, Саньи Эре, Грег Хутон, Данни Макфарлейн, Майкл Макдональд",2000 Sydney,Athletics,Men's,4x400m relay
Summer,2000,Bronze,BAH,Bahamas,"Авард Монкур, Карл Оливер, Трой Макинтош, Кристофер Браун",2000 Sydney,Athletics,Men's,4x400m relay
Summer,2000,Gold,POL,Poland,Роберт Корженевский,2000 Sydney,Athletics,Men's,20km walk
Summer,2000,Silver,MEX,Mexico,Ноэ Эрнандес,2000 Sydney,Athletics,Men's,20km walk
Summer,2000,Bronze,RUS,Russian Federation,Владимир Андреев,2000 Sydney,Athletics,Men's,20km walk
Summer,2000,Gold,POL,Poland,Роберт Корженевский,2000 Sydney,Athletics,Men's,50km walk
Summer,2000,Silver,LAT,Latvia,Айгарс Фадеевс,2000 Sydney,Athletics,Men's,50km walk
Summer,2000,Bronze,MEX,Mexico,Жоэль Санчес,2000 Sydney,Athletics,Men's,50km walk
Summer,2000,Gold,CUB,Cuba,Иван Педросо,2000 Sydney,Athletics,Men's,long jump
Summer,2000,Silver,AUS,Australia,Джай Таурима,2000 Sydney,Athletics,Men's,long jump
Summer,2000,Bronze,UKR,Ukraine,Роман Щуренко,2000 Sydney,Athletics,Men's,long jump
Summer,2000,Gold,GBR,Great Britain,Джонатан Эдвардс,2000 Sydney,Athletics,Men's,triple jump
Summer,2000,Silver,CUB,Cuba,Жоэль Гарсия,2000 Sydney,Athletics,Men's,triple jump
Summer,2000,Bronze,RUS,Russian Federation,Денис Капустин,2000 Sydney,Athletics,Men's,triple jump
Summer,2000,Gold,RUS,Russian Federation,Сергей Клюгин,2000 Sydney,Athletics,Men's,high jump
Summer,2000,Silver,CUB,Cuba,Хавьер Сотомайор,2000 Sydney,Athletics,Men's,high jump
Summer,2000,Bronze,ALG,Algeria,Абдерахман Хаммад,2000 Sydney,Athletics,Men's,high jump
Summer,2000,Gold,USA,United States,Ник Хайсонг,2000 Sydney,Athletics,Men's,pole vault
Summer,2000,Silver,USA,United States,Лоуренс Джонсон,2000 Sydney,Athletics,Men's,pole vault
Summer,2000,Bronze,RUS,Russian Federation,Максим Тарасов,2000 Sydney,Athletics,Men's,pole vault
Summer,2000,Gold,FIN,Finland,Арси Харью,2000 Sydney,Athletics,Men's,shot put
Summer,2000,Silver,USA,United States,Эдам Нельсон,2000 Sydney,Athletics,Men's,shot put
Summer,2000,Bronze,USA,United States,Джон Година,2000 Sydney,Athletics,Men's,shot put
Summer,2000,Gold,LTU,Lithuania,Виргилиус Алекна,2000 Sydney,Athletics,Men's,discus throw
Summer,2000,Silver,GER,Germany,Ларс Ридель,2000 Sydney,Athletics,Men's,discus throw
Summer,2000,Bronze,RSA,South Africa,Франц Крюгер,2000 Sydney,Athletics,Men's,discus throw
