season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,2002,Gold,NOR,Norway,Омодт,2002 Salt Lake City,Alpine Skiing,Men's,Alpine combined
Winter,2002,Silver,USA,United States,Миллер,2002 Salt Lake City,Alpine Skiing,Men's,Alpine combined
Winter,2002,Bronze,AUT,Austria,Райх,2002 Salt Lake City,Alpine Skiing,Men's,Alpine combined
Winter,2002,Gold,FRA,France,Видаль,2002 Salt Lake City,Alpine Skiing,Men's,slalom
Winter,2002,Silver,FRA,France,Амьез,2002 Salt Lake City,Alpine Skiing,Men's,slalom
Winter,2002,Bronze,AUT,Austria,Райх,2002 Salt Lake City,Alpine Skiing,Men's,slalom
Winter,2002,Gold,AUT,Austria,Эберхартер,2002 Salt Lake City,Alpine Skiing,Men's,giant slalom
Winter,2002,Silver,USA,United States,Миллер,2002 Salt Lake City,Alpine Skiing,Men's,giant slalom
Winter,2002,Bronze,NOR,Norway,Кьюс,2002 Salt Lake City,Alpine Skiing,Men's,giant slalom
Winter,2002,Gold,NOR,Norway,Омодт,2002 Salt Lake City,Alpine Skiing,Men's,super-G
Winter,2002,Silver,AUT,Austria,Эберхартер,2002 Salt Lake City,Alpine Skiing,Men's,super-G
Winter,2002,Bronze,AUT,Austria,Шифферер,2002 Salt Lake City,Alpine Skiing,Men's,super-G
Winter,2002,Gold,AUT,Austria,Штробль,2002 Salt Lake City,Alpine Skiing,Men's,downhill
Winter,2002,Silver,NOR,Norway,Кьюс,2002 Salt Lake City,Alpine Skiing,Men's,downhill
Winter,2002,Bronze,AUT,Austria,Эберхартер,2002 Salt Lake City,Alpine Skiing,Men's,downhill
Winter,2002,Gold,CRO,Croatia,Костелич,2002 Salt Lake City,Alpine Skiing,Women's,Alpine combined
Winter,2002,Silver,AUT,Austria,Гетшль,2002 Salt Lake City,Alpine Skiing,Women's,Alpine combined
Winter,2002,Bronze,GER,Germany,Эртль,2002 Salt Lake City,Alpine Skiing,Women's,Alpine combined
Winter,2002,Gold,CRO,Croatia,Костелич,2002 Salt Lake City,Alpine Skiing,Women's,slalom
Winter,2002,Silver,FRA,France,Пекиньо,2002 Salt Lake City,Alpine Skiing,Women's,slalom
Winter,2002,Bronze,SWE,Sweden,Пэрсон,2002 Salt Lake City,Alpine Skiing,Women's,slalom
Winter,2002,Gold,CRO,Croatia,Костелич,2002 Salt Lake City,Alpine Skiing,Women's,giant slalom
Winter,2002,Silver,SWE,Sweden,Пэрсон,2002 Salt Lake City,Alpine Skiing,Women's,giant slalom
Winter,2002,Bronze,SUI,Switzerland,Неф,2002 Salt Lake City,Alpine Skiing,Women's,giant slalom
Winter,2002,Gold,ITA,Italy,Чеккарелли,2002 Salt Lake City,Alpine Skiing,Women's,super-G
Winter,2002,Silver,CRO,Croatia,Костелич,2002 Salt Lake City,Alpine Skiing,Women's,super-G
Winter,2002,Bronze,ITA,Italy,Путцер,2002 Salt Lake City,Alpine Skiing,Women's,super-G
Winter,2002,Gold,FRA,France,Монтийе,2002 Salt Lake City,Alpine Skiing,Women's,downhill
Winter,2002,Silver,ITA,Italy,Костнер,2002 Salt Lake City,Alpine Skiing,Women's,downhill
Winter,2002,Bronze,AUT,Austria,Гетшль,2002 Salt Lake City,Alpine Skiing,Women's,downhill
Winter,2002,Gold,NOR,Norway,Бьорндален,2002 Salt Lake City,Biathlon,Men's,10km sprint
Winter,2002,Silver,GER,Germany,Фишер,2002 Salt Lake City,Biathlon,Men's,10km sprint
Winter,2002,Bronze,AUT,Austria,Пернер,2002 Salt Lake City,Biathlon,Men's,10km sprint
Winter,2002,Gold,NOR,Norway,Бьорндален,2002 Salt Lake City,Biathlon,Men's,20km individual
Winter,2002,Silver,GER,Germany,Лукк,2002 Salt Lake City,Biathlon,Men's,20km individual
Winter,2002,Bronze,RUS,Russian Federation,Майгуров,2002 Salt Lake City,Biathlon,Men's,20km individual
Winter,2002,Gold,NOR,Norway,Бьорндален,2002 Salt Lake City,Biathlon,Men's,12.5km pursuit
Winter,2002,Silver,FRA,France,Пуаре,2002 Salt Lake City,Biathlon,Men's,12.5km pursuit
Winter,2002,Bronze,GER,Germany,Гросс,2002 Salt Lake City,Biathlon,Men's,12.5km pursuit
Winter,2002,Gold,NOR,Norway,"Бьорндален, Андресен, Гьелланд, Ханеволд",2002 Salt Lake City,Biathlon,Men's,4x7.5km relay
Winter,2002,Silver,GER,Germany,"Зендель, Лукк, Гросс, Фишер",2002 Salt Lake City,Biathlon,Men's,4x7.5km relay
Winter,2002,Bronze,FRA,France,"Дефран, Пуаре, Марге, Робер",2002 Salt Lake City,Biathlon,Men's,4x7.5km relay
Winter,2002,Gold,GER,Germany,Вильхельм,2002 Salt Lake City,Biathlon,Women's,7.5km sprint
Winter,2002,Silver,GER,Germany,Дизль,2002 Salt Lake City,Biathlon,Women's,7.5km sprint
