season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,2004,Gold,ITA,Italy,Марко Гальяццо,2004 Athens,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2004,Silver,JPN,Japan,Хироши Ямамото,2004 Athens,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2004,Bronze,AUS,Australia,Тим Хаддихи,2004 Athens,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2004,Gold,KOR,Korea Republic,,2004 Athens,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2004,Silver,TPE,Chinese Taipei,,2004 Athens,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2004,Bronze,UKR,Ukraine,,2004 Athens,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2004,Gold,KOR,Korea Republic,Парк Сун Хьюн,2004 Athens,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2004,Silver,KOR,Korea Republic,Ли Сун Чжин,2004 Athens,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2004,Bronze,GBR,Great Britain,Элисон Уилльямсон,2004 Athens,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2004,Gold,KOR,Korea Republic,,2004 Athens,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2004,Silver,CHN,China,,2004 Athens,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2004,Bronze,TPE,Chinese Taipei,,2004 Athens,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2004,Gold,RUS,Russian Federation,"Ольга Новокщенова, Эльвира Хасянова, Елена Азарова, Мария Громова, Анастасия Ермакова, Анна Шорина, Ольга Брусникина, Анастасия Давыдова, Мария Кисилева",2004 Athens,Artistic Swimming,Women's,team
Summer,2004,Silver,JPN,Japan,,2004 Athens,Artistic Swimming,Women's,team
Summer,2004,Bronze,USA,United States,,2004 Athens,Artistic Swimming,Women's,team
Summer,2004,Gold,RUS,Russian Federation,"Анастасия Давыдова, Анастасия Ермакова",2004 Athens,Artistic Swimming,Women's,duet
Summer,2004,Silver,JPN,Japan,"Мия Тачибана, Михо Такеда",2004 Athens,Artistic Swimming,Women's,duet
Summer,2004,Bronze,USA,United States,"Элисон Бартосик, Анна Козлова",2004 Athens,Artistic Swimming,Women's,duet
Summer,2004,Gold,USA,United States,Джастин Гэтлин,2004 Athens,Athletics,Men's,100m
Summer,2004,Silver,POR,Portugal,Франсис Обиквелу,2004 Athens,Athletics,Men's,100m
Summer,2004,Bronze,USA,United States,Морис Грин,2004 Athens,Athletics,Men's,100m
Summer,2004,Gold,USA,United States,Шон Кроуфорд,2004 Athens,Athletics,Men's,200m
Summer,2004,Silver,USA,United States,Бернард Уильямс,2004 Athens,Athletics,Men's,200m
Summer,2004,Bronze,USA,United States,Джастин Гэтлин,2004 Athens,Athletics,Men's,200m
Summer,2004,Gold,USA,United States,Джереми Варинер,2004 Athens,Athletics,Men's,400m
Summer,2004,Silver,USA,United States,Отис Харрис,2004 Athens,Athletics,Men's,400m
Summer,2004,Bronze,USA,United States,Деррик Блю,2004 Athens,Athletics,Men's,400m
Summer,2004,Gold,RUS,Russian Federation,Юрий Борзаковский,2004 Athens,Athletics,Men's,800m
Summer,2004,Silver,RSA,South Africa,Мбулаени Мулаудзи,2004 Athens,Athletics,Men's,800m
Summer,2004,Bronze,DEN,Denmark,Уилсон Кипкетер,2004 Athens,Athletics,Men's,800m
Summer,2004,Gold,MAR,Morocco,Хишам Эль-Герруж,2004 Athens,Athletics,Men's,1500m
Summer,2004,Silver,KEN,Kenya,Бернард Лагат,2004 Athens,Athletics,Men's,1500m
Summer,2004,Bronze,POR,Portugal,Руй Силва,2004 Athens,Athletics,Men's,1500m
Summer,2004,Gold,MAR,Morocco,Хишам Эль-Герруж,2004 Athens,Athletics,Men's,5000m
Summer,2004,Silver,ETH,Ethiopia,Кенениса Бекеле,2004 Athens,Athletics,Men's,5000m
Summer,2004,Bronze,KEN,Kenya,Элиуд Кипчоге,2004 Athens,Athletics,Men's,5000m
Summer,2004,Gold,ETH,Ethiopia,Кенениса Бекеле,2004 Athens,Athletics,Men's,10000m
Summer,2004,Silver,ETH,Ethiopia,Силеши Сихине,2004 Athens,Athletics,Men's,10000m
Summer,2004,Bronze,ERI,Eritrea,Зерсанаи Тедессе,2004 Athens,Athletics,Men's,10000m
Summer,2004,Gold,ITA,Italy,Стефано Бальдини,2004 Athens,Athletics,Men's,marathon
Summer,2004,Silver,USA,United States,Мебратом Кефлезиги,2004 Athens,Athletics,Men's,marathon
Summer,2004,Bronze,BRA,Brazil,Вандерлей Де Лима,2004 Athens,Athletics,Men's,marathon
Summer,2004,Gold,CHN,China,Лю Сян,2004 Athens,Athletics,Men's,110m hurdles
Summer,2004,Silver,USA,United States,Терренс Траммел,2004 Athens,Athletics,Men's,110m hurdles
Summer,2004,Bronze,CUB,Cuba,Аньер Гарсия,2004 Athens,Athletics,Men's,110m hurdles
