season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,2006,Gold,USA,United States,Ted LIGETY,2006 Turin,Alpine Skiing,Men's,Alpine combined
Winter,2006,Silver,CRO,Croatia,Ivica KOSTELIC,2006 Turin,Alpine Skiing,Men's,Alpine combined
Winter,2006,Bronze,AUT,Austria,Rainer SCHOENFELDER,2006 Turin,Alpine Skiing,Men's,Alpine combined
Winter,2006,Gold,AUT,Austria,Benjamin RAICH,2006 Turin,Alpine Skiing,Men's,slalom
Winter,2006,Silver,AUT,Austria,Reinfried HERBST,2006 Turin,Alpine Skiing,Men's,slalom
Winter,2006,Bronze,AUT,Austria,Rainer SCHOENFELDER,2006 Turin,Alpine Skiing,Men's,slalom
Winter,2006,Gold,AUT,Austria,Benjamin RAICH,2006 Turin,Alpine Skiing,Men's,giant slalom
Winter,2006,Silver,FRA,France,Joel CHENAL,2006 Turin,Alpine Skiing,Men's,giant slalom
Winter,2006,Bronze,AUT,Austria,Hermann MAIER,2006 Turin,Alpine Skiing,Men's,giant slalom
Winter,2006,Gold,NOR,Norway,Kjetil André AAMODT,2006 Turin,Alpine Skiing,Men's,super-G
Winter,2006,Silver,AUT,Austria,Hermann MAIER,2006 Turin,Alpine Skiing,Men's,super-G
Winter,2006,Bronze,SUI,Switzerland,Ambrosi HOFFMANN,2006 Turin,Alpine Skiing,Men's,super-G
Winter,2006,Gold,FRA,France,Antoine DENERIAZ,2006 Turin,Alpine Skiing,Men's,downhill
Winter,2006,Silver,AUT,Austria,Michael WALCHHOFER,2006 Turin,Alpine Skiing,Men's,downhill
Winter,2006,Bronze,SUI,Switzerland,Bruno KERNEN,2006 Turin,Alpine Skiing,Men's,downhill
Winter,2006,Gold,CRO,Croatia,Janica KOSTELIC,2006 Turin,Alpine Skiing,Women's,Alpine combined
Winter,2006,Silver,AUT,Austria,Marlies SCHILD,2006 Turin,Alpine Skiing,Women's,Alpine combined
Winter,2006,Bronze,SWE,Sweden,Anja PAERSON,2006 Turin,Alpine Skiing,Women's,Alpine combined
Winter,2006,Gold,SWE,Sweden,Anja PAERSON,2006 Turin,Alpine Skiing,Women's,slalom
Winter,2006,Silver,AUT,Austria,Nicole HOSP,2006 Turin,Alpine Skiing,Women's,slalom
Winter,2006,Bronze,AUT,Austria,Marlies SCHILD,2006 Turin,Alpine Skiing,Women's,slalom
Winter,2006,Gold,USA,United States,Julia MANCUSO,2006 Turin,Alpine Skiing,Women's,giant slalom
Winter,2006,Silver,FIN,Finland,Tanja POUTIAINEN,2006 Turin,Alpine Skiing,Women's,giant slalom
Winter,2006,Bronze,SWE,Sweden,Anna OTTOSSON,2006 Turin,Alpine Skiing,Women's,giant slalom
Winter,2006,Gold,AUT,Austria,Michaela DORFMEISTER,2006 Turin,Alpine Skiing,Women's,super-G
Winter,2006,Silver,CRO,Croatia,Janica KOSTELIC,2006 Turin,Alpine Skiing,Women's,super-G
Winter,2006,Bronze,AUT,Austria,Alexandra MEISSNITZER,2006 Turin,Alpine Skiing,Women's,super-G
Winter,2006,Gold,AUT,Austria,Michaela DORFMEISTER,2006 Turin,Alpine Skiing,Women's,downhill
Winter,2006,Silver,SUI,Switzerland,Martina SCHILD,2006 Turin,Alpine Skiing,Women's,downhill
Winter,2006,Bronze,SWE,Sweden,Anja PAERSON,2006 Turin,Alpine Skiing,Women's,downhill
Winter,2006,Gold,GER,Germany,Sven FISCHER,2006 Turin,Biathlon,Men's,10km sprint
Winter,2006,Silver,NOR,Norway,Halvard HANEVOLD,2006 Turin,Biathlon,Men's,10km sprint
Winter,2006,Bronze,NOR,Norway,Frode ANDRESEN,2006 Turin,Biathlon,Men's,10km sprint
Winter,2006,Gold,FRA,France,Vincent DEFRASNE,2006 Turin,Biathlon,Men's,12.5km pursuit
Winter,2006,Silver,NOR,Norway,Ole Einar BJOERNDALEN,2006 Turin,Biathlon,Men's,12.5km pursuit
Winter,2006,Bronze,GER,Germany,Sven FISCHER,2006 Turin,Biathlon,Men's,12.5km pursuit
Winter,2006,Gold,GER,Germany,Michael GREIS,2006 Turin,Biathlon,Men's,20km individual
Winter,2006,Silver,NOR,Norway,Ole Einar BJOERNDALEN,2006 Turin,Biathlon,Men's,20km individual
Winter,2006,Bronze,NOR,Norway,Halvard HANEVOLD,2006 Turin,Biathlon,Men's,20km individual
Winter,2006,Gold,GER,Germany,Michael GREIS,2006 Turin,Biathlon,Men's,15km mass start
Winter,2006,Silver,POL,Poland,Tomasz SIKORA,2006 Turin,Biathlon,Men's,15km mass start
Winter,2006,Bronze,NOR,Norway,Ole Einar BJOERNDALEN,2006 Turin,Biathlon,Men's,15km mass start
Winter,2006,Gold,GER,Germany,"Michael GREIS, Sven FISCHER, Michael ROESCH, Ricco GROß",2006 Turin,Biathlon,Men's,4x7.5km relay
Winter,2006,Silver,RUS,Russian Federation,"Nikolay KRUGLOV, Sergei TCHEPIKOV, Ivan TCHEREZOV, Pavel ROSTOVTSEV",2006 Turin,Biathlon,Men's,4x7.5km relay
Winter,2006,Bronze,FRA,France,"Ferreol CANNARD, Julien ROBERT, Raphaël POIRÉE, Vincent DEFRASNE",2006 Turin,Biathlon,Men's,4x7.5km relay
Winter,2006,Gold,FRA,France,Florence BAVEREL,2006 Turin,Biathlon,Women's,7.5km sprint
Winter,2006,Silver,SWE,Sweden,Anna Carin OLOFSSON-ZIDEK,2006 Turin,Biathlon,Women's,7.5km sprint
Winter,2006,Bronze,UKR,Ukraine,Lilia VAYGINA-EFREMOVA,2006 Turin,Biathlon,Women's,7.5km sprint
Winter,2006,Gold,GER,Germany,Kati WILHELM,2006 Turin,Biathlon,Women's,10km pursuit
Winter,2006,Silver,GER,Germany,Martina BECK,2006 Turin,Biathlon,Women's,10km pursuit
Winter,2006,Bronze,RUS,Russian Federation,Albina AKHATOVA,2006 Turin,Biathlon,Women's,10km pursuit
Winter,2006,Gold,RUS,Russian Federation,Svetlana ISHMOURATOVA,2006 Turin,Biathlon,Women's,15km individual
Winter,2006,Silver,GER,Germany,Martina BECK,2006 Turin,Biathlon,Women's,15km individual
Winter,2006,Bronze,RUS,Russian Federation,Albina AKHATOVA,2006 Turin,Biathlon,Women's,15km individual
Winter,2006,Gold,SWE,Sweden,Anna Carin OLOFSSON-ZIDEK,2006 Turin,Biathlon,Women's,12.5km mass start
Winter,2006,Silver,GER,Germany,Kati WILHELM,2006 Turin,Biathlon,Women's,12.5km mass start
Winter,2006,Bronze,GER,Germany,Uschi DISL,2006 Turin,Biathlon,Women's,12.5km mass start
Winter,2006,Gold,RUS,Russian Federation,"Anna BOGALIY, Svetlana ISHMOURATOVA, Albina AKHATOVA, Olga ZAITSEVA",2006 Turin,Biathlon,Women's,4x6km relay
Winter,2006,Silver,GER,Germany,"Katrin APEL, Kati WILHELM, Martina BECK, Andrea HENKEL",2006 Turin,Biathlon,Women's,4x6km relay
Winter,2006,Bronze,FRA,France,"Sylvie BECAERT, Delphyne PERETTO, Sandrine BAILLY, Florence BAVEREL",2006 Turin,Biathlon,Women's,4x6km relay
Winter,2006,Gold,GER,Germany,"Kevin KUSKE, Andre LANGE",2006 Turin,Bobsleigh,Men's,two-man
Winter,2006,Silver,CAN,Canada,"Pierre LUEDERS, Lascelles Oneil BROWN",2006 Turin,Bobsleigh,Men's,two-man
Winter,2006,Bronze,SUI,Switzerland,"Beat HEFTI, Martin ANNEN",2006 Turin,Bobsleigh,Men's,two-man
Winter,2006,Gold,GER,Germany,"Rene HOPPE, Kevin KUSKE, Andre LANGE, Martin PUTZE",2006 Turin,Bobsleigh,Men's,four-man
Winter,2006,Silver,RUS,Russian Federation,"Alexey VOEVODA, Philippe EGOROV, Alexey SELIVERSTOV, Alexander ZUBKOV",2006 Turin,Bobsleigh,Men's,four-man
Winter,2006,Bronze,SUI,Switzerland,"Cedric GRAND, Beat HEFTI, Thomas LAMPARTER, Martin ANNEN",2006 Turin,Bobsleigh,Men's,four-man
Winter,2006,Gold,GER,Germany,"Sandra PROKOFF, Anja SCHNEIDERHEINZE",2006 Turin,Bobsleigh,Women's,two-woman
Winter,2006,Silver,USA,United States,"Shauna ROHBOCK, Valerie FLEMING",2006 Turin,Bobsleigh,Women's,two-woman
Winter,2006,Bronze,ITA,Italy,"Jennifer ISACCO, Gerda WEISSENSTEINER",2006 Turin,Bobsleigh,Women's,two-woman
Winter,2006,Gold,SWE,Sweden,Bjoern LIND,2006 Turin,Cross Country Skiing,Men's,sprint 1.5km
Winter,2006,Silver,FRA,France,Roddy DARRAGON,2006 Turin,Cross Country Skiing,Men's,sprint 1.5km
Winter,2006,Bronze,SWE,Sweden,Thobias FREDRIKSSON,2006 Turin,Cross Country Skiing,Men's,sprint 1.5km
Winter,2006,Gold,RUS,Russian Federation,Eugeniy DEMENTIEV,2006 Turin,Cross Country Skiing,Men's,Combined 15km + 15km mass start
Winter,2006,Silver,NOR,Norway,Frode ESTIL,2006 Turin,Cross Country Skiing,Men's,Combined 15km + 15km mass start
Winter,2006,Bronze,ITA,Italy,Pietro PILLER COTTRER,2006 Turin,Cross Country Skiing,Men's,Combined 15km + 15km mass start
