season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,2010,Gold,USA,United States,Bode MILLER,2010 Vancouver,Alpine Skiing,Men's,Alpine combined
Winter,2010,Silver,CRO,Croatia,Ivica KOSTELIC,2010 Vancouver,Alpine Skiing,Men's,Alpine combined
Winter,2010,Bronze,SUI,Switzerland,Silvan ZURBRIGGEN,2010 Vancouver,Alpine Skiing,Men's,Alpine combined
Winter,2010,Gold,ITA,Italy,Giuliano RAZZOLI,2010 Vancouver,Alpine Skiing,Men's,slalom
Winter,2010,Silver,CRO,Croatia,Ivica KOSTELIC,2010 Vancouver,Alpine Skiing,Men's,slalom
Winter,2010,Bronze,SWE,Sweden,Andre MYHRER,2010 Vancouver,Alpine Skiing,Men's,slalom
Winter,2010,Gold,SUI,Switzerland,Carlo JANKA,2010 Vancouver,Alpine Skiing,Men's,giant slalom
Winter,2010,Silver,NOR,Norway,Kjetil JANSRUD,2010 Vancouver,Alpine Skiing,Men's,giant slalom
Winter,2010,Bronze,NOR,Norway,Aksel Lund SVINDAL,2010 Vancouver,Alpine Skiing,Men's,giant slalom
Winter,2010,Gold,NOR,Norway,Aksel Lund SVINDAL,2010 Vancouver,Alpine Skiing,Men's,super-G
Winter,2010,Silver,USA,United States,Bode MILLER,2010 Vancouver,Alpine Skiing,Men's,super-G
Winter,2010,Bronze,USA,United States,Andrew WEIBRECHT,2010 Vancouver,Alpine Skiing,Men's,super-G
Winter,2010,Gold,SUI,Switzerland,Didier DEFAGO,2010 Vancouver,Alpine Skiing,Men's,downhill
Winter,2010,Silver,NOR,Norway,Aksel Lund SVINDAL,2010 Vancouver,Alpine Skiing,Men's,downhill
Winter,2010,Bronze,USA,United States,Bode MILLER,2010 Vancouver,Alpine Skiing,Men's,downhill
Winter,2010,Gold,GER,Germany,Maria RIESCH,2010 Vancouver,Alpine Skiing,Women's,Alpine combined
Winter,2010,Silver,USA,United States,Julia MANCUSO,2010 Vancouver,Alpine Skiing,Women's,Alpine combined
Winter,2010,Bronze,SWE,Sweden,Anja PAERSON,2010 Vancouver,Alpine Skiing,Women's,Alpine combined
Winter,2010,Gold,GER,Germany,Maria RIESCH,2010 Vancouver,Alpine Skiing,Women's,slalom
Winter,2010,Silver,AUT,Austria,Marlies SCHILD,2010 Vancouver,Alpine Skiing,Women's,slalom
Winter,2010,Bronze,CZE,Czech Republic,Sarka STRACHOVA,2010 Vancouver,Alpine Skiing,Women's,slalom
Winter,2010,Gold,GER,Germany,Viktoria REBENSBURG,2010 Vancouver,Alpine Skiing,Women's,giant slalom
