season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,2014,Gold,SUI,Switzerland,Sandro VILETTA,2014 Sochi,Alpine Skiing,Men's,Alpine combined
Winter,2014,Silver,CRO,Croatia,Ivica KOSTELIC,2014 Sochi,Alpine Skiing,Men's,Alpine combined
Winter,2014,Bronze,ITA,Italy,Christof INNERHOFER,2014 Sochi,Alpine Skiing,Men's,Alpine combined
Winter,2014,Gold,AUT,Austria,Mario MATT,2014 Sochi,Alpine Skiing,Men's,slalom
Winter,2014,Silver,AUT,Austria,Marcel HIRSCHER,2014 Sochi,Alpine Skiing,Men's,slalom
Winter,2014,Bronze,NOR,Norway,Henrik KRISTOFFERSEN,2014 Sochi,Alpine Skiing,Men's,slalom
Winter,2014,Gold,USA,United States,Ted LIGETY,2014 Sochi,Alpine Skiing,Men's,giant slalom
Winter,2014,Silver,FRA,France,Steve MISSILLIER,2014 Sochi,Alpine Skiing,Men's,giant slalom
Winter,2014,Bronze,FRA,France,Alexis PINTURAULT,2014 Sochi,Alpine Skiing,Men's,giant slalom
Winter,2014,Gold,NOR,Norway,Kjetil JANSRUD,2014 Sochi,Alpine Skiing,Men's,super-G
Winter,2014,Silver,USA,United States,Andrew WEIBRECHT,2014 Sochi,Alpine Skiing,Men's,super-G
Winter,2014,Bronze,CAN,Canada,Jan HUDEC,2014 Sochi,Alpine Skiing,Men's,super-G
Winter,2014,Bronze,USA,United States,Bode MILLER,2014 Sochi,Alpine Skiing,Men's,super-G
Winter,2014,Gold,AUT,Austria,Matthias MAYER,2014 Sochi,Alpine Skiing,Men's,downhill
Winter,2014,Silver,ITA,Italy,Christof INNERHOFER,2014 Sochi,Alpine Skiing,Men's,downhill
Winter,2014,Bronze,NOR,Norway,Kjetil JANSRUD,2014 Sochi,Alpine Skiing,Men's,downhill
Winter,2014,Gold,GER,Germany,Maria RIESCH,2014 Sochi,Alpine Skiing,Women's,Alpine combined
Winter,2014,Silver,AUT,Austria,Nicole HOSP,2014 Sochi,Alpine Skiing,Women's,Alpine combined
Winter,2014,Bronze,USA,United States,Julia MANCUSO,2014 Sochi,Alpine Skiing,Women's,Alpine combined
Winter,2014,Gold,USA,United States,Mikaela SHIFFRIN,2014 Sochi,Alpine Skiing,Women's,slalom
Winter,2014,Silver,AUT,Austria,Marlies SCHILD,2014 Sochi,Alpine Skiing,Women's,slalom
Winter,2014,Bronze,AUT,Austria,Kathrin ZETTEL,2014 Sochi,Alpine Skiing,Women's,slalom
Winter,2014,Gold,SLO,Slovenia,Tina MAZE,2014 Sochi,Alpine Skiing,Women's,giant slalom
Winter,2014,Silver,AUT,Austria,Anna FENNINGER,2014 Sochi,Alpine Skiing,Women's,giant slalom
Winter,2014,Bronze,GER,Germany,Viktoria REBENSBURG,2014 Sochi,Alpine Skiing,Women's,giant slalom
Winter,2014,Gold,AUT,Austria,Anna FENNINGER,2014 Sochi,Alpine Skiing,Women's,super-G
Winter,2014,Silver,GER,Germany,Maria RIESCH,2014 Sochi,Alpine Skiing,Women's,super-G
Winter,2014,Bronze,AUT,Austria,Nicole HOSP,2014 Sochi,Alpine Skiing,Women's,super-G
Winter,2014,Gold,SLO,Slovenia,Tina MAZE,2014 Sochi,Alpine Skiing,Women's,downhill
Winter,2014,Gold,SUI,Switzerland,Dominique GISIN,2014 Sochi,Alpine Skiing,Women's,downhill
Winter,2014,Bronze,SUI,Switzerland,Lara GUT,2014 Sochi,Alpine Skiing,Women's,downhill
Winter,2014,Gold,NOR,Norway,Ole Einar BJOERNDALEN,2014 Sochi,Biathlon,Men's,10km sprint
Winter,2014,Silver,AUT,Austria,Dominik LANDERTINGER,2014 Sochi,Biathlon,Men's,10km sprint
Winter,2014,Bronze,CZE,Czech Republic,Jaroslav SOUKUP,2014 Sochi,Biathlon,Men's,10km sprint
Winter,2014,Gold,FRA,France,Martin FOURCADE,2014 Sochi,Biathlon,Men's,12.5km pursuit
Winter,2014,Silver,CZE,Czech Republic,Ondrej MORAVEC,2014 Sochi,Biathlon,Men's,12.5km pursuit
Winter,2014,Bronze,FRA,France,Jean Guillaume BEATRIX,2014 Sochi,Biathlon,Men's,12.5km pursuit
Winter,2014,Gold,FRA,France,Martin FOURCADE,2014 Sochi,Biathlon,Men's,20km individual
Winter,2014,Silver,GER,Germany,Erik LESSER,2014 Sochi,Biathlon,Men's,20km individual
Winter,2014,Bronze,RUS,Russian Federation,Evgeniy GARANICHEV,2014 Sochi,Biathlon,Men's,20km individual
Winter,2014,Gold,NOR,Norway,Emil Hegle SVENDSEN,2014 Sochi,Biathlon,Men's,15km mass start
Winter,2014,Silver,FRA,France,Martin FOURCADE,2014 Sochi,Biathlon,Men's,15km mass start
Winter,2014,Bronze,CZE,Czech Republic,Ondrej MORAVEC,2014 Sochi,Biathlon,Men's,15km mass start
Winter,2014,Silver,GER,Germany,"Daniel BOEHM, Arnd PEIFFER, Erik LESSER, Simon SCHEMPP",2014 Sochi,Biathlon,Men's,4x7.5km relay
Winter,2014,Bronze,AUT,Austria,"Simon EDER, Daniel MESOTITSCH, Dominik LANDERTINGER, Christoph SUMANN",2014 Sochi,Biathlon,Men's,4x7.5km relay
Winter,2014,Gold,SVK,Slovakia,Anastazia KUZMINA,2014 Sochi,Biathlon,Women's,7.5km sprint
Winter,2014,Silver,RUS,Russian Federation,Olga VILUKHINA,2014 Sochi,Biathlon,Women's,7.5km sprint
Winter,2014,Bronze,UKR,Ukraine,Vita SEMERENKO,2014 Sochi,Biathlon,Women's,7.5km sprint
Winter,2014,Gold,BLR,Belarus,Darya DOMRACHEVA,2014 Sochi,Biathlon,Women's,10km pursuit
Winter,2014,Silver,NOR,Norway,Tora BERGER,2014 Sochi,Biathlon,Women's,10km pursuit
Winter,2014,Bronze,SLO,Slovenia,Teja GREGORIN,2014 Sochi,Biathlon,Women's,10km pursuit
Winter,2014,Gold,BLR,Belarus,Darya DOMRACHEVA,2014 Sochi,Biathlon,Women's,15km individual
Winter,2014,Silver,SUI,Switzerland,Selina GASPARIN,2014 Sochi,Biathlon,Women's,15km individual
Winter,2014,Bronze,BLR,Belarus,Nadezhda SKARDINO,2014 Sochi,Biathlon,Women's,15km individual
Winter,2014,Gold,BLR,Belarus,Darya DOMRACHEVA,2014 Sochi,Biathlon,Women's,12.5km mass start
Winter,2014,Silver,CZE,Czech Republic,Gabriela SOUKALOVA,2014 Sochi,Biathlon,Women's,12.5km mass start
Winter,2014,Bronze,NOR,Norway,Tiril ECKHOFF,2014 Sochi,Biathlon,Women's,12.5km mass start
Winter,2014,Gold,UKR,Ukraine,"Vita SEMERENKO, Olena PIDHRUSHNA, Valj SEMERENKO, Juliya DZHYMA",2014 Sochi,Biathlon,Women's,4x6km relay
Winter,2014,Silver,NOR,Norway,"Ann Kristin FLATLAND, Fanny Welle-Strand HORN, Tiril ECKHOFF, Tora BERGER",2014 Sochi,Biathlon,Women's,4x6km relay
Winter,2014,Bronze,CZE,Czech Republic,"Eva Puskarčíková, Jitka Landová, Gabriela Soukalová, Veronika Vítková",2014 Sochi,Biathlon,Women's,4x6km relay
Winter,2014,Gold,NOR,Norway,"Tiril ECKHOFF, Emil Hegle SVENDSEN, Ole Einar BJOERNDALEN, Tora BERGER",2014 Sochi,Biathlon,Mixed,Relay mix
Winter,2014,Silver,CZE,Czech Republic,"Veronika VITKOVA, Gabriela SOUKALOVA, Jaroslav SOUKUP, Ondrej MORAVEC",2014 Sochi,Biathlon,Mixed,Relay mix
Winter,2014,Bronze,ITA,Italy,"Lukas HOFER, Dorothea WIERER, Karin OBERHOFER, Dominik WINDISCH",2014 Sochi,Biathlon,Mixed,Relay mix
Winter,2014,Gold,SUI,Switzerland,"Beat HEFTI, Alex BAUMANN",2014 Sochi,Bobsleigh,Men's,two-man
Winter,2014,Silver,USA,United States,"Steven HOLCOMB, Steven LANGTON",2014 Sochi,Bobsleigh,Men's,two-man
Winter,2014,Bronze,LAT,Latvia,"Melbardis Oskars, Dreiskens Daumants",2014 Sochi,Bobsleigh,Men's,two-man
Winter,2014,Gold,LAT,Latvia,"Janis STRENGA, Daumants DREISHKENS, Arvis VILKASTE, Oskars MELBARDIS",2014 Sochi,Bobsleigh,Men's,four-man
Winter,2014,Silver,USA,United States,"Steven LANGTON, Christopher FOGT, Steven HOLCOMB, Curt TOMASEVICZ",2014 Sochi,Bobsleigh,Men's,four-man
Winter,2014,Bronze,GBR,Great Britain,"Jackson John James, Fearon Joel, Benson Stuart, Tasker Bruce",2014 Sochi,Bobsleigh,Men's,four-man
Winter,2014,Gold,CAN,Canada,"Kaillie HUMPHRIES, Heather MOYSE",2014 Sochi,Bobsleigh,Women's,two-woman
Winter,2014,Silver,USA,United States,"Elana MEYERS, Lauryn WILLIAMS",2014 Sochi,Bobsleigh,Women's,two-woman
Winter,2014,Bronze,USA,United States,"Aja EVANS, Jamie GREUBEL",2014 Sochi,Bobsleigh,Women's,two-woman
Winter,2014,Gold,NOR,Norway,Ola Vigen HATTESTAD,2014 Sochi,Cross Country Skiing,Men's,sprint 1.5km
Winter,2014,Silver,SWE,Sweden,Teodor PETERSON,2014 Sochi,Cross Country Skiing,Men's,sprint 1.5km
