season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Summer,2016,Gold,KOR,Korea Republic,KU Bonchan,2016 Rio de Janeiro,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2016,Silver,FRA,France,VALLADONT Jean-Charles,2016 Rio de Janeiro,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2016,Bronze,USA,United States,ELLISON Brady,2016 Rio de Janeiro,Archery,Men's,individual (FITA Olympic round - 70m)
Summer,2016,Gold,KOR,Korea Republic,Republic of Korea,2016 Rio de Janeiro,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2016,Silver,USA,United States,United States,2016 Rio de Janeiro,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2016,Bronze,AUS,Australia,Australia,2016 Rio de Janeiro,Archery,Men's,team (FITA Olympic round - 70m)
Summer,2016,Gold,KOR,Korea Republic,CHANG Hyejin,2016 Rio de Janeiro,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2016,Silver,GER,Germany,UNRUH Lisa,2016 Rio de Janeiro,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2016,Bronze,KOR,Korea Republic,KI Bobae,2016 Rio de Janeiro,Archery,Women's,individual (FITA Olympic round - 70m)
Summer,2016,Gold,KOR,Korea Republic,Republic of Korea,2016 Rio de Janeiro,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2016,Silver,RUS,Russian Federation,Russian Federation,2016 Rio de Janeiro,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2016,Bronze,TPE,Chinese Taipei,Taipei (Cn Taipei),2016 Rio de Janeiro,Archery,Women's,team (FITA Olympic round - 70m)
Summer,2016,Gold,RUS,Russian Federation,"Ishchenko, Romashina",2016 Rio de Janeiro,Artistic Swimming,Women's,duet
Summer,2016,Silver,CHN,China,"Huang, Sun",2016 Rio de Janeiro,Artistic Swimming,Women's,duet
Summer,2016,Bronze,JPN,Japan,"Inui, Mitsui",2016 Rio de Janeiro,Artistic Swimming,Women's,duet
Summer,2016,Gold,RUS,Russian Federation,Russian Federation,2016 Rio de Janeiro,Artistic Swimming,Women's,team
Summer,2016,Silver,CHN,China,China,2016 Rio de Janeiro,Artistic Swimming,Women's,team
