season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,2018,Gold,AUT,Austria,Marcel HIRSCHER,2018 Pyeongchang,Alpine Skiing,Men's,Alpine combined
Winter,2018,Silver,FRA,France,Alexis PINTURAULT,2018 Pyeongchang,Alpine Skiing,Men's,Alpine combined
Winter,2018,Bronze,FRA,France,Victor MUFFAT-JEANDET,2018 Pyeongchang,Alpine Skiing,Men's,Alpine combined
Winter,2018,Gold,SWE,Sweden,Andre MYHRER,2018 Pyeongchang,Alpine Skiing,Men's,slalom
Winter,2018,Silver,SUI,Switzerland,Ramon ZENHAEUSERN,2018 Pyeongchang,Alpine Skiing,Men's,slalom
Winter,2018,Bronze,AUT,Austria,Michael MATT,2018 Pyeongchang,Alpine Skiing,Men's,slalom
Winter,2018,Gold,AUT,Austria,Marcel HIRSCHER,2018 Pyeongchang,Alpine Skiing,Men's,giant slalom
Winter,2018,Silver,NOR,Norway,Henrik KRISTOFFERSEN,2018 Pyeongchang,Alpine Skiing,Men's,giant slalom
Winter,2018,Bronze,FRA,France,Alexis PINTURAULT,2018 Pyeongchang,Alpine Skiing,Men's,giant slalom
Winter,2018,Gold,AUT,Austria,Matthias MAYER,2018 Pyeongchang,Alpine Skiing,Men's,super-G
Winter,2018,Silver,SUI,Switzerland,Beat FEUZ,2018 Pyeongchang,Alpine Skiing,Men's,super-G
Winter,2018,Bronze,NOR,Norway,Kjetil JANSRUD,2018 Pyeongchang,Alpine Skiing,Men's,super-G
Winter,2018,Gold,NOR,Norway,Aksel Lund SVINDAL,2018 Pyeongchang,Alpine Skiing,Men's,downhill
Winter,2018,Silver,NOR,Norway,Kjetil JANSRUD,2018 Pyeongchang,Alpine Skiing,Men's,downhill
Winter,2018,Bronze,SUI,Switzerland,Beat FEUZ,2018 Pyeongchang,Alpine Skiing,Men's,downhill
Winter,2018,Gold,SUI,Switzerland,Michelle GISIN,2018 Pyeongchang,Alpine Skiing,Women's,Alpine combined
Winter,2018,Silver,USA,United States,Mikaela SHIFFRIN,2018 Pyeongchang,Alpine Skiing,Women's,Alpine combined
Winter,2018,Bronze,SUI,Switzerland,Wendy HOLDENER,2018 Pyeongchang,Alpine Skiing,Women's,Alpine combined
Winter,2018,Gold,SWE,Sweden,Frida HANSDOTTER,2018 Pyeongchang,Alpine Skiing,Women's,slalom
Winter,2018,Silver,SUI,Switzerland,Wendy HOLDENER,2018 Pyeongchang,Alpine Skiing,Women's,slalom
Winter,2018,Bronze,AUT,Austria,Katharina GALLHUBER,2018 Pyeongchang,Alpine Skiing,Women's,slalom
Winter,2018,Gold,USA,United States,Mikaela SHIFFRIN,2018 Pyeongchang,Alpine Skiing,Women's,giant slalom
Winter,2018,Silver,NOR,Norway,Ragnhild MOWINCKEL,2018 Pyeongchang,Alpine Skiing,Women's,giant slalom
Winter,2018,Bronze,ITA,Italy,Federica BRIGNONE,2018 Pyeongchang,Alpine Skiing,Women's,giant slalom
Winter,2018,Gold,CZE,Czech Republic,Ester LEDECKA,2018 Pyeongchang,Alpine Skiing,Women's,super-G
Winter,2018,Silver,AUT,Austria,Anna VEITH,2018 Pyeongchang,Alpine Skiing,Women's,super-G
Winter,2018,Bronze,LIE,Liechtenstein,Tina WEIRATHER,2018 Pyeongchang,Alpine Skiing,Women's,super-G
Winter,2018,Gold,ITA,Italy,Sofia GOGGIA,2018 Pyeongchang,Alpine Skiing,Women's,downhill
Winter,2018,Silver,NOR,Norway,Ragnhild MOWINCKEL,2018 Pyeongchang,Alpine Skiing,Women's,downhill
Winter,2018,Bronze,USA,United States,Lindsey VONN,2018 Pyeongchang,Alpine Skiing,Women's,downhill
Winter,2018,Gold,SUI,Switzerland,"Wendy HOLDENER, Daniel YULE, Denise FEIERABEND, Luca AERNI, Ramon ZENHAEUSERN",2018 Pyeongchang,Alpine Skiing,Mixed,team
