season,year,medal,country_code,country,athletes,games,sport,event_gender,event_name
Winter,2022,Gold,AUT,Austria,STROLZ Johannes,2022 Beijing,Alpine Skiing,Men's,Alpine combined
Winter,2022,Silver,NOR,Norway,KILDE Aleksander Aamodt,2022 Beijing,Alpine Skiing,Men's,Alpine combined
Winter,2022,Bronze,CAN,Canada,CRAWFORD James,2022 Beijing,Alpine Skiing,Men's,Alpine combined
Winter,2022,Gold,FRA,France,NOEL Clement,2022 Beijing,Alpine Skiing,Men's,slalom
Winter,2022,Silver,AUT,Austria,STROLZ Johannes,2022 Beijing,Alpine Skiing,Men's,slalom
Winter,2022,Bronze,NOR,Norway,FOSS-SOLEVAAG Sebastian,2022 Beijing,Alpine Skiing,Men's,slalom
Winter,2022,Gold,SUI,Switzerland,ODERMATT Marco,2022 Beijing,Alpine Skiing,Men's,giant slalom
Winter,2022,Silver,SLO,Slovenia,KRANJEC Zan,2022 Beijing,Alpine Skiing,Men's,giant slalom
Winter,2022,Bronze,FRA,France,FAIVRE Mathieu,2022 Beijing,Alpine Skiing,Men's,giant slalom
Winter,2022,Gold,AUT,Austria,MAYER Matthias,2022 Beijing,Alpine Skiing,Men's,super-G
Winter,2022,Silver,USA,United States,COCHRAN-SIEGLE Ryan,2022 Beijing,Alpine Skiing,Men's,super-G
Winter,2022,Bronze,NOR,Norway,KILDE Aleksander Aamodt,2022 Beijing,Alpine Skiing,Men's,super-G
Winter,2022,Gold,SUI,Switzerland,FEUZ Beat,2022 Beijing,Alpine Skiing,Men's,downhill
Winter,2022,Silver,FRA,France,CLAREY Johan,2022 Beijing,Alpine Skiing,Men's,downhill
Winter,2022,Bronze,AUT,Austria,MAYER Matthias,2022 Beijing,Alpine Skiing,Men's,downhill
Winter,2022,Gold,SUI,Switzerland,GISIN Michelle,2022 Beijing,Alpine Skiing,Women's,Alpine combined
Winter,2022,Silver,SUI,Switzerland,HOLDENER Wendy,2022 Beijing,Alpine Skiing,Women's,Alpine combined
Winter,2022,Bronze,ITA,Italy,BRIGNONE Federica,2022 Beijing,Alpine Skiing,Women's,Alpine combined
Winter,2022,Gold,SVK,Slovakia,VLHOVA Petra,2022 Beijing,Alpine Skiing,Women's,slalom
Winter,2022,Silver,AUT,Austria,LIENSBERGER Katharina,2022 Beijing,Alpine Skiing,Women's,slalom
Winter,2022,Bronze,SUI,Switzerland,HOLDENER Wendy,2022 Beijing,Alpine Skiing,Women's,slalom
Winter,2022,Gold,SWE,Sweden,HECTOR Sara,2022 Beijing,Alpine Skiing,Women's,giant slalom
Winter,2022,Silver,ITA,Italy,BRIGNONE Federica,2022 Beijing,Alpine Skiing,Women's,giant slalom
